Geneid,SRX15590299,SRX15590300,SRX15590301,SRX15590302,SRX15590303,SRX15590304,SRX15590305,SRX15590306,SRX15590307,SRX15590308,SRX15590309,SRX15590310,SRX15590311,SRX15590312,SRX15590313,SRX15590314,SRX15590315,SRX15590316,SRX15590317,SRX15590318,SRX15590319,SRX15947806,SRX15947807,SRX15947808,SRX15947809,SRX15947810,SRX15947812,SRX15947813,SRX15947814,SRX15947815,SRX15947816,UV_control_1,UV_control_2,UV_control_3,UV_exposure_2,UV_exposure_3,dark_4h_0110_KO_1,dark_4h_0110_KO_2,dark_4h_0616_KO_1,dark_4h_0616_KO_2,dark_4h_1684_KO_1,dark_4h_1684_KO_2,km_LL_1,km_LL_2,km_dark_4h_1,km_dark_4h_2,light_0110_KO_1,light_0110_KO_2,light_0616_KO_1,light_0616_KO_2,light_1684_KO_1,light_1684_KO_2,post_uv_2hrs_1,post_uv_2hrs_2,post_uv_2hrs_3,post_uv_control_1,post_uv_control_2,wt_LL_1,wt_LL_2,wt_dark_4h_1,wt_dark_4h_2
HTX97_RS00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31542228628093516,0.0,0.0,0.0,0.0,0.338431448952352,0.0,0.0,0.4913431225018358,3.8305998381362736,6.591080068650221,2.9473663824976812,3.426690413716508,2.130403772236134,2.47826333647062,1.344420283071062,2.6929653457399962,5.662315067746995,6.02708507953407,6.5910760457955035,3.4265891585700894,2.478252522825087,2.9474252106390324,2.1303841225583664,5.54891451576115,5.892165615342684,5.955545674814057,5.821225659052689,5.226448598036851,5.309445659709081,4.075903293761106,4.764428647119389,6.2638952243195964,5.183821613284222,4.144097041029287,5.5245463533115355,6.767814577800675,5.040800557938039,5.312579428193557,4.5659574187361445,1.3444342448143258,5.6623252213380075,6.027083509525682,2.692982168475972,6.29019050651951,4.311323963054231,4.016386648992946,5.431970989663776,5.489344298531147
HTX97_RS00015,0.0,0.3653481996605267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459149142195526,6.872522610897375,5.890732786990433,6.0419733531574735,6.540278616339984,6.193695406318047,6.484290930137351,6.310582094144422,6.041068512460419,6.056982712664971,6.872518580569695,6.041863410223484,6.19368240765577,5.890799238550784,6.54025342396139,6.326001024830403,6.717648775304303,6.624586675745948,6.5809365875884005,7.038210040827743,6.137073748752037,7.088971844687806,6.086943768618565,7.502951921462155,6.525343777435416,6.997401324195796,6.7106463513818575,7.476912642166118,6.216266382798391,6.6432974585490685,6.843413252377527,6.484313704853987,6.041078713276564,6.056981142155108,6.3106017436178465,6.657389269428638,7.415367383532442,7.378473134998427,6.630065550827925,7.201525488941681
HTX97_RS00020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7796961538150793,5.790780848153098,3.288311948734092,3.32151143267179,3.5532288687122424,2.5873310877369486,3.2124390522392074,3.1898245723913874,5.083807981396366,5.069196325996957,5.790776856562016,3.321410962703052,2.587320101884142,3.288372621198141,3.5532055720961893,5.226245568429288,5.934980112431132,5.850961583619971,4.944106909934066,4.7495562344502265,4.106737478790862,3.8996508269430805,4.657557015889983,6.213348315639091,5.01087684509839,4.029993517824006,4.5597780597519515,6.011484149292758,4.7660078722511265,4.932456705679437,4.570960544003701,3.212459599432138,5.083818034093078,5.069194779031907,3.189842291750352,5.696629067397396,4.2060149872078,3.929006110432668,5.089632320244083,4.5048293493116205
HTX97_RS00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071059027898822,0.0,4.505901709104202,5.917364673859822,3.155477827652214,3.7549457050635198,2.4376845262795865,2.6081835194678,3.46155070887888,2.979857904898675,4.934953198361229,5.20326875574994,5.917360676100594,3.7548423371432067,2.6081725021478515,3.1555378328784194,2.437663760821895,5.310009387252486,5.681952157913062,5.171766871033675,5.193837048775625,5.261079750616032,4.676467285773566,5.201828242031193,4.833475870749432,6.209398157106234,5.630894762549122,4.522144425370512,5.518821509911382,6.1248231359370955,4.51171405784062,5.421763830415906,4.0948599598187,3.4615716501221105,4.934963217861885,5.203267204570113,2.979875282605468,5.4032594411489985,4.777672235881572,4.411458992010186,5.404314215974558,5.288782491416934
HTX97_RS00030,0.0734720810992967,0.0,0.0,0.0,0.0,0.0,0.21103163477907322,0.07433613983625026,0.0,0.0,0.0,0.07872320066970868,0.0,0.0740180530663156,0.13452382248435188,0.0,0.0,0.0,0.0,0.14066850726951907,0.12522973553051744,3.9279196765866886,6.162337039770548,2.991488507909587,3.377622310553165,2.4358948908760913,2.760729727829697,2.8660213823888396,3.295336576464552,5.481344499779356,5.4433681381921994,6.162333031507406,3.3775214145912154,2.7607184936387577,2.9915475999827064,2.4358741312529357,4.518219271416625,5.121201772005861,5.730810014160281,4.77819157479703,4.748575403042829,4.461351874381625,3.765632492015702,4.1310742189957965,5.8014883789106255,4.3629306130208425,4.0849848559259065,4.656838844095046,6.337450755486001,4.680991835619315,4.649353424682971,4.346952518733991,2.8660412552131587,5.481354626035963,5.443366580377195,3.295354449626557,5.8551849590885165,4.19496175904873,3.585020867006723,4.545114772585453,4.8036912951148905
HTX97_RS00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.243928319210978,6.33421935927629,3.832369465586981,4.502948948177204,3.6572918068522897,3.51033653163127,3.7348993902226497,3.911590153174993,4.962894619809253,5.22197134188614,6.33421534463848,4.502842234690069,3.5103245094548483,3.8324323115030987,3.6572683592671376,4.8678861504395705,4.789729385279207,5.658984743049004,4.927098494656152,5.555174095595098,5.776132731377225,5.015584072536335,4.699839903358899,5.916297687644714,4.7122274056830475,5.3610976170777045,4.77745184620705,6.2310959210519945,4.89332141078074,4.786267346887795,5.244429282140195,3.734920692332239,4.962904645805005,5.221969790148885,3.911608731006989,5.059430514077565,4.965517027620385,5.861445670484159,5.170942577790275,6.224280793389156
HTX97_RS00040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317426341078968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.517542430424129,5.666625075892447,2.821178031139148,2.524885613597312,1.8483217601483324,1.6912047319192098,2.215760410603866,2.0046281052120474,4.810699621304755,5.000601431660887,5.6666210909003665,2.5247933742837434,1.691195634250086,2.8212360583211855,1.8483033664922184,4.524596509854742,4.671597704426952,5.571987221230375,4.531895992125632,4.346894322866682,3.6331222935669416,2.7768196663394886,3.7675404569597606,5.547950118796873,3.9026325038006564,3.5509698340691567,4.268616093974664,5.823416085175696,4.442896001087138,4.737590902160009,4.072974141268393,2.2157784844428643,4.810709610348831,5.000599887008518,2.0046430463129576,4.838845935811494,3.5748064823648122,2.4691158251892222,4.118868934637936,4.318388261542125
HTX97_RS00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9724224801258792,4.170519937892039,1.0354699644029963,1.1865740774923785,1.3942644462246707,1.1944129751452208,0.6818575386756378,1.0623950588095927,2.7627445177717656,2.747441790157846,4.170516098614093,1.186511488529501,1.1944055550748438,1.035504580924364,1.3942486685293511,2.875694019322207,3.084652564423341,3.9444685262257027,2.556354868778711,2.9889664812308787,2.500400103919427,1.5673052942560963,2.0473220223951785,4.398062249948523,2.5978150515426393,2.044379834248354,2.8916479108093647,3.8691242770285386,2.4817130800623874,2.819903624444883,3.1085016038729822,0.6818662134306048,2.762753349693738,2.7474404331378275,1.0624054300961214,3.565081712954388,1.988372000444335,1.6972654763196233,2.7585782952342646,1.8040396438773556
Synpcc7942_0001,7.0239108647572825,7.112062422735103,7.29423077107038,7.361012543525268,7.390107047084446,6.901660567386382,6.6596720657445925,6.471903953216141,6.898252404550499,6.5540431012561005,6.267311076570746,6.6383799678395645,7.174406331502761,7.020421158487628,6.860377051630389,6.925899122581421,7.204504212733151,7.097762589867258,6.7784053553491095,7.119552209420756,6.593888872654904,7.752846837547344,9.263392910195957,7.906500563633203,8.075649182282989,7.880723780726843,8.070909894106734,8.659393348995314,8.63608760500044,9.13862100445318,9.258998060339808,9.263388851791008,8.075537958791312,8.070896764407577,7.906567872669475,7.880698422781764,7.691434419071997,7.549278144780988,7.987757230327404,7.655206361029756,6.951831850043304,7.154859366065175,7.473956373020491,7.456975792223607,7.74835144059772,7.4898486571028275,7.418555835783281,7.831713826663745,8.246609873806275,8.099352715641622,8.042338426168834,7.57415873630633,8.659416324002938,9.138631344194911,9.258996468483774,8.636107455169778,9.287224489729685,7.489291127964865,7.621441859057877,7.547230017978339,7.510940585169856
Synpcc7942_0002,5.885119606470359,5.798864590192284,5.855705299689295,5.9022218339467765,6.328198613199556,5.742393631742425,5.589605342301221,5.444537564611804,5.594612275137246,5.227722042610021,5.1336302296121215,5.604771070272602,6.339743789074021,6.158731592146612,5.950034693301228,6.265779287949049,6.288677172639742,6.264129447070857,6.5144020957095545,7.039589999948443,6.785501789604517,6.435608561644428,8.337582284336344,6.732315540287732,6.5579510573681645,6.071003563452562,6.008287153747691,6.323559223315846,6.4263080049380195,8.253977636650218,8.422918689148442,8.3375782318829,6.557840604966377,6.008274179776876,6.73238249532756,6.070978476256385,7.1082782952163335,7.168093754406077,7.4690099537246715,6.991421048462446,7.183292239005174,7.12310326622573,6.623680281154382,6.991341173624607,7.18554501636564,6.930941095051339,6.551775847125475,6.831325059721459,7.784603999618844,7.529716040349461,7.231902412708445,6.247879579500247,6.323581967714118,8.253987960839142,8.422917099335807,6.426327673737078,8.549041720250408,6.689076184168429,6.57258596264308,7.133879444318471,7.253427250565253
Synpcc7942_0003,6.960700216414876,7.050076991606304,7.123682186403371,7.038999236886166,6.625953091712763,7.206518118731062,7.01541968012098,7.162662985434885,7.418882456007659,6.885243093577235,6.992682090412621,7.175008346758382,7.165759422635556,6.927235605789193,7.14090008510472,7.072060756762939,7.243952890922035,7.313974325091701,7.131028633436609,7.082118438539085,7.1812116491239415,6.996465906987624,8.08943534469531,7.184899239883394,6.9941498835919385,7.253495973214564,6.932211603117177,7.000943143582501,7.058159884838327,8.063426864911735,8.117031024859001,8.08943129460028,6.994039122022291,6.932198532319916,7.184966366094676,7.253470674113621,6.519139991844404,6.651881533217348,6.880982972699771,6.264846194978558,6.422908119684318,6.584198946749411,6.300618762534017,6.64391220866926,6.678814829285467,6.571247597318668,6.294695635286858,6.743407282124147,7.475513933457915,7.014155093321769,6.915595708842467,6.366909751528162,7.000965995734565,8.063437184309759,8.117029436143612,7.058179635700085,8.344385095746908,6.315918728350642,6.363019572336809,6.7271191708126805,6.600820504560418
