Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRX15590299	2.6	6570183	1991471	6570183	657018300	37493415	616731784	6.131719009957561
SRX15590300	2.6	7240321	2194942	7240321	724032100	41444218	678330196	6.312137818198944
SRX15590301	2.6	7709268	2301137	7709268	770926800	43294110	724440542	6.029918534418573
SRX15590302	2.6	7202205	2212230	7202205	720220500	36614910	679715090	5.624029029998452
SRX15590303	2.6	7262567	2209326	7262567	726256700	40891240	681574136	6.152447750223853
SRX15590304	2.6	7036951	2069149	7036951	703695100	38496664	662333909	5.877714794376144
SRX15590305	2.6	6941341	2130531	6941341	694134100	40178133	650075711	6.3472445742112376
SRX15590306	2.6	6894458	2117606	6894458	689445800	40019174	645333823	6.398179088189384
SRX15590307	2.6	6065989	1830661	6065989	606598900	34657456	569369977	6.1373212183536765
SRX15590308	2.6	7187072	2228940	7187072	718707200	39536299	675024007	6.078023567872981
SRX15590309	2.6	6870817	2120358	6870817	687081700	36719722	646245922	5.943365687079135
SRX15590310	2.6	7045051	2119446	7045051	704505100	37995617	663552193	5.813003624814072
SRX15590311	2.6	7761056	2491854	7761056	776105600	39358726	732194679	5.657853905447919
SRX15590312	2.6	8835840	2904048	8835840	883584000	46811432	831445797	5.900763594632768
SRX15590313	2.6	7932133	2446667	7932133	793213300	43033672	746761086	5.85620715134252
SRX15590314	2.6	7589074	2550032	7589074	758907400	40292169	713590870	5.971285824858211
SRX15590315	2.6	7944482	2510227	7944482	794448200	41447324	749411299	5.668953746764107
SRX15590316	2.6	6655283	2062569	6655283	665528300	32780242	629870102	5.357878545510387
SRX15590317	2.6	7283463	2550245	7283463	728346300	35637713	688324095	5.4949417605334165
SRX15590318	2.6	7090785	2577375	7090785	709078500	32460794	672936101	5.097094186327747
SRX15590319	2.6	7074859	2532236	7074859	707485900	32810944	671101122	5.142827298748993
SRX15947806	2.6	9537648	3062936	9537648	486420048	240402	481215883	1.069891140671077
SRX15947807	2.6	12780501	3752682	12780501	651805551	370755	645694918	0.9374932432878282
SRX15947808	2.6	12616750	3807597	12616750	643454250	1596360	636305650	1.1109725361204779
SRX15947809	2.6	9087374	2879447	9087374	463456074	217615	458810730	1.0023267059393421
SRX15947810	2.6	11349970	3858610	11349970	578848470	252969	572807794	1.0435677578969846
SRX15947812	2.6	11690204	3436408	11690204	596200404	1505130	589633024	1.1015390053308316
SRX15947813	2.6	10203070	3376983	10203070	520356570	234066	515341788	0.9637203197030837
SRX15947814	2.6	9519981	3082767	9519981	485519031	232148	480465162	1.0409208861681059
SRX15947815	2.6	8803111	2649590	8803111	448958661	1340356	443817822	1.1450584311146634
SRX15947816	2.6	9875635	2908352	9875635	503657385	320295	498197739	1.0839999893975545
UV_control_1	2.6	12780501	3752682	12780501	651805551	370755	645694918	0.9374932432878282
UV_control_2	2.6	9087374	2879447	9087374	463456074	217615	458810730	1.0023267059393421
UV_control_3	2.6	11690204	3906140	11690204	596200404	274275	590201606	1.006171408095859
UV_exposure_2	2.6	12616750	4059709	12616750	643454250	311084	636598519	1.065457412084853
UV_exposure_3	2.6	11349970	3309754	11349970	578848470	1376820	572671004	1.0671991583565903
dark_4h_0110_KO_1	2.6	13365428	4195893	13365428	681636828	1356835	673756498	1.1560892364225366
dark_4h_0110_KO_2	2.6	11123179	3474675	11123179	567282129	344772	561476610	1.0233918368332735
dark_4h_0616_KO_1	2.6	10475440	3239907	10475440	534247440	1406369	528208512	1.130361616707045
dark_4h_0616_KO_2	2.6	12470397	3811741	12470397	635990247	346078	630177491	0.9139693615458855
dark_4h_1684_KO_1	2.6	10199103	3261662	10199103	520154253	287998	514420839	1.1022526427367305
dark_4h_1684_KO_2	2.6	7653084	2420076	7653084	390307284	981467	385145819	1.3224106265974784
km_LL_1	2.6	11768207	3680353	11768207	600178557	891873	593395062	1.1302461443986576
km_LL_2	2.6	12942231	3980942	12942231	660053781	1136743	653090039	1.0550264539731498
km_dark_4h_1	2.6	9934978	3325445	9934978	506683878	1043884	499008980	1.5147310449850153
km_dark_4h_2	2.6	12945821	4082816	12945821	660236871	461590	651704263	1.2923555733984449
light_0110_KO_1	2.6	12317661	3868570	12317661	628200711	324490	621803091	1.0184038139364664
light_0110_KO_2	2.6	13711958	4173322	13711958	699309858	1582915	691710972	1.0866264665183656
light_0616_KO_1	2.6	9584803	2984276	9584803	488824953	1380867	483127953	1.1654478694339485
light_0616_KO_2	2.6	12942738	3892832	12942738	660079638	383003	653860506	0.942179040523592
light_1684_KO_1	2.6	14216602	4323508	14216602	725046702	1348342	717389591	1.0560852120116255
light_1684_KO_2	2.6	10508725	3251413	10508725	535944975	251842	530713062	0.976203387297362
post_uv_2hrs_1	2.6	10203070	3376983	10203070	520356570	234066	515341788	0.9637203197030837
post_uv_2hrs_2	2.6	8803111	2649590	8803111	448958661	1340356	443817822	1.1450584311146634
post_uv_2hrs_3	2.6	9875635	2908352	9875635	503657385	320295	498197739	1.0839999893975545
post_uv_control_1	2.6	9519981	3082767	9519981	485519031	232148	480465162	1.0409208861681059
post_uv_control_2	2.6	11189687	3346240	11189687	570674037	2142860	563707367	1.2207792099012207
wt_LL_1	2.6	9009004	2808330	9009004	459459204	646006	454718034	1.0319022796200203
wt_LL_2	2.6	10386850	3311471	10386850	529729350	310730	524046328	1.0728161465850439
wt_dark_4h_1	2.6	11953769	3722615	11953769	609642219	400117	602472991	1.1759730177086047
wt_dark_4h_2	2.6	10608746	3451249	10608746	541046046	965398	534232088	1.2594044537200075
