Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRX15590299	72.79362139496686	4660541	98.09	6280239.0	6.131719009957561	75.02438551570113	54.0	95.8715838412546	20.0	6402403.0
SRX15590300	72.60764799335546	5112274	98.13	6908991.0	6.312137818198944	75.80148906466337	55.0	95.88812459895372	20.0	7040958.0
SRX15590301	76.55290649170215	5757946	98.37	7398716.0	6.029918534418573	75.83814560498523	55.0	95.86829452803786	20.0	7521525.0
SRX15590302	3.2797804307328824	230991	98.05	6905344.0	5.624029029998452	76.77654530125375	54.0	96.07070289427053	20.0	7042880.0
SRX15590303	2.729863498339604	193026	97.9	6922509.0	6.152447750223853	76.89361931848072	54.0	95.936190328166	20.0	7070903.0
SRX15590304	57.42166290177341	3944642	79.0	5427091.0	5.877714794376144	70.20452475632075	54.0	95.97784356191607	20.0	6869606.0
SRX15590305	70.95997160159908	4795565	97.99	6622515.0	6.3472445742112376	76.2690930215526	54.0	95.73036612067219	20.0	6758127.0
SRX15590306	71.7004019939089	4803643	97.84	6555222.0	6.398179088189384	76.64628929886149	55.0	95.86390359788429	20.0	6699604.0
SRX15590307	73.76798129656149	4364684	97.94	5795166.0	6.1373212183536765	74.1561772837319	55.0	95.77380305108883	20.0	5916773.0
SRX15590308	68.90442767910811	4823784	98.01	6861063.0	6.078023567872981	77.46499667155037	54.0	95.96638330404097	20.0	7000688.0
SRX15590309	69.71969165455306	4672498	97.63	6542735.0	5.943365687079135	77.5145331395816	54.0	95.98155788400608	20.0	6701834.0
SRX15590310	65.4025352561234	4501510	92.11	6339432.0	5.813003624814072	73.9703105486436	54.0	95.96431962917288	20.0	6882776.0
SRX15590311	59.729795009398224	4527930	97.91	7422354.0	5.657853905447919	77.10521737651266	53.0	96.14744095160744	40.0	7580689.0
SRX15590312	55.8860481693091	4811606	97.46	8391199.0	5.900763594632768	79.98691803531636	53.0	96.11968816934163	40.0	8609673.0
SRX15590313	64.88860231504573	5021690	98.14	7595114.0	5.85620715134252	77.2613297744906	54.0	96.0470141905739	40.0	7738940.0
SRX15590314	52.78376349559728	3901846	97.78	7227909.0	5.971285824858211	78.61213760101047	53.0	96.0783505924474	40.0	7392133.0
SRX15590315	64.71448235942981	5026656	97.9	7604508.0	5.668953746764107	77.65327347512019	54.0	96.0400142337832	30.0	7767436.0
SRX15590316	67.4358645188035	4401988	98.07	6401666.0	5.357878545510387	74.15976842968354	54.0	96.06317878396352	30.0	6527666.0
SRX15590317	44.53694864115413	3169496	97.9	6966871.0	5.4949417605334165	80.13612243148481	52.0	96.2724357884448	40.0	7116554.0
SRX15590318	36.91800554311616	2565358	97.8	6796076.0	5.097094186327747	82.37820415866723	51.0	96.39092338114831	40.0	6948799.0
SRX15590319	41.29988321758494	2862428	98.01	6793051.0	5.142827298748993	80.23017592139891	51.0	96.38104108045809	40.0	6930838.0
SRX15947806	58.182196152758394	5535990	95.9	9125046.0	1.069891140671077	78.15364488263086	54.0	50.50354017652905	20.0	9514921.0
SRX15947807	75.33635286645612	9606787	93.94	11979573.0	0.9374932432878282	70.20838622090773	55.0	50.55959659535185	20.0	12751861.0
SRX15947808	61.1079477029314	7692508	96.85	12192005.0	1.1109725361204779	79.04284456728163	54.0	50.515931979239284	20.0	12588392.0
SRX15947809	60.321056518911284	5471904	96.77	8778467.0	1.0023267059393421	77.23981958774363	55.0	50.50556557494516	20.0	9071300.0
SRX15947810	59.82781885762866	6778310	97.74	11073933.0	1.0435677578969846	83.11782291658947	54.0	50.52537473203164	30.0	11329696.0
SRX15947812	58.34456980132771	6807708	97.2	11341595.0	1.1015390053308316	83.49275098097931	54.0	50.51077145405481	30.0	11668109.0
SRX15947813	55.46841315252974	5645067	96.12	9782719.0	0.9637203197030837	85.83719838961893	54.0	50.51468799903784	40.0	10177084.0
SRX15947814	54.023108384975124	5128042	96.46	9156207.0	1.0409208861681059	81.13085026784252	54.0	50.46979903315441	30.0	9492312.0
SRX15947815	78.52845846700767	6895079	94.57	8303920.0	1.1450584311146634	63.937160563494395	55.0	50.50783538755884	20.0	8780357.0
SRX15947816	77.95888248326929	7667886	94.35	9280009.0	1.0839999893975545	67.3145500688282	55.0	50.49724232111892	20.0	9835808.0
UV_control_1	75.33652539029401	9606809	93.94	11979573.0	0.9374932432878282	70.20838622090773	55.0	50.55959659535185	18.181818181818183	12751861.0
UV_control_2	60.32375734459229	5472149	96.77	8778467.0	1.0023267059393421	77.23981958774363	55.0	50.50556557494516	18.181818181818183	9071300.0
UV_control_3	58.3447754901844	6807732	97.2	11341595.0	1.006171408095859	85.53261573928933	54.0	50.49652724361763	27.27272727272727	11668109.0
UV_exposure_2	61.10623183644106	7692292	96.85	12192005.0	1.065457412084853	79.04284456728163	54.0	50.515931979239284	18.181818181818183	12588392.0
UV_exposure_3	59.82837491844442	6778373	97.74	11073933.0	1.0671991583565903	83.11782291658947	54.0	50.52537473203164	27.27272727272727	11329696.0
dark_4h_0110_KO_1	69.50966305179904	9272653	95.2	12700414.0	1.1560892364225366	74.94445569489665	53.0	50.5183265602666	18.181818181818183	13340092.0
dark_4h_0110_KO_2	68.8573692757108	7642854	95.31	10579177.0	1.0233918368332735	73.10101780620805	52.0	50.50827844819571	18.181818181818183	11099544.0
dark_4h_0616_KO_1	73.44564334769397	7678211	93.32	9756146.0	1.130361616707045	68.5565459267752	54.0	50.55096560001232	18.181818181818183	10454277.0
dark_4h_0616_KO_2	70.47253754164122	8774752	95.28	11864185.0	0.9139693615458855	72.096251085705	53.0	50.50293643872085	18.181818181818183	12451307.0
dark_4h_1684_KO_1	35.727214553432674	3634626	95.42	9707340.0	1.1022526427367305	75.35588232479063	52.0	50.494931226636076	18.181818181818183	10173270.0
dark_4h_1684_KO_2	37.30634699354006	2847611	94.71	7229059.0	1.3224106265974784	67.93883900235674	53.0	50.45091377008421	18.181818181818183	7633047.0
km_LL_1	52.558885426604085	6172690	96.42	11324472.0	1.1302461443986576	77.28405146995519	53.0	50.50472066014483	18.181818181818183	11744332.0
km_LL_2	75.30957271652835	9732601	96.15	12425651.0	1.0550264539731498	75.60967958220046	54.0	50.527549979270255	18.181818181818183	12923458.0
km_dark_4h_1	60.72422290919071	6002771	93.46	9239291.0	1.5147310449850153	73.359343119535	52.0	50.41404230666164	18.181818181818183	9885299.0
km_dark_4h_2	70.73246176815816	9119247	93.62	12070594.0	1.2923555733984449	75.82001410468465	51.0	50.459675018000645	18.181818181818183	12892591.0
light_0110_KO_1	57.30162340891718	7045689	96.8	11901881.0	1.0184038139364664	78.00225272044065	54.0	50.49866210337145	18.181818181818183	12295793.0
light_0110_KO_2	74.22293895983564	10158216	97.12	13291582.0	1.0866264665183656	77.75596466377348	54.0	50.531665186696536	18.181818181818183	13686087.0
light_0616_KO_1	74.94461305055192	7166745	94.3	9017499.0	1.1654478694339485	65.68146445062183	54.0	50.49147794947924	18.181818181818183	9562722.0
light_0616_KO_2	74.52615967041393	9628753	93.73	12110299.0	0.942179040523592	70.2310317275334	54.0	50.51241737206079	18.181818181818183	12919964.0
light_1684_KO_1	72.53824548248102	10296574	96.28	13666070.0	1.0560852120116255	76.92459070275551	54.0	50.53063108207488	18.181818181818183	14194683.0
light_1684_KO_2	59.88765902781367	6280420	97.28	10202178.0	0.976203387297362	80.52214589042212	54.0	50.52539486499573	18.181818181818183	10487002.0
post_uv_2hrs_1	55.46789237467236	5645014	96.12	9782719.0	0.9637203197030837	85.83719838961893	54.0	50.51468799903784	36.36363636363637	10177084.0
post_uv_2hrs_2	78.52824207489513	6895060	94.57	8303920.0	1.1450584311146634	64.50027223208957	55.0	50.55517605947002	18.181818181818183	8780357.0
post_uv_2hrs_3	77.9584961398189	7667848	94.35	9280009.0	1.0839999893975545	67.3145500688282	55.0	50.49724232111892	18.181818181818183	9835808.0
post_uv_control_1	54.02271859584894	5128005	96.46	9156207.0	1.0409208861681059	81.13085026784252	54.0	50.46979903315441	27.27272727272727	9492312.0
post_uv_control_2	78.24181195512624	8723919	94.16	10498269.0	1.2207792099012207	67.59444482521724	55.0	50.55201330589523	18.181818181818183	11149945.0
wt_LL_1	51.28338569968156	4615696	96.48	8683525.0	1.0319022796200203	75.20228233864204	53.0	50.50872469396546	18.181818181818183	9000373.0
