Module	Section	Sample Name	Source
featureCounts	all_sections	SRX15947815	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15947815_all.txt.summary
featureCounts	all_sections	SRX15590308	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590308_all.txt.summary
featureCounts	all_sections	SRX15590310	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590310_all.txt.summary
featureCounts	all_sections	km_LL_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/km_LL_2_all.txt.summary
featureCounts	all_sections	light_0616_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/light_0616_KO_2_all.txt.summary
featureCounts	all_sections	post_uv_2hrs_3	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/post_uv_2hrs_3_all.txt.summary
featureCounts	all_sections	SRX15590315	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590315_all.txt.summary
featureCounts	all_sections	SRX15590314	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590314_all.txt.summary
featureCounts	all_sections	SRX15947809	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15947809_all.txt.summary
featureCounts	all_sections	wt_dark_4h_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/wt_dark_4h_2_all.txt.summary
featureCounts	all_sections	km_dark_4h_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/km_dark_4h_2_all.txt.summary
featureCounts	all_sections	wt_LL_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/wt_LL_1_all.txt.summary
featureCounts	all_sections	SRX15590319	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590319_all.txt.summary
featureCounts	all_sections	SRX15947810	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15947810_all.txt.summary
featureCounts	all_sections	post_uv_control_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/post_uv_control_2_all.txt.summary
featureCounts	all_sections	SRX15590312	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590312_all.txt.summary
featureCounts	all_sections	dark_4h_1684_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/dark_4h_1684_KO_1_all.txt.summary
featureCounts	all_sections	SRX15947807	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15947807_all.txt.summary
featureCounts	all_sections	SRX15590309	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590309_all.txt.summary
featureCounts	all_sections	post_uv_control_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/post_uv_control_1_all.txt.summary
featureCounts	all_sections	UV_control_3	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/UV_control_3_all.txt.summary
featureCounts	all_sections	SRX15947816	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15947816_all.txt.summary
featureCounts	all_sections	SRX15947813	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15947813_all.txt.summary
featureCounts	all_sections	wt_LL_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/wt_LL_2_all.txt.summary
featureCounts	all_sections	SRX15590299	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590299_all.txt.summary
featureCounts	all_sections	SRX15590311	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590311_all.txt.summary
featureCounts	all_sections	SRX15590307	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590307_all.txt.summary
featureCounts	all_sections	km_dark_4h_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/km_dark_4h_1_all.txt.summary
featureCounts	all_sections	light_0110_KO_1	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/light_0110_KO_1_all.txt.summary
featureCounts	all_sections	dark_4h_1684_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/dark_4h_1684_KO_2_all.txt.summary
featureCounts	all_sections	SRX15590301	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590301_all.txt.summary
