Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX15590299	6402403.0	6280239.0	98.09	122164.0	1.91
SRX15590300	7040958.0	6908991.0	98.13	131967.0	1.87
SRX15590301	7521525.0	7398716.0	98.37	122809.0	1.63
SRX15590302	7042880.0	6905344.0	98.05	137536.0	1.95
SRX15590303	7070903.0	6922509.0	97.9	148394.0	2.1
SRX15590304	6869606.0	5427091.0	79.0	1442515.0	21.0
SRX15590305	6758127.0	6622515.0	97.99	135612.0	2.01
SRX15590306	6699604.0	6555222.0	97.84	144382.0	2.16
SRX15590307	5916773.0	5795166.0	97.94	121607.0	2.06
SRX15590308	7000688.0	6861063.0	98.01	139625.0	1.99
SRX15590309	6701834.0	6542735.0	97.63	159099.0	2.37
SRX15590310	6882776.0	6339432.0	92.11	543344.0	7.89
SRX15590311	7580689.0	7422354.0	97.91	158335.0	2.09
SRX15590312	8609673.0	8391199.0	97.46	218474.0	2.54
SRX15590313	7738940.0	7595114.0	98.14	143826.0	1.86
SRX15590314	7392133.0	7227909.0	97.78	164224.0	2.22
SRX15590315	7767436.0	7604508.0	97.9	162928.0	2.1
SRX15590316	6527666.0	6401666.0	98.07	126000.0	1.93
SRX15590317	7116554.0	6966871.0	97.9	149683.0	2.1
SRX15590318	6948799.0	6796076.0	97.8	152723.0	2.2
SRX15590319	6930838.0	6793051.0	98.01	137787.0	1.99
SRX15947806	9514921.0	9125046.0	95.9	389875.0	4.1
SRX15947807	12751861.0	11979573.0	93.94	772288.0	6.06
SRX15947808	12588392.0	12192005.0	96.85	396387.0	3.15
SRX15947809	9071300.0	8778467.0	96.77	292833.0	3.23
SRX15947810	11329696.0	11073933.0	97.74	255763.0	2.26
SRX15947812	11668109.0	11341595.0	97.2	326514.0	2.8
SRX15947813	10177084.0	9782719.0	96.12	394365.0	3.88
SRX15947814	9492312.0	9156207.0	96.46	336105.0	3.54
SRX15947815	8780357.0	8303920.0	94.57	476437.0	5.43
SRX15947816	9835808.0	9280009.0	94.35	555799.0	5.65
