Sample	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX15590299	0.0	0.0	1.0		
SRX15590300	0.0	0.25	0.75		
SRX15590302	1.0	0.0	0.0		
SRX15590303	0.5	0.0	0.5		
SRX15590304	0.0	0.2	0.8		
SRX15590305	0.0	0.0	1.0		
SRX15590307	0.0	0.0	1.0		
SRX15590310	0.0	0.5	0.5		
SRX15590311	0.0	0.0	1.0		
SRX15590312	0.0	0.0	1.0		
SRX15590313	0.0	0.0	1.0		
SRX15590316	0.0	0.0	1.0		
SRX15590317	0.0	0.0	1.0		
SRX15590318	0.0	0.0	1.0		
SRX15590319	0.0	0.0	1.0		
SRX15947806			0.5639	0.1357	0.3004
SRX15947807			0.6367	0.1683	0.195
SRX15947808			0.535	0.1233	0.3416
SRX15947809			0.526	0.1446	0.3293
SRX15947810			0.4113	0.0955	0.4932
SRX15947812			0.472	0.0922	0.4358
SRX15947813			0.4255	0.0589	0.5156
SRX15947814			0.4746	0.0976	0.4278
SRX15947815			0.6363	0.1816	0.182
SRX15947816			0.655	0.1628	0.1822
