Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
SRX15590299	6402403.0	6280239.0	98.09	122164.0	1.91
SRX15590300	7040958.0	6908991.0	98.13	131967.0	1.87
SRX15590301	7521525.0	7398716.0	98.37	122809.0	1.63
SRX15590302	7042880.0	6905344.0	98.05	137536.0	1.95
SRX15590303	7070903.0	6922509.0	97.9	148394.0	2.1
SRX15590304	6869606.0	5427091.0	79.0	1442515.0	21.0
SRX15590305	6758127.0	6622515.0	97.99	135612.0	2.01
SRX15590306	6699604.0	6555222.0	97.84	144382.0	2.16
SRX15590307	5916773.0	5795166.0	97.94	121607.0	2.06
SRX15590308	7000688.0	6861063.0	98.01	139625.0	1.99
SRX15590309	6701834.0	6542735.0	97.63	159099.0	2.37
SRX15590310	6882776.0	6339432.0	92.11	543344.0	7.89
SRX15590311	7580689.0	7422354.0	97.91	158335.0	2.09
SRX15590312	8609673.0	8391199.0	97.46	218474.0	2.54
SRX15590313	7738940.0	7595114.0	98.14	143826.0	1.86
SRX15590314	7392133.0	7227909.0	97.78	164224.0	2.22
SRX15590315	7767436.0	7604508.0	97.9	162928.0	2.1
SRX15590316	6527666.0	6401666.0	98.07	126000.0	1.93
SRX15590317	7116554.0	6966871.0	97.9	149683.0	2.1
SRX15590318	6948799.0	6796076.0	97.8	152723.0	2.2
SRX15590319	6930838.0	6793051.0	98.01	137787.0	1.99
SRX15947806	9514921.0	9125046.0	95.9	389875.0	4.1
SRX15947807	12751861.0	11979573.0	93.94	772288.0	6.06
SRX15947808	12588392.0	12192005.0	96.85	396387.0	3.15
SRX15947809	9071300.0	8778467.0	96.77	292833.0	3.23
SRX15947810	11329696.0	11073933.0	97.74	255763.0	2.26
SRX15947812	11668109.0	11341595.0	97.2	326514.0	2.8
SRX15947813	10177084.0	9782719.0	96.12	394365.0	3.88
SRX15947814	9492312.0	9156207.0	96.46	336105.0	3.54
SRX15947815	8780357.0	8303920.0	94.57	476437.0	5.43
SRX15947816	9835808.0	9280009.0	94.35	555799.0	5.65
UV_control_1	12751861.0	11979573.0	93.94	772288.0	6.06
UV_control_2	9071300.0	8778467.0	96.77	292833.0	3.23
UV_control_3	11668109.0	11341595.0	97.2	326514.0	2.8
UV_exposure_2	12588392.0	12192005.0	96.85	396387.0	3.15
UV_exposure_3	11329696.0	11073933.0	97.74	255763.0	2.26
dark_4h_0110_KO_1	13340092.0	12700414.0	95.2	639678.0	4.8
dark_4h_0110_KO_2	11099544.0	10579177.0	95.31	520367.0	4.69
dark_4h_0616_KO_1	10454277.0	9756146.0	93.32	698131.0	6.68
dark_4h_0616_KO_2	12451307.0	11864185.0	95.28	587122.0	4.72
dark_4h_1684_KO_1	10173270.0	9707340.0	95.42	465930.0	4.58
dark_4h_1684_KO_2	7633047.0	7229059.0	94.71	403988.0	5.29
km_LL_1	11744332.0	11324472.0	96.42	419860.0	3.58
km_LL_2	12923458.0	12425651.0	96.15	497807.0	3.85
km_dark_4h_1	9885299.0	9239291.0	93.46	646008.0	6.54
km_dark_4h_2	12892591.0	12070594.0	93.62	821997.0	6.38
light_0110_KO_1	12295793.0	11901881.0	96.8	393912.0	3.2
light_0110_KO_2	13686087.0	13291582.0	97.12	394505.0	2.88
light_0616_KO_1	9562722.0	9017499.0	94.3	545223.0	5.7
light_0616_KO_2	12919964.0	12110299.0	93.73	809665.0	6.27
light_1684_KO_1	14194683.0	13666070.0	96.28	528613.0	3.72
light_1684_KO_2	10487002.0	10202178.0	97.28	284824.0	2.72
post_uv_2hrs_1	10177084.0	9782719.0	96.12	394365.0	3.88
post_uv_2hrs_2	8780357.0	8303920.0	94.57	476437.0	5.43
post_uv_2hrs_3	9835808.0	9280009.0	94.35	555799.0	5.65
post_uv_control_1	9492312.0	9156207.0	96.46	336105.0	3.54
post_uv_control_2	11149945.0	10498269.0	94.16	651676.0	5.84
wt_LL_1	9000373.0	8683525.0	96.48	316848.0	3.52
wt_LL_2	10369652.0	9977033.0	96.21	392619.0	3.79
wt_dark_4h_1	11921051.0	11255097.0	94.41	665954.0	5.59
wt_dark_4h_2	10582305.0	10042398.0	94.9	539907.0	5.1
