Geneid,SRX15590312,SRX15947806,SRX15590299,SRX15590308,SRX15947815,SRX15947812,SRX15590302,SRX15590318,SRX15590307,SRX15590319,SRX15590313,SRX15590301,SRX15590309,SRX15590311,SRX15947814,SRX15590306,SRX15590304,SRX15590310,SRX15590305,SRX15590317,SRX15947808,SRX15947816,SRX15590303,SRX15947807,SRX15590316,SRX15590314,SRX15590300,SRX15947813,SRX15590315,SRX15947810,SRX15947809
HTX97_RS00010,0,58,0,0,220,26,0,0,0,1,0,0,0,1,23,0,0,0,0,0,41,319,0,596,1,0,0,7,0,19,42
HTX97_RS00015,0,288,0,0,217,310,0,0,0,0,0,0,0,0,249,0,0,0,0,0,269,246,0,548,0,0,1,304,0,391,211
HTX97_RS00020,0,49,0,0,128,25,0,0,0,0,0,0,0,0,30,0,0,0,0,0,47,142,0,298,0,0,0,33,0,53,34
HTX97_RS00025,0,69,0,0,95,21,0,1,0,0,0,0,0,0,21,0,0,0,0,0,35,129,0,269,0,0,0,33,0,18,39
HTX97_RS00030,1,279,1,0,866,147,0,1,0,1,2,0,0,0,166,1,0,1,3,0,190,945,0,1974,0,0,0,128,0,111,181
HTX97_RS00035,0,52,0,0,43,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,26,58,0,160,0,0,0,18,0,21,30
HTX97_RS00040,0,47,0,0,123,13,0,0,1,0,0,0,0,0,13,0,0,0,0,0,38,158,0,319,0,0,0,17,0,15,21
HTX97_RS00005,0,14,0,0,28,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,31,0,116,0,0,0,3,0,10,6
Synpcc7942_0001,1091,1878,1102,798,4974,3039,56,601,890,470,1051,1576,629,1171,3331,740,840,784,850,590,2911,6062,48,7646,1026,815,1259,3659,1214,2633,2309
Synpcc7942_0002,444,557,369,233,2002,535,15,423,265,400,413,428,210,486,531,267,277,282,298,365,955,2524,17,2991,426,382,373,534,476,553,596
Synpcc7942_0003,2034,2205,2098,2002,4688,2734,89,1165,2547,1410,2544,2784,2080,2316,2209,2387,2068,2270,2169,1502,3503,5455,56,6729,2374,1796,2399,2294,2483,3384,2162
Synpcc7942_0004,1637,5863,3141,2092,2539,4623,61,1072,2618,2099,4188,4930,1812,2919,1301,2356,2499,2138,2550,1400,8001,2802,53,4083,2578,1407,4212,1389,1537,7506,3704
Synpcc7942_0005,282,450,345,265,3876,399,209,159,319,275,361,561,184,341,935,233,86,72,267,237,812,4199,239,5580,417,224,98,986,332,300,655
Synpcc7942_0006,16,147,54,21,847,117,5,22,46,45,51,92,28,56,103,21,33,30,28,29,231,894,2,1070,85,19,59,116,38,107,147
Synpcc7942_0007,107,178,139,93,956,160,8,82,109,108,163,211,62,169,145,93,82,78,86,101,269,1143,6,1274,189,106,131,208,120,161,232
Synpcc7942_0008,156,316,109,119,546,325,0,76,118,84,219,155,74,152,349,87,98,99,133,76,435,666,1,726,190,96,153,371,138,297,346
Synpcc7942_0009,845,1714,922,974,3612,2888,35,411,1076,624,1225,1634,782,1006,2227,860,907,1366,942,567,2575,4151,22,5052,1118,653,1304,2209,925,2467,2220
Synpcc7942_0010,467,452,547,475,2739,366,25,407,460,476,516,669,381,464,362,441,399,510,561,493,606,3526,21,2955,585,481,606,380,519,661,484
Synpcc7942_0011,135,1431,253,242,2562,1080,42,92,227,128,227,259,131,233,850,136,156,135,240,125,1958,2697,41,3042,217,146,171,881,186,1252,1135
Synpcc7942_0012,1228,1062,1156,1594,1335,2082,14,1612,991,1599,1244,1380,912,1272,1749,1072,681,1023,1412,1812,1421,1462,22,1689,1269,1422,1320,1610,966,2042,1013
Synpcc7942_0013,6978,714,3369,1141,3241,1459,141,4546,5040,11546,10573,6724,2690,7336,1006,5964,2129,180,1898,10621,1193,3549,101,3967,12862,15087,4841,613,11496,1166,1190
Synpcc7942_0014,2149,399,1094,530,2050,449,350,1582,1722,4071,3138,1967,953,2425,466,1943,152,85,666,3403,500,2341,773,2585,4570,4740,117,484,3726,520,488
Synpcc7942_0015,307,232,197,144,2757,194,112,223,274,676,462,400,135,417,234,240,32,56,177,625,348,3269,113,3367,1064,732,36,224,590,183,331
Synpcc7942_0016,180,458,156,123,3183,376,56,138,139,151,250,166,113,207,381,139,98,81,150,168,711,3807,44,3461,294,171,128,288,228,344,616
Synpcc7942_0017,285,265,269,191,2357,169,196,173,199,207,316,251,204,339,191,216,52,62,213,209,391,2670,196,2762,307,224,34,125,266,191,283
Synpcc7942_0018,574,1507,686,539,5243,2319,38,317,858,451,977,1316,484,777,2193,622,771,789,523,407,2445,6091,27,6329,1072,619,967,2182,883,2272,2025
Synpcc7942_0019,713,1276,595,385,3546,1205,110,569,595,453,584,782,409,687,2423,533,383,478,459,530,1963,4084,83,4635,704,517,662,3190,924,1631,1154
Synpcc7942_0020,102,165,95,76,1223,135,26,55,86,76,81,106,47,103,217,68,41,70,71,68,258,1437,18,1540,108,84,65,281,102,123,160
Synpcc7942_0021,47,200,89,73,1198,140,33,33,90,44,72,94,53,74,102,67,43,63,66,51,311,1299,20,1856,96,69,69,100,84,140,238
Synpcc7942_0022,386,502,541,197,2423,481,146,142,387,201,580,682,239,466,368,342,281,289,302,191,721,2671,134,3214,468,240,444,401,383,418,541
Synpcc7942_0023,259,447,372,272,2590,570,35,130,357,166,352,652,200,287,436,341,300,254,302,177,765,3083,35,3593,453,167,490,394,299,468,581
Synpcc7942_0024,479,454,373,372,2539,388,73,305,220,379,428,288,222,496,390,241,184,177,391,393,715,2894,64,3489,378,437,227,356,431,475,493
Synpcc7942_0025,748,546,625,521,2839,354,170,507,493,608,841,674,431,828,303,508,378,375,542,618,950,3097,142,4288,705,582,501,268,591,575,530
Synpcc7942_0026,212,845,204,246,1333,310,45,149,183,167,279,284,170,266,295,158,157,189,210,165,1077,1371,28,1810,259,190,215,342,237,778,457
Synpcc7942_0027,122,245,107,106,2470,156,35,77,113,92,168,127,82,155,139,89,67,103,94,102,416,2448,23,3509,114,100,122,123,104,186,272
Synpcc7942_0028,31,190,36,35,2223,98,6,28,47,43,58,69,29,34,72,32,24,32,32,25,311,2469,2,2620,34,27,48,66,34,120,243
Synpcc7942_0029,44,169,54,33,2341,122,9,29,47,34,44,57,46,65,114,47,29,35,43,42,261,2507,5,3087,45,39,34,76,31,170,212
Synpcc7942_0030,187,301,159,167,2192,216,46,89,184,126,168,137,132,155,217,151,68,147,201,141,413,2400,30,2402,156,153,127,228,159,375,368
Synpcc7942_0031,198,573,220,204,4977,357,92,148,195,159,242,226,178,262,332,194,98,103,209,176,810,5356,86,5832,221,179,197,253,179,461,658
Synpcc7942_0032,151,393,89,85,1501,259,2,122,56,129,101,73,66,157,273,73,69,56,84,157,631,1489,3,2673,163,149,83,274,163,240,370
Synpcc7942_0033,191,608,121,91,1977,467,6,141,66,109,109,91,67,164,515,82,64,69,77,142,1015,1813,9,3592,142,153,91,451,127,448,567
Synpcc7942_0034,22,38,7,16,601,16,11,15,7,13,10,8,12,21,24,9,0,1,11,33,48,719,11,626,19,30,2,24,20,31,73
Synpcc7942_0035,462,689,186,172,4122,561,116,318,115,245,94,85,130,282,450,149,53,24,174,364,1279,4433,44,5699,405,397,85,320,465,557,978
Synpcc7942_0036,126,328,135,172,3379,393,58,67,132,106,163,193,97,148,596,151,55,100,152,87,514,3506,36,4019,195,129,106,576,148,258,566
Synpcc7942_0037,56,57,60,91,628,59,41,39,66,35,84,103,42,77,27,80,27,15,71,34,106,632,36,800,91,41,30,45,59,74,78
Synpcc7942_0038,143,301,196,154,2742,244,46,62,140,107,189,169,122,191,277,125,97,114,151,120,454,3500,31,3403,192,131,100,224,181,205,431
Synpcc7942_0039,1741,760,1122,1032,4550,673,102,1272,738,817,858,1090,794,1143,4641,850,563,575,944,1202,1029,5190,90,5459,1483,1244,934,6155,2588,812,803
Synpcc7942_0040,217,314,207,147,2467,250,34,153,131,147,206,209,142,163,572,143,121,122,140,175,503,2836,28,2844,290,181,165,737,410,264,424
Synpcc7942_0041,196,542,241,173,6392,373,62,131,253,238,325,387,110,266,464,197,159,141,184,165,805,7059,61,8239,524,165,243,457,369,422,837
Synpcc7942_0042,2712,1493,3323,2687,832,2334,28,1125,2489,1304,3551,4267,2686,3096,1762,2473,3272,3033,2645,1495,2133,992,33,1275,2435,1854,3541,2015,2300,2384,1613
Synpcc7942_0043,46,198,46,32,1093,125,7,29,41,19,45,75,26,52,118,17,34,33,28,33,241,1227,6,1360,43,46,51,112,53,139,223
Synpcc7942_0044,339,853,439,253,11464,544,224,150,278,220,541,647,228,487,548,267,260,173,227,143,1258,13350,158,12987,370,227,284,423,295,609,1418
Synpcc7942_0045,371,805,402,265,7674,400,287,156,230,234,430,407,222,436,472,233,63,68,303,252,1110,7869,226,8230,358,242,106,319,242,468,1132
Synpcc7942_0046,1245,1763,2064,361,11220,1957,52,201,311,206,1990,2330,258,1801,1382,300,1213,288,403,246,2609,11102,56,13367,298,294,2234,1137,334,1752,2542
Synpcc7942_0047,5409,3032,5887,2621,23416,2232,5655,989,1265,1012,6574,5688,2035,7035,2203,1685,684,184,2537,1289,4696,22452,4445,23670,1013,1559,1064,1530,1113,2498,4620
Synpcc7942_0048,38135,25532,32630,11875,3178,34855,141,5152,6942,4484,40156,32863,10602,40669,24016,9141,28384,14590,10702,4758,37459,3353,107,6721,4481,5456,32598,22824,4757,37203,23613
Synpcc7942_0049,185956,12163,173372,9494,1425,35502,404,5675,6665,3937,231954,185102,8085,195333,17818,7343,124487,13152,10098,4182,18394,1398,327,4192,4078,3781,167299,20954,3525,26951,16224
Synpcc7942_0050,2690,3654,2535,2173,11113,3571,655,1156,1880,1475,3182,2694,1815,3566,3463,2057,1610,1859,2156,1590,6837,10048,552,15054,2051,2000,1914,3376,1487,3684,3653
Synpcc7942_0051,700,1832,1055,1120,4967,2002,270,440,1136,738,938,1399,981,937,2046,1157,728,1123,1079,798,3647,4108,213,8005,1332,1109,917,1933,801,1833,2064
Synpcc7942_0052,394,966,445,616,2464,935,237,246,561,373,579,578,517,471,909,595,267,411,594,398,1847,2143,187,3275,592,633,309,830,433,880,1080
Synpcc7942_0053,268,578,411,397,2773,1009,105,144,396,374,472,543,342,381,830,412,228,343,446,341,1390,2422,80,4221,551,528,405,850,221,488,860
Synpcc7942_0054,547,798,626,478,3306,787,154,239,332,308,746,591,356,716,875,349,358,262,421,370,1580,2947,140,4070,464,486,384,771,297,836,918
Synpcc7942_0055,1230,1403,1362,718,3003,1463,149,329,407,467,1842,1359,569,1564,1472,560,1093,487,597,485,2418,2559,100,4249,625,765,1226,1518,434,1369,1348
Synpcc7942_0056,315,877,360,437,5560,598,107,234,379,465,369,385,362,420,566,416,260,278,413,403,1834,5388,84,6821,571,494,310,491,405,663,1099
Synpcc7942_0057,304,1000,406,449,4718,613,30,265,376,396,436,442,504,450,602,439,345,421,480,369,1864,4419,20,6682,530,462,298,395,400,675,1193
Synpcc7942_0058,264,507,197,204,3481,347,19,215,194,244,271,193,179,263,303,189,173,161,213,264,789,3325,10,3806,227,211,195,198,221,389,602
Synpcc7942_0059,349,439,305,316,1981,309,0,300,185,234,296,229,303,308,301,309,228,188,275,266,767,2293,1,2626,214,256,279,221,279,371,677
Synpcc7942_0060,90,510,87,77,1604,378,2,64,72,63,73,87,60,93,311,66,63,61,58,76,873,1847,1,2401,82,71,70,215,81,326,706
Synpcc7942_0061,246,805,269,273,6745,480,30,198,308,269,297,361,293,268,557,377,174,249,299,273,1385,6917,33,7504,353,297,262,380,346,566,1338
Synpcc7942_0062,419,772,372,556,4370,916,39,329,548,565,455,359,502,452,813,601,242,503,544,544,1399,4376,32,5858,767,694,319,816,559,644,1084
Synpcc7942_0063,21,239,21,9,3165,145,5,16,12,20,22,19,2,25,195,13,9,7,18,24,391,3554,4,3083,13,16,4,114,24,182,375
Synpcc7942_0064,12,115,19,18,1252,45,18,9,8,9,16,18,12,22,56,7,2,3,13,12,156,1607,10,1423,20,8,3,56,16,55,163
Synpcc7942_0065,2172,1475,2372,3420,2473,3427,51,1546,2442,2783,3094,2239,2254,2925,3520,2349,1521,2612,2852,3073,2254,2528,47,2766,3053,3501,2496,3873,2454,1902,2556
Synpcc7942_0066,159,719,238,125,5573,523,76,103,216,143,295,412,114,220,490,161,188,165,114,151,1097,5614,67,6439,281,166,237,330,212,531,900
Synpcc7942_0067,102,301,112,78,2957,303,19,60,120,81,153,194,61,125,220,91,81,82,79,76,410,3336,26,3521,167,78,106,239,105,334,450
Synpcc7942_0068,223,223,237,135,1997,203,77,100,190,153,350,327,129,278,148,122,155,103,130,134,398,2007,60,2291,248,153,171,144,185,220,331
Synpcc7942_0069,306,64,117,160,519,42,2,222,56,231,174,96,76,166,56,81,44,58,146,234,86,559,3,679,112,272,62,52,230,21,67
Synpcc7942_0070,81,169,78,64,903,148,10,56,87,72,78,128,43,56,98,81,47,56,55,74,207,932,12,1111,101,92,43,103,82,121,187
Synpcc7942_0071,204,571,382,377,2260,971,38,113,380,135,338,519,244,327,694,317,233,364,400,181,1022,2341,33,3140,383,272,435,666,299,906,805
Synpcc7942_0072,88,508,95,110,1310,545,12,78,130,128,134,167,76,126,501,81,82,117,104,96,811,1387,10,2030,171,84,122,536,127,653,492
Synpcc7942_0073,559,1883,539,624,2373,1870,17,332,587,497,766,805,413,722,1782,418,523,541,550,495,3100,2526,27,3878,812,531,712,2030,550,2706,1569
Synpcc7942_0074,19,106,11,23,903,61,11,15,10,5,20,20,11,16,52,13,8,7,21,12,195,1051,10,1321,9,11,5,34,21,60,129
Synpcc7942_0075,826,2019,1258,849,2436,2880,62,459,1064,557,1274,1928,762,1124,2673,880,1084,954,832,583,3048,2856,30,4429,1134,711,1585,2904,958,2385,2328
Synpcc7942_0076,155,443,256,157,1450,669,29,95,223,128,202,325,133,193,546,157,220,197,187,102,796,1703,14,2964,215,128,313,643,184,637,563
Synpcc7942_0077,191,638,261,360,990,1068,24,199,463,296,343,342,335,294,791,346,125,327,439,308,1074,1169,22,1892,509,370,247,866,367,765,921
Synpcc7942_0078,170,518,235,233,879,445,42,106,308,191,276,214,177,205,418,191,172,216,260,159,777,1002,23,1555,357,204,151,408,196,503,414
