Geneid,SRX15590299,SRX15590300,SRX15590301,SRX15590302,SRX15590303,SRX15590304,SRX15590305,SRX15590306,SRX15590307,SRX15590308,SRX15590309,SRX15590310,SRX15590311,SRX15590312,SRX15590313,SRX15590314,SRX15590315,SRX15590316,SRX15590317,SRX15590318,SRX15590319,SRX15947806,SRX15947807,SRX15947808,SRX15947809,SRX15947810,SRX15947812,SRX15947813,SRX15947814,SRX15947815,SRX15947816
HTX97_RS00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31542228628093516,0.0,0.0,0.0,0.0,0.338431448952352,0.0,0.0,0.4913431225018358,3.8305998381362736,6.591080068650221,2.9473663824976812,3.426690413716508,2.130403772236134,2.47826333647062,1.344420283071062,2.6929653457399962,5.662315067746995,6.02708507953407
HTX97_RS00015,0.0,0.3653481996605267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459149142195526,6.872522610897375,5.890732786990433,6.0419733531574735,6.540278616339984,6.193695406318047,6.484290930137351,6.310582094144422,6.041068512460419,6.056982712664971
HTX97_RS00020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7796961538150793,5.790780848153098,3.288311948734092,3.32151143267179,3.5532288687122424,2.5873310877369486,3.2124390522392074,3.1898245723913874,5.083807981396366,5.069196325996957
HTX97_RS00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071059027898822,0.0,4.505901709104202,5.917364673859822,3.155477827652214,3.7549457050635198,2.4376845262795865,2.6081835194678,3.46155070887888,2.979857904898675,4.934953198361229,5.20326875574994
HTX97_RS00030,0.0734720810992967,0.0,0.0,0.0,0.0,0.0,0.21103163477907322,0.07433613983625026,0.0,0.0,0.0,0.07872320066970868,0.0,0.0740180530663156,0.13452382248435188,0.0,0.0,0.0,0.0,0.14066850726951907,0.12522973553051744,3.9279196765866886,6.162337039770548,2.991488507909587,3.377622310553165,2.4358948908760913,2.760729727829697,2.8660213823888396,3.295336576464552,5.481344499779356,5.4433681381921994
HTX97_RS00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.243928319210978,6.33421935927629,3.832369465586981,4.502948948177204,3.6572918068522897,3.51033653163127,3.7348993902226497,3.911590153174993,4.962894619809253,5.22197134188614
HTX97_RS00040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317426341078968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.517542430424129,5.666625075892447,2.821178031139148,2.524885613597312,1.8483217601483324,1.6912047319192098,2.215760410603866,2.0046281052120474,4.810699621304755,5.000601431660887
HTX97_RS00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9724224801258792,4.170519937892039,1.0354699644029963,1.1865740774923785,1.3942644462246707,1.1944129751452208,0.6818575386756378,1.0623950588095927,2.7627445177717656,2.747441790157846
Synpcc7942_0001,7.0239108647572825,7.112062422735103,7.29423077107038,7.361012543525268,7.390107047084446,6.901660567386382,6.6596720657445925,6.471903953216141,6.898252404550499,6.5540431012561005,6.267311076570746,6.6383799678395645,7.174406331502761,7.020421158487628,6.860377051630389,6.925899122581421,7.204504212733151,7.097762589867258,6.7784053553491095,7.119552209420756,6.593888872654904,7.752846837547344,9.263392910195957,7.906500563633203,8.075649182282989,7.880723780726843,8.070909894106734,8.659393348995314,8.63608760500044,9.13862100445318,9.258998060339808
Synpcc7942_0002,5.885119606470359,5.798864590192284,5.855705299689295,5.9022218339467765,6.328198613199556,5.742393631742425,5.589605342301221,5.444537564611804,5.594612275137246,5.227722042610021,5.1336302296121215,5.604771070272602,6.339743789074021,6.158731592146612,5.950034693301228,6.265779287949049,6.288677172639742,6.264129447070857,6.5144020957095545,7.039589999948443,6.785501789604517,6.435608561644428,8.337582284336344,6.732315540287732,6.5579510573681645,6.071003563452562,6.008287153747691,6.323559223315846,6.4263080049380195,8.253977636650218,8.422918689148442
Synpcc7942_0003,6.960700216414876,7.050076991606304,7.123682186403371,7.038999236886166,6.625953091712763,7.206518118731062,7.01541968012098,7.162662985434885,7.418882456007659,6.885243093577235,6.992682090412621,7.175008346758382,7.165759422635556,6.927235605789193,7.14090008510472,7.072060756762939,7.243952890922035,7.313974325091701,7.131028633436609,7.082118438539085,7.1812116491239415,6.996465906987624,8.08943534469531,7.184899239883394,6.9941498835919385,7.253495973214564,6.932211603117177,7.000943143582501,7.058159884838327,8.063426864911735,8.117031024859001
Synpcc7942_0004,8.191483067069578,8.510442176068238,8.59671876700843,7.148454815585813,7.19696255408467,8.13024918230182,7.899008296175492,7.79546704689262,8.110581358706035,7.599146732486601,7.44586594138594,7.740580365916174,8.149863123356468,7.266725383874482,8.509028767830037,7.3731217464167,7.20749016026677,8.08439559511355,7.681545010375255,7.614048519084253,8.404765857655718,9.053959124182395,8.024177919151303,9.024571038503803,8.418986363226725,9.05130572408135,8.337890632086657,6.9329315557537985,6.950491963134317,7.8349032285712115,7.81239455323996
