Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRX15590299	6402403	4660541	26418	122164	0	0	0	0	0	0	0	0	0	1295472	292921	4887	72.79362139496686
SRX15590300	7040958	5112274	23793	131967	0	0	0	0	0	0	0	0	0	1445305	325093	2526	72.60764799335546
SRX15590301	7521525	5757946	33721	122809	0	0	0	0	0	0	0	0	0	1246156	354654	6239	76.55290649170215
SRX15590302	7042880	230991	125	137536	0	0	0	0	0	0	0	0	0	6627115	47014	99	3.2797804307328824
SRX15590303	7070903	193026	214	148394	0	0	0	0	0	0	0	0	0	6687929	41268	72	2.729863498339604
SRX15590304	6869606	3944642	36911	1442515	0	0	0	0	0	0	0	0	0	1182370	261152	2016	57.42166290177341
SRX15590305	6758127	4795565	26374	135612	0	0	0	0	0	0	0	0	0	1487148	309003	4425	70.95997160159908
SRX15590306	6699604	4803643	30630	144382	0	0	0	0	0	0	0	0	0	1408501	307954	4494	71.7004019939089
SRX15590307	5916773	4364684	24317	121607	0	0	0	0	0	0	0	0	0	1124702	277119	4344	73.76798129656149
SRX15590308	7000688	4823784	35881	139625	0	0	0	0	0	0	0	0	0	1674795	322225	4378	68.90442767910811
SRX15590309	6701834	4672498	45019	159099	0	0	0	0	0	0	0	0	0	1519912	301135	4171	69.71969165455306
SRX15590310	6882776	4501510	29658	543344	0	0	0	0	0	0	0	0	0	1479406	327069	1789	65.4025352561234
SRX15590311	7580689	4527930	26279	158335	0	0	0	0	0	0	0	0	0	2567919	294453	5773	59.729795009398224
SRX15590312	8609673	4811606	56025	218474	0	0	0	0	0	0	0	0	0	3215175	302497	5896	55.8860481693091
SRX15590313	7738940	5021690	25671	143826	0	0	0	0	0	0	0	0	0	2221082	320272	6399	64.88860231504573
SRX15590314	7392133	3901846	22200	164224	0	0	0	0	0	0	0	0	0	3044091	255226	4546	52.78376349559728
SRX15590315	7767436	5026656	138931	162928	0	0	0	0	0	0	0	0	0	2151143	282640	5138	64.71448235942981
SRX15590316	6527666	4401988	14469	126000	0	0	0	0	0	0	0	0	0	1691516	288440	5253	67.4358645188035
SRX15590317	7116554	3169496	58024	149683	0	0	0	0	0	0	0	0	0	3532563	202738	4050	44.53694864115413
SRX15590318	6948799	2565358	53388	152723	0	0	0	0	0	0	0	0	0	3999507	174403	3420	36.91800554311616
SRX15590319	6930838	2862428	30460	137787	0	0	0	0	0	0	0	0	0	3704060	192117	3986	41.29988321758494
SRX15947806	9514921	5535990	1647123	389875	0	0	0	0	118691	0	0	0	0	1454681	292294	76267	58.182196152758394
SRX15947807	12751861	9606787	645489	772288	0	0	0	0	320670	0	0	0	0	520098	614832	271697	75.33635286645612
SRX15947808	12588392	7692508	1529833	396387	0	0	0	0	167078	0	0	0	0	2270600	423781	108205	61.1079477029314
SRX15947809	9071300	5471904	985377	292833	0	0	0	0	119140	0	0	0	0	1797489	312164	92393	60.321056518911284
SRX15947810	11329696	6778310	2150448	255763	0	0	0	0	162224	0	0	0	0	1505231	358894	118826	59.82781885762866
SRX15947812	11668109	6807708	2211302	326514	0	0	0	0	236649	0	0	0	0	1522659	406028	157249	58.34456980132771
SRX15947813	10177084	5645067	2364033	394365	0	0	0	0	202006	0	0	0	0	1102200	328263	141150	55.46841315252974
SRX15947814	9492312	5128042	2275192	336105	0	0	0	0	167636	0	0	0	0	1171321	299183	114833	54.023108384975124
SRX15947815	8780357	6895079	295433	476437	0	0	0	0	167403	0	0	0	0	335034	421768	189203	78.52845846700767
SRX15947816	9835808	7667886	433479	555799	0	0	0	0	159344	0	0	0	0	382186	465088	172026	77.95888248326929
