Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX15590299	6402403	4660541	26418	122164	0	0	0	0	0	0	0	0	0	1295472	292921	4887	72.79362139496686	6402403.0	6280239.0	98.09	122164.0	1.91	SRX15590299_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6402403.0	0.0	20-100	54.0	24.975614484298877	95.8715838412546	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6570183	1991471	6570183	657018300	37493415	616731784	6.131719009957561	0.0	0.0	1.0		
SRX15590300	7040958	5112274	23793	131967	0	0	0	0	0	0	0	0	0	1445305	325093	2526	72.60764799335546	7040958.0	6908991.0	98.13	131967.0	1.87	SRX15590300_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7040958.0	0.0	20-100	55.0	24.19851093533663	95.88812459895372	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7240321	2194942	7240321	724032100	41444218	678330196	6.312137818198944	0.0	0.25	0.75		
SRX15590301	7521525	5757946	33721	122809	0	0	0	0	0	0	0	0	0	1246156	354654	6239	76.55290649170215	7521525.0	7398716.0	98.37	122809.0	1.63	SRX15590301_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7521525.0	0.0	20-100	55.0	24.16185439501477	95.86829452803786	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7709268	2301137	7709268	770926800	43294110	724440542	6.029918534418573					
SRX15590302	7042880	230991	125	137536	0	0	0	0	0	0	0	0	0	6627115	47014	99	3.2797804307328824	7042880.0	6905344.0	98.05	137536.0	1.95	SRX15590302_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7042880.0	0.0	20-100	54.0	23.22345469874626	96.07070289427053	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7202205	2212230	7202205	720220500	36614910	679715090	5.624029029998452	1.0	0.0	0.0		
SRX15590303	7070903	193026	214	148394	0	0	0	0	0	0	0	0	0	6687929	41268	72	2.729863498339604	7070903.0	6922509.0	97.9	148394.0	2.1	SRX15590303_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7070903.0	0.0	20-100	54.0	23.10638068151928	95.936190328166	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7262567	2209326	7262567	726256700	40891240	681574136	6.152447750223853	0.5	0.0	0.5		
SRX15590304	6869606	3944642	36911	1442515	0	0	0	0	0	0	0	0	0	1182370	261152	2016	57.42166290177341	6869606.0	5427091.0	79.0	1442515.0	21.0	SRX15590304_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6869606.0	0.0	20-100	54.0	29.79547524367924	95.97784356191607	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7036951	2069149	7036951	703695100	38496664	662333909	5.877714794376144	0.0	0.2	0.8		
SRX15590305	6758127	4795565	26374	135612	0	0	0	0	0	0	0	0	0	1487148	309003	4425	70.95997160159908	6758127.0	6622515.0	97.99	135612.0	2.01	SRX15590305_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6758127.0	0.0	20-100	54.0	23.7309069784474	95.7303661206722	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6941341	2130531	6941341	694134100	40178133	650075711	6.3472445742112376	0.0	0.0	1.0		
SRX15590306	6699604	4803643	30630	144382	0	0	0	0	0	0	0	0	0	1408501	307954	4494	71.7004019939089	6699604.0	6555222.0	97.84	144382.0	2.16	SRX15590306_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6699604.0	0.0	20-100	55.0	23.353710701138517	95.86390359788427	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6894458	2117606	6894458	689445800	40019174	645333823	6.398179088189384					
SRX15590307	5916773	4364684	24317	121607	0	0	0	0	0	0	0	0	0	1124702	277119	4344	73.76798129656149	5916773.0	5795166.0	97.94	121607.0	2.06	SRX15590307_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5916773.0	0.0	20-100	55.0	25.84382271626809	95.77380305108883	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	6065989	1830661	6065989	606598900	34657456	569369977	6.1373212183536765	0.0	0.0	1.0		
SRX15590308	7000688	4823784	35881	139625	0	0	0	0	0	0	0	0	0	1674795	322225	4378	68.90442767910811	7000688.0	6861063.0	98.01	139625.0	1.99	SRX15590308_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7000688.0	0.0	20-100	54.0	22.535003328449637	95.96638330404096	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	7187072	2228940	7187072	718707200	39536299	675024007	6.078023567872981					
