Sample	Aligned	Not aligned
DRX275049	92034.0	919259.0
DRX275050	947336.0	56916.0
SRX063252	9837403.0	5327717.0
SRX063253	740264.0	19485962.0
SRX063254	715143.0	19457854.0
SRX10864008	20401774.0	260797.0
SRX10864009	23801470.0	270013.0
SRX10864010	22629463.0	307916.0
SRX10864011	23565159.0	539253.0
SRX10864012	23510901.0	577801.0
SRX10864013	23538231.0	560304.0
SRX10864014	22146907.0	560951.0
SRX10864015	23553642.0	547558.0
SRX10864016	23561826.0	536567.0
SRX11229889	23487155.0	2138998.0
SRX11313113	22690671.0	4992744.0
SRX11402692	21912488.0	2248801.0
SRX11402693	31537126.0	3048445.0
SRX15590299	6280239.0	122164.0
SRX15590300	6908991.0	131967.0
SRX15590301	7398716.0	122809.0
SRX15590302	6905344.0	137536.0
SRX15590303	6922509.0	148394.0
SRX15590304	5427091.0	1442515.0
SRX15590305	6622515.0	135612.0
SRX15590306	6555222.0	144382.0
SRX15590307	5795166.0	121607.0
SRX15590308	6861063.0	139625.0
SRX15590309	6542735.0	159099.0
SRX15590310	6339432.0	543344.0
SRX15590311	7422354.0	158335.0
SRX15590312	8391199.0	218474.0
SRX15590313	7595114.0	143826.0
SRX15590314	7227909.0	164224.0
SRX15590315	7604508.0	162928.0
SRX15590316	6401666.0	126000.0
SRX15590317	6966871.0	149683.0
SRX15590318	6796076.0	152723.0
SRX15590319	6793051.0	137787.0
SRX15630037	3617932.0	234464.0
SRX15630038	3699613.0	287523.0
SRX15630039	3610352.0	204809.0
SRX15630040	4044701.0	302307.0
SRX15630041	3608315.0	252914.0
SRX15630042	3556432.0	349539.0
SRX15630043	4179772.0	253652.0
SRX15630044	3582498.0	270749.0
SRX15630045	3486918.0	196440.0
SRX15630046	3733998.0	215724.0
SRX15630047	3974462.0	297223.0
SRX15630048	3682377.0	238232.0
SRX15947806	9125046.0	389875.0
SRX15947807	11979573.0	772288.0
SRX15947808	12192005.0	396387.0
SRX15947809	8778467.0	292833.0
SRX15947810	11073933.0	255763.0
SRX15947812	11341595.0	326514.0
SRX15947813	9782719.0	394365.0
SRX15947814	9156207.0	336105.0
SRX15947815	8303920.0	476437.0
SRX15947816	9280009.0	555799.0
SRX17839586	13982907.0	839356.0
SRX17839587	14552135.0	3550426.0
SRX17839588	12278198.0	1514270.0
SRX17839589	16528465.0	2011366.0
SRX17839590	20023655.0	1242957.0
SRX17839591	17242640.0	2358507.0
SRX18913104	8953612.0	646049.0
SRX18913105	10227265.0	781939.0
SRX18913106	8334417.0	517036.0
SRX18913107	8669816.0	779825.0
SRX18913108	9322509.0	843259.0
SRX18913109	10663797.0	875807.0
SRX18913110	7959581.0	644388.0
SRX18913111	8154681.0	739864.0
SRX18913112	10272243.0	809219.0
SRX18913113	8532092.0	1100488.0
SRX18913114	8934869.0	783740.0
SRX18913115	8958389.0	826002.0
SRX2356912	9990388.0	306161.0
SRX2356913	8474504.0	249088.0
SRX2356914	9601469.0	318562.0
SRX2356915	11241022.0	395013.0
SRX2356916	8246709.0	243497.0
SRX2356917	10560824.0	336597.0
SRX2356918	10088250.0	328795.0
SRX2356919	17857444.0	522085.0
SRX2356920	13004702.0	535189.0
SRX2356921	9116726.0	411746.0
SRX2356922	11759390.0	615518.0
SRX2356923	11033244.0	466964.0
SRX2356924	11082874.0	282934.0
SRX2356925	10940510.0	275119.0
SRX2356926	13870466.0	416625.0
SRX2356927	11184109.0	318634.0
SRX2356928	12824317.0	311679.0
SRX2356929	14795383.0	390024.0
SRX2356930	11787778.0	311903.0
SRX2356931	12500857.0	364496.0
SRX2356932	13454374.0	335509.0
SRX2356933	15926056.0	371352.0
SRX2356934	15093985.0	370929.0
SRX2356935	10396458.0	318937.0
SRX259777	34230128.0	1934506.0
SRX259778	23044449.0	1314782.0
SRX259779	24822306.0	1184449.0
SRX259780	27024600.0	1464025.0
SRX259781	14004497.0	780101.0
SRX259782	13904671.0	740618.0
SRX259783	25938458.0	1411772.0
SRX259784	17778624.0	1130619.0
SRX259785	21865829.0	1429290.0
SRX259786	57324690.0	3681075.0
SRX259787	37686082.0	2689072.0
SRX259788	48071630.0	3349890.0
SRX259789	14498699.0	901306.0
SRX259790	8571200.0	640044.0
SRX259791	27312483.0	1943542.0
SRX259792	10732440.0	2091009.0
SRX259793	13705154.0	1880427.0
SRX3159653	13522390.0	1379858.0
SRX3159654	16812050.0	1952066.0
SRX3159655	15223367.0	1396542.0
SRX3159656	9739480.0	1076447.0
SRX3159657	11363173.0	917761.0
SRX3159658	12948979.0	892892.0
SRX3159659	15644402.0	1273604.0
SRX3159660	15780142.0	798365.0
SRX3159661	13831004.0	4257634.0
SRX3159662	18641672.0	2575271.0
SRX3159663	14528687.0	2584169.0
SRX3159664	15556635.0	3874207.0
SRX3159665	14777447.0	1236493.0
SRX3159666	14349731.0	2906793.0
SRX3159667	12369311.0	947854.0
SRX3159668	15448485.0	1547550.0
SRX3172761	8495283.0	1093206.0
SRX3172762	11924198.0	1350304.0
SRX3172763	13329383.0	1748518.0
SRX3172764	15462698.0	1413747.0
SRX3172765	12859205.0	1157963.0
SRX3172766	11698818.0	1389253.0
SRX3176780	13506673.0	3187828.0
SRX3176781	12760238.0	2444573.0
SRX3176782	8735292.0	2153825.0
SRX3176783	14205506.0	2928912.0
SRX3176784	11519176.0	3138444.0
SRX3176785	14476361.0	2406764.0
SRX3176786	10432264.0	2160972.0
SRX3176787	10293134.0	1988289.0
SRX3176788	12963675.0	2398794.0
SRX3176789	9803890.0	1055584.0
SRX3176790	14281466.0	1415533.0
SRX3176791	10604651.0	991630.0
SRX3176792	8993875.0	1015980.0
SRX3176793	11908533.0	1779163.0
SRX3176794	15980515.0	1652648.0
SRX3176795	11918224.0	1964851.0
SRX3176796	17549993.0	3908202.0
SRX3176797	7599215.0	7759823.0
SRX3176798	8230631.0	788878.0
SRX3176799	7489028.0	777967.0
SRX3176800	8444792.0	779783.0
SRX3176801	8301254.0	700238.0
SRX3176802	7038322.0	603635.0
SRX3176803	7304859.0	613317.0
SRX3176804	11132058.0	794258.0
SRX3176805	9882987.0	743734.0
SRX3176806	7539132.0	347165.0
SRX3176807	9883165.0	522425.0
SRX3176808	11986927.0	699574.0
SRX3176809	10693336.0	668655.0
SRX3176810	19944716.0	1759212.0
SRX3176811	12812452.0	792788.0
SRX3176812	21309654.0	1586608.0
SRX3176813	11921570.0	643716.0
SRX3176814	11760524.0	656005.0
SRX3176815	12343906.0	1381658.0
SRX3211301	7731323.0	157948.0
SRX3211302	8204998.0	173627.0
SRX3211303	7842735.0	146902.0
SRX3211304	8803751.0	96041.0
SRX3211305	10312680.0	229065.0
SRX3211306	7631438.0	70008.0
SRX3211307	10386925.0	120566.0
SRX3211308	8952319.0	111777.0
SRX3211309	8991952.0	123898.0
SRX3211310	7399550.0	78993.0
SRX3211311	9749136.0	151982.0
SRX3211312	7519095.0	76108.0
SRX3211313	9254936.0	170091.0
SRX3211314	9294770.0	147491.0
SRX3211315	11310619.0	182321.0
SRX3211316	10705503.0	143701.0
SRX3211317	12623891.0	208642.0
SRX3211318	9879972.0	98129.0
SRX3211319	13033792.0	172546.0
SRX3211320	9001799.0	126966.0
SRX3211321	7341885.0	130458.0
SRX3211322	10824099.0	159591.0
SRX3211323	5757233.0	89443.0
SRX3211324	4303429.0	51335.0
SRX3211325	6102785.0	63216.0
SRX3211326	9138272.0	128736.0
SRX3211327	7448133.0	80909.0
SRX3211328	8308913.0	83236.0
SRX3211329	6090159.0	91351.0
SRX3211330	5223549.0	91245.0
SRX3211331	5938096.0	105787.0
SRX3211332	7505987.0	123036.0
SRX3211333	6292710.0	112873.0
SRX3211334	7954633.0	180678.0
SRX3211335	6909335.0	122113.0
SRX3211336	6530430.0	131459.0
SRX3211337	7038361.0	149769.0
SRX3211338	9494889.0	214369.0
SRX3211339	8404722.0	180674.0
SRX3211340	8322544.0	183090.0
SRX3211341	9387998.0	196700.0
SRX3211342	8055571.0	175455.0
SRX3211343	9085971.0	191182.0
SRX3211344	5143586.0	101848.0
SRX3211345	8687652.0	234803.0
SRX3211346	8602107.0	174662.0
SRX3211347	7864302.0	141349.0
SRX3211348	8366716.0	124684.0
SRX3211349	10269481.0	235776.0
SRX3211350	7807658.0	115269.0
SRX3211351	7002788.0	120149.0
SRX3211352	7178220.0	159189.0
SRX3211353	8345262.0	229783.0
SRX3211354	7229870.0	132573.0
SRX3211355	7402873.0	201528.0
SRX3211356	6268784.0	144142.0
SRX3211357	8126359.0	202391.0
SRX3211358	7784769.0	166179.0
SRX3211359	9274791.0	221889.0
SRX3211360	8079629.0	153428.0
SRX3312459	10515561.0	1344239.0
SRX3312460	10397114.0	1118799.0
SRX3312461	12309637.0	1427373.0
SRX3312462	11602007.0	1344993.0
SRX3312463	11772360.0	1484543.0
SRX3312464	15466802.0	1667796.0
SRX3312465	10240338.0	1462157.0
SRX3312466	8146305.0	1186350.0
SRX3312467	10416378.0	1632100.0
SRX3312468	8687203.0	2071080.0
SRX3312469	10822561.0	1777253.0
SRX3312470	22831630.0	2962679.0
SRX3312471	14349845.0	2825760.0
SRX3312472	14989915.0	2473912.0
SRX3312473	11867129.0	2290819.0
SRX3312474	10229904.0	1361758.0
SRX3312475	10931555.0	2473357.0
SRX3312476	9369876.0	1973383.0
SRX3312477	4936034.0	743211.0
SRX3312478	6529106.0	774744.0
SRX3312479	7765131.0	827128.0
SRX3312480	7896618.0	887629.0
SRX3312481	8838949.0	1067652.0
SRX3312482	5758974.0	1195697.0
SRX3312483	8447493.0	777116.0
SRX3312484	8398938.0	1077917.0
SRX3312485	10134065.0	1011552.0
SRX3312486	8988100.0	1106541.0
SRX3312487	7521416.0	850402.0
SRX3312488	8819193.0	1089043.0
SRX3312489	6843939.0	1057548.0
SRX3312490	7305937.0	1969491.0
SRX3312491	2962638.0	437793.0
SRX3312492	20696693.0	2208820.0
SRX3312493	8984012.0	1499448.0
SRX3312494	5321106.0	832726.0
SRX359366	13441160.0	217972.0
SRX359367	11842067.0	175271.0
SRX359368	11703067.0	230707.0
SRX359369	13935529.0	265772.0
SRX359370	11281789.0	173581.0
SRX359371	11951417.0	221092.0
SRX359372	9519371.0	65902.0
SRX359373	11500400.0	90131.0
SRX359374	12539946.0	115846.0
