Sample	Unique Reads	Duplicate Reads
DRX275049	826909.0	184384.0
DRX275050	930378.0	73874.0
SRX063252	1910421.0	13254699.0
SRX063253	2860920.0	17365306.0
SRX063254	2797363.0	17375634.0
SRX10864008	7456552.0	13206019.0
SRX10864009	6619967.0	17451516.0
SRX10864010	5956563.0	16980816.0
SRX10864011	7919551.0	16184861.0
SRX10864012	5347334.0	18741368.0
SRX10864013	9833080.0	14265455.0
SRX10864014	4852022.0	17855836.0
SRX10864015	8098968.0	16002232.0
SRX10864016	5821215.0	18277178.0
SRX11229889	4224982.0	21401171.0
SRX11313113	3811631.0	23871784.0
SRX11402692	1676666.0	22484623.0
SRX11402693	2795705.0	31789866.0
SRX15590299	1599040.0	4803363.0
SRX15590300	1703807.0	5337151.0
SRX15590301	1817340.0	5704185.0
SRX15590302	1635601.0	5407279.0
SRX15590303	1633830.0	5437073.0
SRX15590304	2046832.0	4822774.0
SRX15590305	1603765.0	5154362.0
SRX15590306	1564607.0	5134997.0
SRX15590307	1529121.0	4387652.0
SRX15590308	1577606.0	5423082.0
SRX15590309	1506939.0	5194895.0
SRX15590310	1791566.0	5091210.0
SRX15590311	1735583.0	5845106.0
SRX15590312	1723061.0	6886612.0
SRX15590313	1759733.0	5979207.0
SRX15590314	1581020.0	5811113.0
SRX15590315	1735768.0	6031668.0
SRX15590316	1686765.0	4840901.0
SRX15590317	1413624.0	5702930.0
SRX15590318	1224504.0	5724295.0
SRX15590319	1370215.0	5560623.0
SRX15630037	489570.0	3362826.0
SRX15630038	509843.0	3477293.0
SRX15630039	488336.0	3326825.0
SRX15630040	552996.0	3794012.0
SRX15630041	581728.0	3279501.0
SRX15630042	609534.0	3296437.0
SRX15630043	593370.0	3840054.0
SRX15630044	598406.0	3254841.0
SRX15630045	471027.0	3212331.0
SRX15630046	515971.0	3433751.0
SRX15630047	530204.0	3741481.0
SRX15630048	509642.0	3410967.0
SRX15947806	2078664.0	7436257.0
SRX15947807	3798986.0	8952875.0
SRX15947808	2638169.0	9950223.0
SRX15947809	2064645.0	7006655.0
