Sample	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: Fragment Length	Unassigned: No Features	Unassigned: Overlapping Length	Unassigned: Ambiguity
DRX275049	80404.0	300.0	919259.0	640.0	2603.0	6084.0	2003.0
DRX275050	829768.0	3178.0	56916.0	8331.0	24521.0	59412.0	22126.0
SRX063252	554253.0	4470360.0	5327717.0	0.0	4792888.0	19524.0	378.0
SRX063253	38492.0	416146.0	19485962.0	0.0	284039.0	1567.0	20.0
SRX063254	36823.0	401991.0	19457854.0	0.0	274780.0	1528.0	21.0
SRX10864008	13232940.0	267.0	260797.0	0.0	6713385.0	437115.0	18067.0
SRX10864009	15643315.0	92.0	270013.0	0.0	7607726.0	528203.0	22134.0
SRX10864010	14767249.0	314.0	307916.0	0.0	7351585.0	490447.0	19868.0
SRX10864011	14726746.0	441.0	539253.0	0.0	8350577.0	469116.0	18279.0
SRX10864012	14490224.0	1281.0	577801.0	0.0	8526163.0	475307.0	17926.0
SRX10864013	14596145.0	412.0	560304.0	0.0	8452776.0	470623.0	18275.0
SRX10864014	12505897.0	224.0	560951.0	0.0	9242749.0	383642.0	14395.0
SRX10864015	13155217.0	172.0	547558.0	0.0	9965809.0	417390.0	15054.0
SRX10864016	13193587.0	101.0	536567.0	0.0	9938040.0	415130.0	14968.0
SRX11229889	17633491.0	600258.0	2138998.0	45156.0	4513091.0	637876.0	57283.0
SRX11313113	13604269.0	731651.0	4992744.0	56431.0	7841487.0	426751.0	30082.0
SRX11402692	5808753.0	1603207.0	2248801.0	108404.0	14088680.0	297073.0	6371.0
SRX11402693	9359599.0	2813466.0	3048445.0	124549.0	18739704.0	487833.0	11975.0
SRX15590299	4660541.0	26418.0	122164.0	0.0	1295472.0	292921.0	4887.0
SRX15590300	5112274.0	23793.0	131967.0	0.0	1445305.0	325093.0	2526.0
SRX15590301	5757946.0	33721.0	122809.0	0.0	1246156.0	354654.0	6239.0
SRX15590302	230991.0	125.0	137536.0	0.0	6627115.0	47014.0	99.0
SRX15590303	193026.0	214.0	148394.0	0.0	6687929.0	41268.0	72.0
SRX15590304	3944642.0	36911.0	1442515.0	0.0	1182370.0	261152.0	2016.0
SRX15590305	4795565.0	26374.0	135612.0	0.0	1487148.0	309003.0	4425.0
SRX15590306	4803643.0	30630.0	144382.0	0.0	1408501.0	307954.0	4494.0
SRX15590307	4364684.0	24317.0	121607.0	0.0	1124702.0	277119.0	4344.0
SRX15590308	4823784.0	35881.0	139625.0	0.0	1674795.0	322225.0	4378.0
SRX15590309	4672498.0	45019.0	159099.0	0.0	1519912.0	301135.0	4171.0
SRX15590310	4501510.0	29658.0	543344.0	0.0	1479406.0	327069.0	1789.0
SRX15590311	4527930.0	26279.0	158335.0	0.0	2567919.0	294453.0	5773.0
SRX15590312	4811606.0	56025.0	218474.0	0.0	3215175.0	302497.0	5896.0
SRX15590313	5021690.0	25671.0	143826.0	0.0	2221082.0	320272.0	6399.0
SRX15590314	3901846.0	22200.0	164224.0	0.0	3044091.0	255226.0	4546.0
SRX15590315	5026656.0	138931.0	162928.0	0.0	2151143.0	282640.0	5138.0
SRX15590316	4401988.0	14469.0	126000.0	0.0	1691516.0	288440.0	5253.0
SRX15590317	3169496.0	58024.0	149683.0	0.0	3532563.0	202738.0	4050.0
SRX15590318	2565358.0	53388.0	152723.0	0.0	3999507.0	174403.0	3420.0
SRX15590319	2862428.0	30460.0	137787.0	0.0	3704060.0	192117.0	3986.0
SRX15630037	1168497.0	242389.0	234464.0	122.0	2162012.0	43988.0	924.0
SRX15630038	1300720.0	27325.0	287523.0	142.0	2322662.0	47281.0	1483.0
SRX15630039	1707028.0	40156.0	204809.0	317.0	1797431.0	64542.0	878.0
SRX15630040	1709547.0	288840.0	302307.0	248.0	1974240.0	70955.0	871.0
SRX15630041	1289114.0	131013.0	252914.0	160.0	2134259.0	52442.0	1327.0
SRX15630042	1424174.0	77652.0	349539.0	316.0	1981144.0	72365.0	781.0
SRX15630043	1512795.0	101287.0	253652.0	250.0	2498645.0	65589.0	1206.0
SRX15630044	1359444.0	31435.0	270749.0	160.0	2131700.0	58339.0	1420.0
SRX15630045	1597659.0	26782.0	196440.0	226.0	1797704.0	63271.0	1276.0
SRX15630046	1667011.0	135938.0	215724.0	271.0	1862710.0	67034.0	1034.0
SRX15630047	1632896.0	63195.0	297223.0	228.0	2208818.0	67713.0	1612.0
SRX15630048	1781422.0	32531.0	238232.0	321.0	1798238.0	68712.0	1153.0
SRX15947806	5535990.0	1647123.0	389875.0	118691.0	1454681.0	292294.0	76267.0
SRX15947807	9606787.0	645489.0	772288.0	320670.0	520098.0	614832.0	271697.0
SRX15947808	7692508.0	1529833.0	396387.0	167078.0	2270600.0	423781.0	108205.0
SRX15947809	5471904.0	985377.0	292833.0	119140.0	1797489.0	312164.0	92393.0
SRX15947810	6778310.0	2150448.0	255763.0	162224.0	1505231.0	358894.0	118826.0
SRX15947812	6807708.0	2211302.0	326514.0	236649.0	1522659.0	406028.0	157249.0
SRX15947813	5645067.0	2364033.0	394365.0	202006.0	1102200.0	328263.0	141150.0
SRX15947814	5128042.0	2275192.0	336105.0	167636.0	1171321.0	299183.0	114833.0
SRX15947815	6895079.0	295433.0	476437.0	167403.0	335034.0	421768.0	189203.0
SRX15947816	7667886.0	433479.0	555799.0	159344.0	382186.0	465088.0	172026.0
SRX17839586	7415602.0	19858.0	839356.0	8839.0	6058213.0	475596.0	4799.0
SRX17839587	8276190.0	24793.0	3550426.0	5937.0	5723870.0	516087.0	5258.0
