Sample	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage
DRX275049	1011293.0	92034.0	9.1	919259.0	90.9
DRX275050	1004252.0	947336.0	94.33	56916.0	5.67
SRX063252	15165120.0	9837403.0	64.87	5327717.0	35.13
SRX063253	20226226.0	740264.0	3.66	19485962.0	96.34
SRX063254	20172997.0	715143.0	3.55	19457854.0	96.45
SRX10864008	20662571.0	20401774.0	98.74	260797.0	1.26
SRX10864009	24071483.0	23801470.0	98.88	270013.0	1.12
SRX10864010	22937379.0	22629463.0	98.66	307916.0	1.34
SRX10864011	24104412.0	23565159.0	97.76	539253.0	2.24
SRX10864012	24088702.0	23510901.0	97.6	577801.0	2.4
SRX10864013	24098535.0	23538231.0	97.67	560304.0	2.33
SRX10864014	22707858.0	22146907.0	97.53	560951.0	2.47
SRX10864015	24101200.0	23553642.0	97.73	547558.0	2.27
SRX10864016	24098393.0	23561826.0	97.77	536567.0	2.23
SRX11229889	25626153.0	23487155.0	91.65	2138998.0	8.35
SRX11313113	27683415.0	22690671.0	81.96	4992744.0	18.04
SRX11402692	24161289.0	21912488.0	90.69	2248801.0	9.31
SRX11402693	34585571.0	31537126.0	91.19	3048445.0	8.81
SRX15590299	6402403.0	6280239.0	98.09	122164.0	1.91
SRX15590300	7040958.0	6908991.0	98.13	131967.0	1.87
SRX15590301	7521525.0	7398716.0	98.37	122809.0	1.63
SRX15590302	7042880.0	6905344.0	98.05	137536.0	1.95
SRX15590303	7070903.0	6922509.0	97.9	148394.0	2.1
SRX15590304	6869606.0	5427091.0	79.0	1442515.0	21.0
SRX15590305	6758127.0	6622515.0	97.99	135612.0	2.01
SRX15590306	6699604.0	6555222.0	97.84	144382.0	2.16
SRX15590307	5916773.0	5795166.0	97.94	121607.0	2.06
SRX15590308	7000688.0	6861063.0	98.01	139625.0	1.99
SRX15590309	6701834.0	6542735.0	97.63	159099.0	2.37
SRX15590310	6882776.0	6339432.0	92.11	543344.0	7.89
SRX15590311	7580689.0	7422354.0	97.91	158335.0	2.09
SRX15590312	8609673.0	8391199.0	97.46	218474.0	2.54
SRX15590313	7738940.0	7595114.0	98.14	143826.0	1.86
SRX15590314	7392133.0	7227909.0	97.78	164224.0	2.22
SRX15590315	7767436.0	7604508.0	97.9	162928.0	2.1
SRX15590316	6527666.0	6401666.0	98.07	126000.0	1.93
SRX15590317	7116554.0	6966871.0	97.9	149683.0	2.1
SRX15590318	6948799.0	6796076.0	97.8	152723.0	2.2
SRX15590319	6930838.0	6793051.0	98.01	137787.0	1.99
SRX15630037	3852396.0	3617932.0	93.91	234464.0	6.09
SRX15630038	3987136.0	3699613.0	92.79	287523.0	7.21
SRX15630039	3815161.0	3610352.0	94.63	204809.0	5.37
SRX15630040	4347008.0	4044701.0	93.05	302307.0	6.95
SRX15630041	3861229.0	3608315.0	93.45	252914.0	6.55
SRX15630042	3905971.0	3556432.0	91.05	349539.0	8.95
SRX15630043	4433424.0	4179772.0	94.28	253652.0	5.72
SRX15630044	3853247.0	3582498.0	92.97	270749.0	7.03
SRX15630045	3683358.0	3486918.0	94.67	196440.0	5.33
SRX15630046	3949722.0	3733998.0	94.54	215724.0	5.46
SRX15630047	4271685.0	3974462.0	93.04	297223.0	6.96
SRX15630048	3920609.0	3682377.0	93.92	238232.0	6.08
SRX15947806	9514921.0	9125046.0	95.9	389875.0	4.1
SRX15947807	12751861.0	11979573.0	93.94	772288.0	6.06
SRX15947808	12588392.0	12192005.0	96.85	396387.0	3.15
SRX15947809	9071300.0	8778467.0	96.77	292833.0	3.23
SRX15947810	11329696.0	11073933.0	97.74	255763.0	2.26
SRX15947812	11668109.0	11341595.0	97.2	326514.0	2.8
SRX15947813	10177084.0	9782719.0	96.12	394365.0	3.88
SRX15947814	9492312.0	9156207.0	96.46	336105.0	3.54
SRX15947815	8780357.0	8303920.0	94.57	476437.0	5.43
