Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
DRX275049	2.6	1585969	681492	1585969	118715238	3547089	76372104	35.66781713397231
DRX275050	2.6	1069483	156100	1069483	81487524	165908	76591984	6.007717205887861
SRX063252	2.6	15369396	14035849	15369396	491820672	5943905	471492793	4.1331892206434135
SRX063253	2.6	20441541	20032337	20441541	858544722	11817199	826671169	3.7125093408937175
SRX063254	2.6	20384186	20000597	20384186	856135812	11398963	824716283	3.669923458358964
SRX10864008	2.6	20663676	5806735	20663676	1033183800	1160895	1024110547	0.8781838236333167
SRX10864009	2.6	24072858	6817767	24072858	1203642900	1318904	1193031860	0.8815770856954335
SRX10864010	2.6	22938584	6449437	22938584	1146929200	1278420	1136859002	0.8780139175112117
SRX10864011	2.6	24106384	6776682	24106384	1205319200	1256266	1194797580	0.8729322489843354
SRX10864012	2.6	24090970	6743275	24090970	1204548500	1484651	1193834917	0.889427283334793
SRX10864013	2.6	24100718	6725252	24100718	1205035900	1389909	1194434641	0.8797463212506782
SRX10864014	2.6	22709696	6321996	22709696	1135484800	1349200	1125486606	0.8805220466183254
SRX10864015	2.6	24103119	6741900	24103119	1205155950	1364812	1194513269	0.8830957520476914
SRX10864016	2.6	24100426	6722733	24100426	1205021300	1451486	1194357922	0.8849119928419522
SRX11229889	2.6	25632348	9184654	25632348	3844852200	835306	3780421689	1.675760410244118
SRX11313113	2.6	27695425	9983312	27695425	4154313750	1051787	4083373495	1.7076287268866008
SRX11402692	2.6	24300511	13789091	24300511	3645076650	3552314	3406986788	6.531820448823758
SRX11402693	2.6	34905718	18646753	34905718	5235857700	17553423	4936038351	5.7262700053899485
SRX15590299	2.6	6570183	1991471	6570183	657018300	37493415	616731784	6.131719009957561
SRX15590300	2.6	7240321	2194942	7240321	724032100	41444218	678330196	6.312137818198944
SRX15590301	2.6	7709268	2301137	7709268	770926800	43294110	724440542	6.029918534418573
SRX15590302	2.6	7202205	2212230	7202205	720220500	36614910	679715090	5.624029029998452
SRX15590303	2.6	7262567	2209326	7262567	726256700	40891240	681574136	6.152447750223853
SRX15590304	2.6	7036951	2069149	7036951	703695100	38496664	662333909	5.877714794376144
SRX15590305	2.6	6941341	2130531	6941341	694134100	40178133	650075711	6.3472445742112376
SRX15590306	2.6	6894458	2117606	6894458	689445800	40019174	645333823	6.398179088189384
SRX15590307	2.6	6065989	1830661	6065989	606598900	34657456	569369977	6.1373212183536765
SRX15590308	2.6	7187072	2228940	7187072	718707200	39536299	675024007	6.078023567872981
SRX15590309	2.6	6870817	2120358	6870817	687081700	36719722	646245922	5.943365687079135
SRX15590310	2.6	7045051	2119446	7045051	704505100	37995617	663552193	5.813003624814072
SRX15590311	2.6	7761056	2491854	7761056	776105600	39358726	732194679	5.657853905447919
SRX15590312	2.6	8835840	2904048	8835840	883584000	46811432	831445797	5.900763594632768
SRX15590313	2.6	7932133	2446667	7932133	793213300	43033672	746761086	5.85620715134252
SRX15590314	2.6	7589074	2550032	7589074	758907400	40292169	713590870	5.971285824858211
SRX15590315	2.6	7944482	2510227	7944482	794448200	41447324	749411299	5.668953746764107
SRX15590316	2.6	6655283	2062569	6655283	665528300	32780242	629870102	5.357878545510387
SRX15590317	2.6	7283463	2550245	7283463	728346300	35637713	688324095	5.4949417605334165
SRX15590318	2.6	7090785	2577375	7090785	709078500	32460794	672936101	5.097094186327747
SRX15590319	2.6	7074859	2532236	7074859	707485900	32810944	671101122	5.142827298748993
SRX15630037	2.6	3858658	1163433	3858658	578798700	751050	575881252	0.5040522724048966
SRX15630038	2.6	3992714	1198672	3992714	598907100	81300	596769477	0.3569206309292376
