Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
DRX275049	DRX275049_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1011293.0	0.0	20-77	51.0	81.76746534714948	73.39769384342618	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
DRX275050	DRX275050_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1004252.0	0.0	20-77	55.0	92.6438015549724	75.23947176605076	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass	
SRX063252	SRX063252_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15165120.0	0.0	20-32	49.0	12.5974664086696	30.981743962461227	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX063253	SRX063253_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20226226.0	0.0	20-42	38.0	14.144605938537469	40.764229767827175	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRX063254	SRX063254_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20172997.0	0.0	20-42	38.0	13.866865083237176	40.77559462285153	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass
SRX10864008	SRX10864008_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20662571.0	0.0	20-50	55.0	36.087241403581366	49.56275116973585	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
SRX10864009	SRX10864009_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24071483.0	0.0	20-50	55.0	27.50128405504273	49.56118657084817	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	
SRX10864010	SRX10864010_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22937379.0	0.0	20-50	55.0	25.968802331117452	49.56280632586661	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	
SRX10864011	SRX10864011_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24104412.0	0.0	20-50	54.0	32.8551885689907	49.56652246899862	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
SRX10864012	SRX10864012_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24088702.0	0.0	20-50	54.0	22.198511771244352	49.5586841084256	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
SRX10864013	SRX10864013_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24098535.0	0.0	20-50	55.0	40.80364213435335	49.5633839567426	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	
SRX10864014	SRX10864014_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22707858.0	0.0	20-50	55.0	21.36714960867626	49.56262757147768	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX10864015	SRX10864015_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24101200.0	0.0	20-50	54.0	33.60400122390965	49.56132005875226	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX10864016	SRX10864016_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24098393.0	0.0	20-50	54.0	24.156028906675722	49.56056127892013	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	
SRX11229889	SRX11229889_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25626153.0	0.0	20-150	55.0	16.48699167240221	147.0848748542163	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX11313113	SRX11313113_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27683415.0	0.0	20-150	55.0	13.768643811348053	147.02474965606663	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX11402692	SRX11402692_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24161289.0	0.0	20-150	53.0	6.939471390760757	140.33721098241074	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX11402693	SRX11402693_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34585571.0	0.0	20-150	51.0	8.083442200019492	141.1217491826288	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRX15590299	SRX15590299_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6402403.0	0.0	20-100	54.0	24.975614484298873	95.8715838412546	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15590300	SRX15590300_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7040958.0	0.0	20-100	55.0	24.19851093533663	95.88812459895372	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15590301	SRX15590301_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7521525.0	0.0	20-100	55.0	24.161854395014775	95.86829452803786	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15590302	SRX15590302_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7042880.0	0.0	20-100	54.0	23.22345469874626	96.07070289427053	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
SRX15590303	SRX15590303_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7070903.0	0.0	20-100	54.0	23.10638068151928	95.936190328166	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
