Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DRX275049	7.950613719268302	80404	9.1	92034.0	35.66781713397231	18.232534652850518	51.0	73.39769384342618	10.0	1011293.0
DRX275050	82.62547647403241	829768	94.33	947336.0	6.007717205887861	7.3561984450276015	55.0	75.23947176605076	10.0	1004252.0
SRX063252	3.6547880926758243	554253	64.87	9837403.0	4.1331892206434135	87.4025335913304	49.0	30.981743962461227	27.27272727272727	15165120.0
SRX063253	0.19030737617586196	38492	3.66	740264.0	3.7125093408937175	85.85539406146253	38.0	40.764229767827175	27.27272727272727	20226226.0
SRX063254	0.18253609020018197	36823	3.55	715143.0	3.669923458358964	86.13313491676283	38.0	40.77559462285153	18.181818181818183	20172997.0
SRX10864008	64.04304672443715	13232940	98.74	20401774.0	0.8781838236333167	63.912758596418634	55.0	49.56275116973585	20.0	20662571.0
SRX10864009	64.98691833818465	15643315	98.88	23801470.0	0.8815770856954335	72.49871594495727	55.0	49.56118657084817	30.0	24071483.0
SRX10864010	64.3807167331542	14767249	98.66	22629463.0	0.8780139175112117	74.03119766888256	55.0	49.56280632586661	30.0	22937379.0
SRX10864011	61.09564506282087	14726746	97.76	23565159.0	0.8729322489843354	67.1448114310093	54.0	49.56652246899862	20.0	24104412.0
SRX10864012	60.15361060135162	14490224	97.6	23510901.0	0.889427283334793	77.80148822875564	54.0	49.5586841084256	20.0	24088702.0
SRX10864013	60.568598879558444	14596145	97.67	23538231.0	0.8797463212506782	59.19635786564665	55.0	49.5633839567426	20.0	24098535.0
SRX10864014	55.07299279394825	12505897	97.53	22146907.0	0.8805220466183254	78.63285039132374	55.0	49.56262757147768	30.0	22707858.0
SRX10864015	54.583244817685426	13155217	97.73	23553642.0	0.8830957520476914	66.39599877609035	54.0	49.56132005875226	30.0	24101200.0
SRX10864016	54.74882495276759	13193587	97.77	23561826.0	0.8849119928419522	75.84397109332428	54.0	49.56056127892013	30.0	24098393.0
SRX11229889	68.81052727656781	17633491	91.65	23487155.0	1.675760410244118	83.51300832759779	55.0	147.0848748542163	20.0	25626153.0
SRX11313113	49.14230776802645	13604269	81.96	22690671.0	1.7076287268866008	86.23135618865194	55.0	147.02474965606663	20.0	27683415.0
SRX11402692	24.04156913979217	5808753	90.69	21912488.0	6.531820448823758	93.06052860923924	53.0	140.33721098241074	40.0	24161289.0
SRX11402693	27.062149703990716	9359599	91.19	31537126.0	5.7262700053899485	91.91655779998051	51.0	141.1217491826288	40.0	34585571.0
SRX15590299	72.79362139496686	4660541	98.09	6280239.0	6.131719009957561	75.02438551570113	54.0	95.8715838412546	20.0	6402403.0
SRX15590300	72.60764799335546	5112274	98.13	6908991.0	6.312137818198944	75.80148906466337	55.0	95.88812459895372	20.0	7040958.0
SRX15590301	76.55290649170215	5757946	98.37	7398716.0	6.029918534418573	75.83814560498523	55.0	95.86829452803786	20.0	7521525.0
SRX15590302	3.2797804307328824	230991	98.05	6905344.0	5.624029029998452	76.77654530125375	54.0	96.07070289427053	20.0	7042880.0
SRX15590303	2.729863498339604	193026	97.9	6922509.0	6.152447750223853	76.89361931848072	54.0	95.936190328166	20.0	7070903.0
SRX15590304	57.42166290177341	3944642	79.0	5427091.0	5.877714794376144	70.20452475632075	54.0	95.97784356191607	20.0	6869606.0
SRX15590305	70.95997160159908	4795565	97.99	6622515.0	6.3472445742112376	76.2690930215526	54.0	95.73036612067219	20.0	6758127.0
SRX15590306	71.7004019939089	4803643	97.84	6555222.0	6.398179088189384	76.64628929886149	55.0	95.86390359788429	20.0	6699604.0
SRX15590307	73.76798129656149	4364684	97.94	5795166.0	6.1373212183536765	74.1561772837319	55.0	95.77380305108883	20.0	5916773.0
SRX15590308	68.90442767910811	4823784	98.01	6861063.0	6.078023567872981	77.46499667155037	54.0	95.96638330404097	20.0	7000688.0
SRX15590309	69.71969165455306	4672498	97.63	6542735.0	5.943365687079135	77.5145331395816	54.0	95.98155788400608	20.0	6701834.0
SRX15590310	65.4025352561234	4501510	92.11	6339432.0	5.813003624814072	73.9703105486436	54.0	95.96431962917288	20.0	6882776.0
SRX15590311	59.729795009398224	4527930	97.91	7422354.0	5.657853905447919	77.10521737651266	53.0	96.14744095160744	40.0	7580689.0
SRX15590312	55.8860481693091	4811606	97.46	8391199.0	5.900763594632768	79.98691803531636	53.0	96.11968816934163	40.0	8609673.0
SRX15590313	64.88860231504573	5021690	98.14	7595114.0	5.85620715134252	77.2613297744906	54.0	96.0470141905739	40.0	7738940.0
SRX15590314	52.78376349559728	3901846	97.78	7227909.0	5.971285824858211	78.61213760101047	53.0	96.0783505924474	40.0	7392133.0
SRX15590315	64.71448235942981	5026656	97.9	7604508.0	5.668953746764107	77.65327347512019	54.0	96.0400142337832	30.0	7767436.0
SRX15590316	67.4358645188035	4401988	98.07	6401666.0	5.357878545510387	74.15976842968354	54.0	96.06317878396352	30.0	6527666.0
SRX15590317	44.53694864115413	3169496	97.9	6966871.0	5.4949417605334165	80.13612243148481	52.0	96.2724357884448	40.0	7116554.0
SRX15590318	36.91800554311616	2565358	97.8	6796076.0	5.097094186327747	82.37820415866723	51.0	96.39092338114831	40.0	6948799.0
SRX15590319	41.29988321758494	2862428	98.01	6793051.0	5.142827298748993	80.23017592139891	51.0	96.38104108045809	40.0	6930838.0
SRX15630037	30.331694872489745	1168497	93.91	3617932.0	0.5040522724048966	87.29181693864777	53.0	148.92960770388092	40.0	3852396.0
SRX15630038	32.62291529559062	1300720	92.79	3699613.0	0.3569206309292376	87.21281534574001	53.0	149.00452154127674	40.0	3987136.0
SRX15630039	44.743275578671515	1707028	94.63	3610352.0	0.436115851001241	87.20014010403311	51.0	149.01248911906995	30.0	3815161.0
SRX15630040	39.326980764700686	1709547	93.05	4044701.0	0.45405801061193457	87.27871810287753	51.0	148.9492637234622	30.0	4347008.0
SRX15630041	33.38610582278337	1289114	93.45	3608315.0	0.48132737516893	84.93413601602975	53.0	148.85972471459218	40.0	3861229.0
SRX15630042	36.46145862322071	1424174	91.05	3556432.0	0.8948908611586567	84.39483019668131	51.0	148.30834253505722	30.0	3905971.0
SRX15630043	34.12249764516094	1512795	94.28	4179772.0	0.4227622856210561	86.61599663620376	51.0	149.04484366936256	30.0	4433424.0
SRX15630044	35.280479034954155	1359444	92.97	3582498.0	0.412610914927852	84.47009592790711	50.0	149.0555874045967	40.0	3853247.0
SRX15630045	43.3750669905016	1597659	94.67	3486918.0	0.38199100154085436	87.21202461027626	51.0	149.02020004571915	30.0	3683358.0
SRX15630046	42.205780558733	1667011	94.54	3733998.0	0.41481711111965197	86.93653255183064	52.0	148.938152862404	40.0	3949722.0
SRX15630047	38.22603960732123	1632896	93.04	3974462.0	0.38257534220097733	87.58796469052392	51.0	149.0081307493413	40.0	4271685.0
SRX15630048	45.43737975401271	1781422	93.92	3682377.0	0.380372941530837	87.00097182221712	51.0	148.94636777092538	40.0	3920609.0
SRX15947806	58.182196152758394	5535990	95.9	9125046.0	1.069891140671077	78.15364488263086	54.0	50.50354017652905	20.0	9514921.0
SRX15947807	75.33635286645612	9606787	93.94	11979573.0	0.9374932432878282	70.20838622090773	55.0	50.55959659535185	20.0	12751861.0
SRX15947808	61.1079477029314	7692508	96.85	12192005.0	1.1109725361204779	79.04284456728163	54.0	50.515931979239284	20.0	12588392.0
SRX15947809	60.321056518911284	5471904	96.77	8778467.0	1.0023267059393421	77.23981958774363	55.0	50.50556557494516	20.0	9071300.0
SRX15947810	59.82781885762866	6778310	97.74	11073933.0	1.0435677578969846	83.11782291658947	54.0	50.52537473203164	30.0	11329696.0
SRX15947812	58.34456980132771	6807708	97.2	11341595.0	1.1015390053308316	83.49275098097931	54.0	50.51077145405481	30.0	11668109.0
SRX15947813	55.46841315252974	5645067	96.12	9782719.0	0.9637203197030837	85.83719838961893	54.0	50.51468799903784	40.0	10177084.0
SRX15947814	54.023108384975124	5128042	96.46	9156207.0	1.0409208861681059	81.13085026784252	54.0	50.46979903315441	30.0	9492312.0
SRX15947815	78.52845846700767	6895079	94.57	8303920.0	1.1450584311146634	63.937160563494395	55.0	50.50783538755884	20.0	8780357.0
SRX15947816	77.95888248326929	7667886	94.35	9280009.0	1.0839999893975545	67.3145500688282	55.0	50.49724232111892	20.0	9835808.0
SRX1652180					1.4980131816562667					
SRX1655390					27.645237382652336					
SRX1655391					26.50175					
SRX1655392					26.559890000000003					
SRX1655393					27.227384310601003					
SRX1655394					27.116230015356184					
SRX17839586	50.03016071162683	7415602	94.34	13982907.0	2.5513124658337927	85.74707852450247	54.0	145.67913367884512	40.0	14822263.0
SRX17839587	45.71833786390776	8276190	80.39	14552135.0	2.1513599885116514	81.3130290713034	53.0	146.22958574756356	40.0	18102561.0
SRX17839588	47.54667547533915	6557860	89.02	12278198.0	2.971994253920527	85.64081705060808	53.0	145.1068982723034	40.0	13792468.0
SRX17839589	46.75349521794454	8668019	89.15	16528465.0	2.0626232563189464	89.44675631239174	52.0	146.4576602127603	40.0	18539831.0
SRX17839590	52.691039832766975	11205599	94.16	20023655.0	2.473405977030647	90.93802895305448	52.0	145.81670992069635	40.0	21266612.0
SRX17839591	48.56723945797662	9519736	87.97	17242640.0	2.197842780749354	88.9796201926718	52.0	146.25071481786244	40.0	19601147.0
SRX18913104	49.33422128135567	4735918	93.27	8953612.0	8.497192101560417	87.42566251094462	53.0	136.93247792812684	36.36363636363637	9599661.0
SRX18913105	50.7888581227126	5591449	92.9	10227265.0	8.481691582569733	87.21971761284085	53.0	137.12805094718928	27.27272727272727	11009204.0
SRX18913106	50.97871502000858	4512357	94.16	8334417.0	10.01404837741808	88.09309705916789	54.0	134.65135995186327	36.36363636363637	8851453.0
SRX18913107	65.49905969972828	6189426	91.75	8669816.0	7.862629510935893	80.59057872567482	54.0	137.88100828380675	27.27272727272727	9449641.0
SRX18913108	64.09974140665025	6516231	91.7	9322509.0	7.9054837930877735	82.64284266926535	55.0	137.9140393524621	27.27272727272727	10165768.0
SRX18913109	65.28604447778278	7533751	92.41	10663797.0	7.077215502131434	83.0726384556601	54.0	139.132844939913	27.27272727272727	11539604.0
SRX18913110	58.76766873520813	5056352	92.51	7959581.0	7.742789751033416	88.01460141812959	54.0	138.24121681516985	36.36363636363637	8603969.0
SRX18913111	58.782455988473835	5228432	91.68	8154681.0	8.15039950434089	87.45410343071694	54.0	137.41150176878077	36.36363636363637	8894545.0
SRX18913112	57.89637684991384	6415765	92.7	10272243.0	8.059868692461718	89.72067076810369	53.0	137.57385189788135	36.36363636363637	11081462.0
SRX18913113	70.79847766641959	6819720	88.58	8532092.0	6.322699143073526	83.7847395957024	54.0	140.3268241737935	18.181818181818183	9632580.0
