"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Synpcc7942_0008",147.318521026272,1.50994939171164,0.52940320444992,2.85217274663188,0.00434214964996265,0.019300855194084
"Synpcc7942_0011",667.770493263457,1.32391973954737,0.430025710207865,3.07869903617487,0.00207906598648816,0.0115441908298711
"Synpcc7942_0014",484.70703814793,-1.12339826689484,0.319187176440661,-3.51955952435855,0.000432264027016869,0.00353634404924537
"Synpcc7942_0015",631.789076211766,-1.2400450028587,0.460709566213252,-2.69159812124393,0.00711105767809142,0.0278079580039484
"Synpcc7942_0019",1832.73753498111,1.69547121203646,0.377481891299588,4.49152992796375,7.07133616897103e-06,0.000154464766347073
"Synpcc7942_0026",582.652781025323,1.59696181991503,0.340200698714696,4.69417560266181,2.67684020726062e-06,6.96634358764549e-05
"Synpcc7942_0032",435.780972724632,-1.53519406001683,0.366926968873076,-4.18392266104559,2.86521621825514e-05,0.000457576745753681
"Synpcc7942_0033",759.767616548211,-1.19538030028191,0.346444618505824,-3.45042248148477,0.000559709883467019,0.00430186241846265
"Synpcc7942_0034",7.86870103552522,-3.24219452495387,1.2760881213462,-2.54072933578721,0.0110621518736751,0.0373440639153284
"Synpcc7942_0035",2021.09422226826,-1.72729426862083,0.574533600328668,-3.00642863643261,0.00264336092027005,0.0137346205330931
"Synpcc7942_0038",497.853325309276,-1.02197052591843,0.403829256960506,-2.53069956746194,0.0113835306123251,0.0378552071609366
"Synpcc7942_0039",2436.06479611074,1.74481053157752,0.678351653858847,2.57213278931666,0.0101074116008499,0.0349618868172273
"Synpcc7942_0045",3012.29426492868,-1.79786413367683,0.688773105634584,-2.61024148441512,0.00904783281426262,0.0326530042160195
"Synpcc7942_0046",4602.20560693583,-1.84130023036857,0.41255602448095,-4.46315196265809,8.07627323808726e-06,0.000170947783539514
"Synpcc7942_0047",10730.5378106763,-2.00438480055261,0.583554314332061,-3.43478704779493,0.000593019642015588,0.00447500004352466
"Synpcc7942_0050",9411.88465780508,-1.06954976695117,0.259062901724313,-4.12853310849331,3.65084876750246e-05,0.000558033194261659
"Synpcc7942_0051",5211.48458562825,-1.13730888447753,0.320527346810744,-3.54824290592919,0.000387810392407694,0.00331503306586962
"Synpcc7942_0052",1364.74612835303,-1.66199482431219,0.281965458163324,-5.89432065593478,3.76225961837521e-09,2.7872073339463e-07
"Synpcc7942_0053",2435.35996333966,-1.46182037518246,0.325423630919244,-4.49205354587548,7.05396816113554e-06,0.000154464766347073
"Synpcc7942_0054",1975.10750666205,-1.41318129621518,0.244573519961102,-5.77814514195952,7.55286414203342e-09,5.30091807021135e-07
"Synpcc7942_0056",3680.04014081446,-1.70382545482888,0.585095825712995,-2.91204513850805,0.00359070742834513,0.0170628993232056
"Synpcc7942_0057",3763.49751263536,-1.63493682732989,0.540135642529915,-3.0269004646168,0.00247075301658197,0.0130744013794129
"Synpcc7942_0058",1269.48426201461,-1.79547477974402,0.537577923481671,-3.33993399155134,0.00083798304862113,0.00592811880815001
"Synpcc7942_0059",611.322391318336,-2.22834272844062,0.483939921671314,-4.60458546330485,4.13288269688263e-06,0.000100581803241234
"Synpcc7942_0060",854.276967062837,-2.21807087128817,0.433328051826851,-5.11868747462134,3.07669306135937e-07,1.22470752158887e-05
"Synpcc7942_0061",3348.99313278918,-1.97234661383869,0.628091804163606,-3.14022026838123,0.00168820848323821,0.00980926367058019
"Synpcc7942_0062",2027.67243309914,-1.75094933996765,0.26462751185783,-6.61665647564392,3.6741394188859e-11,5.44384990564928e-09
"Synpcc7942_0063",531.999375859105,-2.23091343941943,0.636493353600003,-3.50500665372449,0.000456595871812291,0.00367897640520658
"Synpcc7942_0064",90.1778352272943,-2.41464622614828,0.877750822351688,-2.7509472673337,0.00594232082323168,0.0244389539508455
"Synpcc7942_0069",55.2900024450127,-1.41960045541391,0.435979004263137,-3.25612114696492,0.00112945548665857,0.00738298476205489
"Synpcc7942_0073",1535.67696087814,1.96380499151896,0.520144487560173,3.77549899784678,0.000159687666555296,0.00169676098288038
"Synpcc7942_0075",1571.52563708649,1.71668499787786,0.584508663700456,2.93697100571568,0.00331435089774987,0.0160424207700525
"Synpcc7942_0078",307.794292888675,1.67364931534045,0.413792714438081,4.04465631448639,5.23999371005177e-05,0.000709394072320206
"Synpcc7942_0089",518.769260176792,1.05158342939819,0.300151277773932,3.50351141996545,0.000459166966697701,0.00368854909693605
"Synpcc7942_0095",1480.72920563296,3.17632746042818,0.92536239089884,3.4325227518085,0.000597993705625333,0.00449253299409229
"Synpcc7942_0103",389.0711467682,-1.835287936007,0.640965708255512,-2.86331688633082,0.00419231054793885,0.0188269391213306
"Synpcc7942_0104",1444.42740128233,-1.57754165999537,0.536052691465911,-2.94288543852165,0.00325168723784163,0.0157964478384765
"Synpcc7942_0109",826.620218059393,1.48772890985982,0.381874691828384,3.89585626304979,9.78524102494666e-05,0.00114955629387291
"Synpcc7942_0122",2979.19563810975,-1.32549745152447,0.410926082902902,-3.22563474715638,0.00125693652653383,0.00803896814452214
