,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,pathway_name,module_name
0,17,entrainment of circadian clock,2.5271413416193054e-06,0.00010866707768963014,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,3.0,3.0,GO,,
1,17,identical protein binding,8.419592043271001e-06,0.00018102122893032653,0.6666666666666666,0.4,0.5,2.0,15.0,3.0,GO,,
2,17,protein binding,3.7840774370719806e-05,0.0005423844326469839,0.6666666666666666,0.2,0.30769230769230765,2.0,63.0,3.0,GO,,
3,17,identical protein binding|protein binding|entrainment of circadian clock|regulation of circadian rhythm|negative regulation of phosphorylation,0.001124016485573104,0.0053703009866270515,0.3333333333333333,1.0,0.5,1.0,1.0,3.0,GO,,
4,17,identical protein binding|protein binding|entrainment of circadian clock|regulation of phosphorelay signal transduction system|negative regulation of circadian rhythm,0.001124016485573104,0.0053703009866270515,0.3333333333333333,1.0,0.5,1.0,1.0,3.0,GO,,
5,17,negative regulation of circadian rhythm,0.001124016485573104,0.0053703009866270515,0.3333333333333333,1.0,0.5,1.0,2.0,3.0,GO,,
6,17,negative regulation of phosphorylation,0.001124016485573104,0.0053703009866270515,0.3333333333333333,1.0,0.5,1.0,1.0,3.0,GO,,
7,17,regulation of circadian rhythm,0.001124016485573104,0.0053703009866270515,0.3333333333333333,1.0,0.5,1.0,1.0,3.0,GO,,
8,17,regulation of phosphorelay signal transduction system,0.001124016485573104,0.0053703009866270515,0.3333333333333333,1.0,0.5,1.0,1.0,3.0,GO,,
9,26,bicarbonate transmembrane transporter activity,0.002248032971146204,0.09666541775928676,0.16666666666666666,1.0,0.2857142857142857,1.0,2.0,6.0,GO,,
10,42,carboxysome,1.367070067062944e-15,5.878401288370659e-14,0.5833333333333334,0.6363636363636364,0.6086956521739131,7.0,13.0,12.0,GO,,
11,42,carboxysome|structural constituent of carboxysome shell,1.6267422158793162e-08,2.3316638427603533e-07,0.3333333333333333,0.5,0.4,4.0,8.0,12.0,GO,,
12,42,structural constituent of carboxysome,1.6267422158793162e-08,2.3316638427603533e-07,0.3333333333333333,0.5,0.4,4.0,10.0,12.0,GO,,
13,42,carbonate dehydratase activity,1.853700351013482e-05,0.00019927278773394932,0.16666666666666666,1.0,0.2857142857142857,2.0,2.0,12.0,GO,,
14,42,carboxysome|carbonate dehydratase activity,0.0044960659422924164,0.03866616710371478,0.08333333333333333,1.0,0.15384615384615385,1.0,1.0,12.0,GO,,
0,1,map00920,2.8684280887613805e-10,5.88027758196083e-08,0.7142857142857143,0.25,0.37037037037037035,5.0,20.0,7.0,KEGG pathways,Sulfur metabolism,
1,1,map02010,1.062694891941154e-05,0.0010892622642396828,0.5714285714285714,0.06153846153846154,0.11111111111111112,4.0,65.0,7.0,KEGG pathways,ABC transporters,
2,4,map02020,4.145329808027097e-07,4.248963053227774e-05,0.45454545454545453,0.11363636363636363,0.18181818181818182,5.0,44.0,11.0,KEGG pathways,Two-component system,
3,4,map02025,3.6223665451888887e-07,4.248963053227774e-05,0.36363636363636365,0.23529411764705882,0.2857142857142857,4.0,17.0,11.0,KEGG pathways,Biofilm formation - Pseudomonas aeruginosa,
4,6,map00190,1.4865469816894614e-10,3.047421312463396e-08,0.34615384615384615,0.1956521739130435,0.25,9.0,46.0,26.0,KEGG pathways,Oxidative phosphorylation,
5,12,map00910,0.0002334641678660082,0.04786015441253168,0.15789473684210525,0.16666666666666666,0.16216216216216214,3.0,18.0,19.0,KEGG pathways,Nitrogen metabolism,
6,13,map00190,2.7111693967258284e-10,5.557897263287948e-08,0.42105263157894735,0.17391304347826086,0.24615384615384617,8.0,46.0,19.0,KEGG pathways,Oxidative phosphorylation,
7,13,map04714,0.00014347079621462137,0.01470575661199869,0.10526315789473684,0.6666666666666666,0.18181818181818182,2.0,3.0,19.0,KEGG pathways,Thermogenesis,
8,19,map00910,1.1310269351922514e-16,2.3186052171441154e-14,0.7272727272727273,0.4444444444444444,0.5517241379310345,8.0,18.0,11.0,KEGG pathways,Nitrogen metabolism,
9,19,map02010,3.029279845194687e-06,0.0003105011841324554,0.45454545454545453,0.07692307692307693,0.13157894736842107,5.0,65.0,11.0,KEGG pathways,ABC transporters,
10,23,map05152,3.5216664813392884e-05,0.007219416286745542,0.10714285714285714,0.42857142857142855,0.17142857142857143,3.0,7.0,28.0,KEGG pathways,Tuberculosis,
