Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	Swift	publication	biosample_strain	biosample_genotype	project	condition	reference_condition	post_induction_time	strain_description	base_media	carbon_source	carbon_ml/min	nitrogen_source	inducer_agent	aerobicity	inoculation	supplement	temperature	entrainment	post_entrainment_condition	growth_phase	OD_wavelength	OD	fluorescent light	intensity	light_flux_umol/m2/s	skip	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	full_name	passed_replicate_correlations
SRX10864008	SRR14518535	2022-03-07 02:10:01	2021-05-15 02:11:09	20663676.0	1033183800.0	0.0	50.0	609.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14518/SRR14518535/SRR14518535.lite.1	RLWT1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959345	SAMN19112392	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLWT1							no					SHANDONG UNIVERSITY	SRA1231196		public	8F4564B5FE397D719959015D049135B8	9C142A1FC8D5FB25AFE1D019F7352DE8				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	WT	photomixotrophic	photoautotroph	photoautotroph		WT	BG-11	CO2			IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:photoautotroph	True
SRX10864009	SRR14518534	2022-03-07 02:10:01	2021-05-15 02:11:33	24072858.0	1203642900.0	0.0	50.0	710.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14518/SRR14518534/SRR14518534.lite.1	RLWT2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959344	SAMN19112393	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLWT2							no					SHANDONG UNIVERSITY	SRA1231196		public	8E66D5BC47D393E5102D11E863E8BF6F	B27EE4565640DDCDD24F4540ED3C50BE				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	WT	photomixotrophic	photoautotroph	photoautotroph		WT	BG-11	CO2			IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:photoautotroph	True
SRX10864010	SRR14518533	2022-03-07 02:10:01	2021-05-15 02:10:52	22938584.0	1146929200.0	0.0	50.0	680.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14518/SRR14518533/SRR14518533.lite.1	RLWT3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959346	SAMN19112394	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLWT3							no					SHANDONG UNIVERSITY	SRA1231196		public	6750FA3DCABE3CAA91E37CF443BBC711	A17DB5C5C011C0AA411212FDC7EDEE15				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	WT	photomixotrophic	photoautotroph	photoautotroph		WT	BG-11	CO2			IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:photoautotroph	True
SRX10864011	SRR14518532	2022-03-07 02:10:01	2021-05-15 02:11:21	24106384.0	1205319200.0	0.0	50.0	707.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14518/SRR14518532/SRR14518532.lite.1	RLg1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959347	SAMN19112395	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLg1							no					SHANDONG UNIVERSITY	SRA1231196		public	9F924F47D65B2498FC777AE8401CD4E1	6362F74A7D4FC2ADA237FAB156C96736				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	YQ2-gal 	photomixotrophic	glucose	photoautotroph		YQ2-gal capable of utilizing glucose	BG-11	glucose	Glucose 5 g/L		IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:glucose	True
SRX10864012	SRR14518531	2022-03-07 02:10:01	2021-05-15 02:11:47	24090970.0	1204548500.0	0.0	50.0	717.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14518/SRR14518531/SRR14518531.lite.1	RLg2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959348	SAMN19112396	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLg2							no					SHANDONG UNIVERSITY	SRA1231196		public	A0E9D22EF75F9C490E279E3FBCCE9610	E2CD89BC65D6B32236EA750846382EBE				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	YQ2-gal 	photomixotrophic	glucose	photoautotroph		YQ2-gal capable of utilizing glucose	BG-11	glucose	Glucose 5 g/L		IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:glucose	True
SRX10864013	SRR14518530	2022-03-07 02:10:01	2021-05-15 02:14:49	24100718.0	1205035900.0	0.0	50.0	711.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14518/SRR14518530/SRR14518530.lite.1	RLg3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959349	SAMN19112397	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLg3							no					SHANDONG UNIVERSITY	SRA1231196		public	A67C5B22D30E3CF903024287B2625FAC	5A0719877368E19F6ADCFAD3F81AF60D				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	YQ2-gal 	photomixotrophic	glucose	photoautotroph		YQ2-gal capable of utilizing glucose	BG-11	glucose	Glucose 5 g/L		IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:glucose	True
SRX10864014	SRR14518529	2022-03-07 02:10:01	2021-05-15 02:11:31	22709696.0	1135484800.0	0.0	50.0	674.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14518/SRR14518529/SRR14518529.lite.1	RLe1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959350	SAMN19112398	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLe1							no					SHANDONG UNIVERSITY	SRA1231196		public	C13C4178C2A755EDEE52E333972F9BC7	B5E7484C102F23892046042DCA32EAB1				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	YQ3-xyl	photomixotrophic	xylose	photoautotroph		YQ3-xyl capable of utilizing xylose	BG-11	xylose	Xylose 5 g/L		IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:xylose	True
SRX10864015	SRR14518528	2022-03-07 02:10:01	2021-05-15 02:15:27	24103119.0	1205155950.0	0.0	50.0	712.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14518/SRR14518528/SRR14518528.lite.1	RLe2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959351	SAMN19112399	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLe2							no					SHANDONG UNIVERSITY	SRA1231196		public	631126C46307B130B758F70767781E66	C69B89396737069F1A5FACE18AAE0191				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	YQ3-xyl	photomixotrophic	xylose	photoautotroph		YQ3-xyl capable of utilizing xylose	BG-11	xylose	Xylose 5 g/L		IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:xylose	True
SRX10864016	SRR14518527	2022-03-07 02:10:01	2021-05-15 02:13:02	24100426.0	1205021300.0	0.0	50.0	720.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14518/SRR14518527/SRR14518527.lite.1	RLe3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0.0	0.0	BGISEQ	BGISEQ-500	SRP319593	PRJNA729175		729175.0	SRS8959352	SAMN19112400	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	RLe3							no					SHANDONG UNIVERSITY	SRA1231196		public	D9A710C4D013D1160CCEBC519AC7039D	41B82F2FE21B4AB0167A814A11444A7F				https://microbialcellfactories.biomedcentral.com/articles/10.1186/s12934-022-01760-1	PCC 7942	YQ3-xyl	photomixotrophic	xylose	photoautotroph		YQ3-xyl capable of utilizing xylose	BG-11	xylose	Xylose 5 g/L		IPTG (0.1 mM)		Spectinomycin (20 ug/mL)		30C			log	730.0	0.2	continuous illumination of 2000 to 3000 lx				True	True	True	photomixotrophic:xylose	True
SRX15590299	SRR19538272	2022-06-06 13:09:15	2022-06-06 13:02:43	6570183.0	657018300.0	0.0	100.0	380.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19538/SRR19538272/SRR19538272.lite.1	GSM6212719	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0.0	0.0	ILLUMINA	Illumina HiSeq 2000	SRP378421	PRJNA845529	3.0	845529.0	SRS13292321	SAMN28860397	simple	1140.0	Synechococcus elongatus PCC 7942 = FACHB-805	GSM6212719							no					UNIVERSITY OF CALIFORNIA SAN DIEGO	SRA1431447		public	0AB36567A42CFACB4533E805F04009D3	618C25754C604C2D74B8A470CC35B55A				35814646	PCC 7942	WT	biofilm_1	WT_BG_d1	WT_BG_d1		WT	BG-11	CO2				aerobic			30C				750.0	0.5			5-30		True	True	True	biofilm_1:WT_BG_d1	True
