,gene_id,database,kegg_id
6,Synpcc7942_0001,KEGG_pathway,map00230
7,Synpcc7942_0001,KEGG_pathway,map00240
8,Synpcc7942_0001,KEGG_pathway,map01100
9,Synpcc7942_0001,KEGG_pathway,map03030
10,Synpcc7942_0001,KEGG_pathway,map03430
11,Synpcc7942_0001,KEGG_pathway,map03440
12,Synpcc7942_0002,KEGG_pathway,-
17,Synpcc7942_0003,KEGG_pathway,map00230
18,Synpcc7942_0003,KEGG_pathway,map01100
19,Synpcc7942_0003,KEGG_pathway,map01110
20,Synpcc7942_0003,KEGG_pathway,map01130
26,Synpcc7942_0004,KEGG_pathway,map00230
27,Synpcc7942_0004,KEGG_pathway,map00250
28,Synpcc7942_0004,KEGG_pathway,map01100
29,Synpcc7942_0004,KEGG_pathway,map01110
30,Synpcc7942_0004,KEGG_pathway,map01130
31,Synpcc7942_0005,KEGG_pathway,-
32,Synpcc7942_0006,KEGG_pathway,-
33,Synpcc7942_0007,KEGG_pathway,-
41,Synpcc7942_0009,KEGG_pathway,map00220
42,Synpcc7942_0009,KEGG_pathway,map00250
43,Synpcc7942_0009,KEGG_pathway,map01100
44,Synpcc7942_0009,KEGG_pathway,map01110
45,Synpcc7942_0009,KEGG_pathway,map01130
46,Synpcc7942_0009,KEGG_pathway,map01230
47,Synpcc7942_0009,KEGG_pathway,map05418
48,Synpcc7942_0010,KEGG_pathway,-
50,Synpcc7942_0012,KEGG_pathway,map03010
51,Synpcc7942_0014,KEGG_pathway,-
52,Synpcc7942_0015,KEGG_pathway,-
58,Synpcc7942_0017,KEGG_pathway,map00030
59,Synpcc7942_0017,KEGG_pathway,map00630
60,Synpcc7942_0017,KEGG_pathway,map01100
61,Synpcc7942_0017,KEGG_pathway,map01120
62,Synpcc7942_0017,KEGG_pathway,map01200
64,Synpcc7942_0018,KEGG_pathway,map00970
68,Synpcc7942_0019,KEGG_pathway,map00920
69,Synpcc7942_0019,KEGG_pathway,map01100
70,Synpcc7942_0019,KEGG_pathway,map01120
73,Synpcc7942_0021,KEGG_pathway,map00860
74,Synpcc7942_0021,KEGG_pathway,map01100
75,Synpcc7942_0022,KEGG_pathway,-
76,Synpcc7942_0023,KEGG_pathway,-
77,Synpcc7942_0024,KEGG_pathway,-
78,Synpcc7942_0025,KEGG_pathway,-
79,Synpcc7942_0026,KEGG_pathway,-
82,Synpcc7942_0027,KEGG_pathway,map00780
83,Synpcc7942_0027,KEGG_pathway,map01100
86,Synpcc7942_0028,KEGG_pathway,map00780
87,Synpcc7942_0028,KEGG_pathway,map01100
90,Synpcc7942_0029,KEGG_pathway,map00780
91,Synpcc7942_0029,KEGG_pathway,map01100
94,Synpcc7942_0030,KEGG_pathway,map00780
95,Synpcc7942_0030,KEGG_pathway,map01100
98,Synpcc7942_0031,KEGG_pathway,map00780
99,Synpcc7942_0031,KEGG_pathway,map01100
100,Synpcc7942_0032,KEGG_pathway,-
101,Synpcc7942_0033,KEGG_pathway,-
102,Synpcc7942_0036,KEGG_pathway,-
103,Synpcc7942_0038,KEGG_pathway,-
111,Synpcc7942_0039,KEGG_pathway,map00030
112,Synpcc7942_0039,KEGG_pathway,map00480
113,Synpcc7942_0039,KEGG_pathway,map01100
114,Synpcc7942_0039,KEGG_pathway,map01110
115,Synpcc7942_0039,KEGG_pathway,map01120
116,Synpcc7942_0039,KEGG_pathway,map01130
117,Synpcc7942_0039,KEGG_pathway,map01200
120,Synpcc7942_0040,KEGG_pathway,map00790
121,Synpcc7942_0040,KEGG_pathway,map01100
123,Synpcc7942_0042,KEGG_pathway,map03010
124,Synpcc7942_0044,KEGG_pathway,-
