Sample	Reads passing filters
DRX275049	1585969.0
DRX275050	1069483.0
SRX063252	15369396.0
SRX063253	20441541.0
SRX063254	20384186.0
SRX10864008	20663676.0
SRX10864009	24072858.0
SRX10864010	22938584.0
SRX10864011	24106384.0
SRX10864012	24090970.0
SRX10864013	24100718.0
SRX10864014	22709696.0
SRX10864015	24103119.0
SRX10864016	24100426.0
SRX11229889	25632348.0
SRX11313113	27695425.0
SRX11402692	24300511.0
SRX11402693	34905718.0
SRX15590299	6570183.0
SRX15590300	7240321.0
SRX15590301	7709268.0
SRX15590302	7202205.0
SRX15590303	7262567.0
SRX15590304	7036951.0
SRX15590305	6941341.0
SRX15590306	6894458.0
SRX15590307	6065989.0
SRX15590308	7187072.0
SRX15590309	6870817.0
SRX15590310	7045051.0
SRX15590311	7761056.0
SRX15590312	8835840.0
SRX15590313	7932133.0
SRX15590314	7589074.0
SRX15590315	7944482.0
SRX15590316	6655283.0
SRX15590317	7283463.0
SRX15590318	7090785.0
SRX15590319	7074859.0
SRX15630037	3858658.0
SRX15630038	3992714.0
SRX15630039	3819826.0
SRX15630040	4351767.0
SRX15630041	3866739.0
SRX15630042	3911455.0
SRX15630043	4437586.0
SRX15630044	3860053.0
SRX15630045	3686483.0
SRX15630046	3954824.0
SRX15630047	4276897.0
SRX15630048	3924154.0
SRX15947806	9537648.0
SRX15947807	12780501.0
SRX15947808	12616750.0
SRX15947809	9087374.0
SRX15947810	11349970.0
SRX15947812	11690204.0
SRX15947813	10203070.0
SRX15947814	9519981.0
SRX15947815	8803111.0
SRX15947816	9875635.0
SRX1652180	25392105.0
SRX1655390	35708317.0
SRX1655391	30000000.0
SRX1655392	30000000.0
SRX1655393	27491888.0
SRX1655394	34007799.0
SRX17839586	14823370.0
SRX17839587	18105300.0
SRX17839588	13794681.0
SRX17839589	18543505.0
SRX17839590	21268833.0
SRX17839591	19603138.0
SRX18913104	9618997.0
SRX18913105	11029435.0
SRX18913106	8872721.0
SRX18913107	9463197.0
SRX18913108	10178332.0
SRX18913109	11553250.0
SRX18913110	8619952.0
SRX18913111	8911501.0
SRX18913112	11097865.0
SRX18913113	9649097.0
SRX18913114	9729739.0
SRX18913115	9797724.0
SRX2356912	10298512.0
SRX2356913	8726787.0
SRX2356914	9922316.0
SRX2356915	11638212.0
SRX2356916	8493090.0
SRX2356917	10900565.0
SRX2356918	10419250.0
SRX2356919	18382592.0
SRX2356920	13544128.0
SRX2356921	9558398.0
SRX2356922	12383206.0
SRX2356923	11502466.0
SRX2356924	11375156.0
SRX2356925	11218501.0
SRX2356926	14299063.0
SRX2356927	11509315.0
SRX2356928	13139020.0
SRX2356929	15189499.0
SRX2356930	12104059.0
SRX2356931	12868733.0
SRX2356932	13811308.0
SRX2356933	16305249.0
SRX2356934	15476359.0
SRX2356935	10717554.0
SRX259777	40069177.0
SRX259778	26825475.0
SRX259779	28738610.0
SRX259780	31569624.0
SRX259781	16552481.0
SRX259782	16165712.0
SRX259783	31519820.0
SRX259784	21995675.0
SRX259785	26841587.0
SRX259786	74021944.0
SRX259787	46857767.0
SRX259788	60204551.0
SRX259789	16475592.0
SRX259790	11325835.0
SRX259791	33450692.0
SRX259792	18703355.0
SRX259793	23108719.0
SRX3159653	14911780.0
SRX3159654	18769338.0
SRX3159655	16627313.0
SRX3159656	10827488.0
SRX3159657	12286581.0
SRX3159658	13874664.0
SRX3159659	16938257.0
SRX3159660	16587665.0
SRX3159661	18128276.0
SRX3159662	21252494.0
SRX3159663	17171120.0
SRX3159664	19459621.0
SRX3159665	16040799.0
SRX3159666	17278594.0
SRX3159667	13327653.0
SRX3159668	17028987.0
SRX3172761	9648458.0
SRX3172762	13333991.0
SRX3172763	15104219.0
SRX3172764	16923984.0
SRX3172765	14040791.0
SRX3172766	13107597.0
SRX3176780	16703814.0
SRX3176781	15219015.0
SRX3176782	10893187.0
SRX3176783	17146733.0
SRX3176784	14669490.0
SRX3176785	16892576.0
SRX3176786	12604460.0
SRX3176787	12288862.0
SRX3176788	15394420.0
SRX3176789	10865195.0
SRX3176790	15708983.0
SRX3176791	11620415.0
SRX3176792	10028620.0
SRX3176793	13707700.0
SRX3176794	17654626.0
SRX3176795	13894197.0
SRX3176796	21507478.0
SRX3176797	15363622.0
SRX3176798	9024779.0
SRX3176799	8272300.0
SRX3176800	9228198.0
SRX3176801	9039329.0
SRX3176802	7662295.0
SRX3176803	7920633.0
SRX3176804	11945294.0
SRX3176805	10630626.0
SRX3176806	7894546.0
SRX3176807	10435731.0
SRX3176808	12815102.0
SRX3176809	11416675.0
SRX3176810	21721649.0
SRX3176811	14015397.0
SRX3176812	23072779.0
SRX3176813	12664906.0
SRX3176814	12438694.0
SRX3176815	13774421.0
SRX3211301	7891202.0
SRX3211302	8382685.0
SRX3211303	7991539.0
SRX3211304	8905157.0
SRX3211305	10596450.0
SRX3211306	7706914.0
SRX3211307	10511432.0
SRX3211308	9069077.0
SRX3211309	9122823.0
SRX3211310	7489968.0
SRX3211311	9903726.0
SRX3211312	7615297.0
SRX3211313	9427609.0
SRX3211314	9463052.0
SRX3211315	11501570.0
SRX3211316	10916343.0
SRX3211317	12836949.0
SRX3211318	10003585.0
SRX3211319	13218632.0
SRX3211320	9171499.0
SRX3211321	7474725.0
SRX3211322	10992595.0
SRX3211323	5847952.0
SRX3211324	4358556.0
SRX3211325	6172768.0
SRX3211326	9272494.0
SRX3211327	7530727.0
SRX3211328	8395617.0
SRX3211329	6183163.0
SRX3211330	5321335.0
SRX3211331	6046650.0
SRX3211332	7658916.0
SRX3211333	6408183.0
SRX3211334	8144866.0
SRX3211335	7034113.0
SRX3211336	6676557.0
SRX3211337	7191101.0
SRX3211338	9717654.0
SRX3211339	8587546.0
SRX3211340	8513652.0
SRX3211341	9587190.0
SRX3211342	8242414.0
SRX3211343	9281711.0
SRX3211344	5248015.0
SRX3211345	8945138.0
SRX3211346	8780350.0
SRX3211347	8012684.0
SRX3211348	8497514.0
SRX3211349	10515376.0
SRX3211350	7924537.0
SRX3211351	7135837.0
SRX3211352	7339018.0
SRX3211353	8596082.0
SRX3211354	7364811.0
SRX3211355	7655733.0
SRX3211356	6415983.0
SRX3211357	8357692.0
SRX3211358	7953940.0
SRX3211359	9534363.0
SRX3211360	8234970.0
SRX3312459	11883392.0
SRX3312460	11526816.0
SRX3312461	13749738.0
SRX3312462	12961510.0
SRX3312463	13282490.0
SRX3312464	17158758.0
SRX3312465	11728914.0
SRX3312466	9346598.0
SRX3312467	12069817.0
SRX3312468	10765492.0
SRX3312469	12610356.0
SRX3312470	25812370.0
SRX3312471	17215541.0
SRX3312472	17557964.0
SRX3312473	14221207.0
SRX3312474	11745261.0
SRX3312475	13422390.0
SRX3312476	11363112.0
SRX3312477	5718671.0
SRX3312478	7335142.0
SRX3312479	8656998.0
SRX3312480	8903099.0
SRX3312481	9926005.0
SRX3312482	7046709.0
SRX3312483	9259704.0
SRX3312484	9547792.0
SRX3312485	11252905.0
SRX3312486	10164707.0
SRX3312487	8480856.0
SRX3312488	9936081.0
SRX3312489	7914507.0
SRX3312490	9304771.0
SRX3312491	3426366.0
SRX3312492	22980793.0
SRX3312493	10513016.0
SRX3312494	6192125.0
SRX359366	13660580.0
SRX359367	12018370.0
SRX359368	11935064.0
SRX359369	14202263.0
SRX359370	11456135.0
SRX359371	12173405.0
SRX359372	9586421.0
SRX359373	11591498.0
SRX359374	12656905.0
SRX359375	11791911.0
SRX359376	10505596.0
SRX359377	11572325.0
SRX359378	10314218.0
SRX359379	9545489.0
SRX359380	10394961.0
SRX359381	9956083.0
SRX359382	12250324.0
SRX359383	12167077.0
SRX4105497	13566664.0
SRX4105498	18071214.0
SRX4105499	12689107.0
SRX4105500	28711730.0
SRX4105501	12954330.0
SRX4105502	20595775.0
SRX4105503	20960679.0
SRX4105504	18237617.0
SRX4105505	14423625.0
SRX4105506	4950647.0
SRX4105507	4384745.0
SRX4105508	11279273.0
SRX4105509	10788879.0
SRX4105510	16270034.0
SRX4105511	3268961.0
SRX4105512	4494136.0
SRX4105513	4078338.0
SRX4105514	5148588.0
SRX4105515	3473283.0
SRX4105516	4800151.0
SRX4105517	18332347.0
SRX4105518	15136095.0
SRX4105519	2411178.0
SRX4105520	13630567.0
SRX4105521	9680868.0
SRX4105522	17852537.0
SRX4105523	11049972.0
SRX4105524	13300347.0
SRX4105525	12315401.0
SRX4105526	21900022.0
SRX4105527	17827079.0
SRX4105528	17358360.0
SRX4105529	20916749.0
SRX4105530	24558709.0
SRX4105531	5339157.0
SRX4105532	3156162.0
SRX4105533	16257562.0
SRX4105534	8244829.0
SRX4105535	7224940.0
SRX4105536	15590917.0
SRX4105537	9117939.0
SRX4105538	18452104.0
SRX4105539	12077848.0
SRX4105540	18212672.0
SRX4105541	926185.0
SRX4105542	3073202.0
SRX4105543	2930160.0
SRX4105544	2588064.0
SRX4105545	3341653.0
SRX4105546	3223445.0
SRX4105547	14501627.0
SRX4105548	17159377.0
SRX4105549	8555852.0
SRX4105550	13752960.0
SRX4105551	4619401.0
SRX4105552	16450782.0
SRX4105553	14541575.0
SRX4105554	13161952.0
SRX4105555	3504605.0
SRX4105556	891757.0
SRX4105557	3450089.0
SRX4105558	2565990.0
SRX4105559	3196009.0
SRX4105560	2620262.0
SRX4105561	14182011.0
SRX4105562	12169171.0
SRX4105563	13221228.0
SRX4105564	10715824.0
SRX4105565	13619396.0
SRX4105566	14789484.0
SRX4105567	13229291.0
SRX4105568	15242591.0
SRX5055969	11692556.0
SRX5055970	11573236.0
SRX5055971	11312587.0
SRX5055972	10096137.0
SRX689242	1167972.0
SRX7119038	11692556.0
SRX7119039	11573236.0
SRX7119040	9949625.0
SRX7119041	11561646.0
SRX8650808	43355404.0
UV_control_1	12780501.0
UV_control_2	9087374.0
UV_control_3	11690204.0
UV_exposure_2	12616750.0
UV_exposure_3	11349970.0
dark_4h_0110_KO_1	13365428.0
dark_4h_0110_KO_2	11123179.0
dark_4h_0616_KO_1	10475440.0
dark_4h_0616_KO_2	12470397.0
dark_4h_1684_KO_1	10199103.0
dark_4h_1684_KO_2	7653084.0
km_LL_1	11768207.0
km_LL_2	12942231.0
km_dark_4h_1	9934978.0
km_dark_4h_2	12945821.0
light_0110_KO_1	12317661.0
light_0110_KO_2	13711958.0
light_0616_KO_1	9584803.0
light_0616_KO_2	12942738.0
