Sample	Sense	Antisense	Undetermined
SRX063252	97.38	0.62	2.0
SRX063253	93.86	0.88	5.26
SRX063254	95.0	1.0	4.0
SRX10864008	45.93	41.760000000000005	12.31
SRX10864009	45.0	41.199999999999996	13.8
SRX10864010	44.690000000000005	41.3	14.01
SRX10864011	46.35	41.22	12.43
SRX10864012	45.68	40.71	13.61
SRX10864013	44.47	41.79	13.74
SRX10864014	44.81	40.79	14.399999999999999
SRX10864015	44.26	39.92	15.82
SRX10864016	46.11	39.519999999999996	14.37
SRX11229889	3.5900000000000003	37.980000000000004	58.43000000000001
SRX11313113	8.41	50.09	41.5
SRX11402692	7.9399999999999995	54.25	37.81
SRX11402693	4.63	59.14	36.230000000000004
SRX15590299	0.0	0.0	100.0
SRX15590300	0.0	25.0	75.0
SRX15590302	100.0	0.0	0.0
SRX15590303	50.0	0.0	50.0
SRX15590304	0.0	20.0	80.0
SRX15590305	0.0	0.0	100.0
SRX15590307	0.0	0.0	100.0
SRX15590310	0.0	50.0	50.0
SRX15590311	0.0	0.0	100.0
SRX15590312	0.0	0.0	100.0
SRX15590313	0.0	0.0	100.0
SRX15590316	0.0	0.0	100.0
SRX15590317	0.0	0.0	100.0
SRX15590318	0.0	0.0	100.0
SRX15590319	0.0	0.0	100.0
SRX15630037	5.43	56.74	37.830000000000005
SRX15630038	4.390000000000001	62.19	33.42
SRX15630039	7.61	82.74000000000001	9.64
SRX15630040	9.71	78.9	11.39
SRX15630041	7.7	55.33	36.97
SRX15630042	15.290000000000001	71.48	13.23
SRX15630043	7.64	73.50999999999999	18.85
SRX15630044	6.09	81.53	12.379999999999999
SRX15630045	4.42	85.05	10.530000000000001
SRX15630046	8.57	80.07	11.360000000000001
SRX15630047	8.98	81.42	9.6
SRX15630048	5.29	79.17999999999999	15.53
SRX15947806	13.569999999999999	30.04	56.38999999999999
SRX15947807	16.830000000000002	19.5	63.67
SRX15947808	12.33	34.160000000000004	53.5
SRX15947809	14.46	32.93	52.6
SRX15947810	9.55	49.32	41.13
SRX15947812	9.22	43.580000000000005	47.199999999999996
SRX15947813	5.89	51.559999999999995	42.55
SRX15947814	9.76	42.78	47.46
SRX15947815	18.16	18.2	63.629999999999995
SRX15947816	16.28	18.22	65.5
SRX17839586	1.3599999999999999	64.59	34.050000000000004
SRX17839587	1.31	65.47	33.21
SRX17839588	1.58	66.4	32.01
SRX17839589	1.3599999999999999	88.12	10.52
SRX17839590	1.6	87.02	11.37
SRX17839591	1.03	87.63	11.34
SRX18913104	15.370000000000001	68.93	15.7
SRX18913105	12.23	52.290000000000006	35.480000000000004
SRX18913106	12.33	63.81	23.86
SRX18913107	7.41	42.99	49.6
SRX18913108	8.19	47.64	44.17
SRX18913109	7.2700000000000005	50.480000000000004	42.26
SRX18913110	4.83	69.17	26.009999999999998
SRX18913111	11.31	54.75	33.94
SRX18913112	9.25	61.419999999999995	29.34
SRX18913114	10.32	56.00000000000001	33.68
SRX18913115	9.719999999999999	56.79	33.489999999999995
SRX2356912	7.32	63.41	29.270000000000003
SRX2356913	5.21	72.92	21.88
SRX2356914	2.3	83.91	13.79
SRX2356915	3.5999999999999996	85.59	10.81
SRX2356916	6.7299999999999995	77.88000000000001	15.379999999999999
SRX2356917	4.12	80.41	15.459999999999999
SRX2356918	1.16	80.23	18.6
SRX2356919	2.36	72.44	25.2
SRX2356920	7.580000000000001	66.67	25.759999999999998
SRX2356921	8.33	42.71	48.96
SRX2356922	8.01	28.599999999999998	63.39
SRX2356923	9.75	46.61	43.64
SRX2356924	7.59	47.589999999999996	44.83
SRX2356925	10.639999999999999	55.32	34.04
SRX2356926	6.25	57.29	36.46
SRX2356927	7.9399999999999995	55.559999999999995	36.51
SRX2356928	13.04	60.870000000000005	26.090000000000003
SRX2356929	6.76	78.38000000000001	14.860000000000001
