Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
DRX275049	1011293	80404	300	919259	0	0	0	0	640	0	0	0	0	2603	6084	2003	7.950613719268302
DRX275050	1004252	829768	3178	56916	0	0	0	0	8331	0	0	0	0	24521	59412	22126	82.62547647403241
SRX063252	15165120	554253	4470360	5327717	0	0	0	0	0	0	0	0	0	4792888	19524	378	3.6547880926758243
SRX063253	20226226	38492	416146	19485962	0	0	0	0	0	0	0	0	0	284039	1567	20	0.19030737617586196
SRX063254	20172997	36823	401991	19457854	0	0	0	0	0	0	0	0	0	274780	1528	21	0.18253609020018197
SRX10864008	20662571	13232940	267	260797	0	0	0	0	0	0	0	0	0	6713385	437115	18067	64.04304672443715
SRX10864009	24071483	15643315	92	270013	0	0	0	0	0	0	0	0	0	7607726	528203	22134	64.98691833818465
SRX10864010	22937379	14767249	314	307916	0	0	0	0	0	0	0	0	0	7351585	490447	19868	64.3807167331542
SRX10864011	24104412	14726746	441	539253	0	0	0	0	0	0	0	0	0	8350577	469116	18279	61.09564506282087
SRX10864012	24088702	14490224	1281	577801	0	0	0	0	0	0	0	0	0	8526163	475307	17926	60.15361060135162
SRX10864013	24098535	14596145	412	560304	0	0	0	0	0	0	0	0	0	8452776	470623	18275	60.568598879558444
SRX10864014	22707858	12505897	224	560951	0	0	0	0	0	0	0	0	0	9242749	383642	14395	55.07299279394825
SRX10864015	24101200	13155217	172	547558	0	0	0	0	0	0	0	0	0	9965809	417390	15054	54.583244817685426
SRX10864016	24098393	13193587	101	536567	0	0	0	0	0	0	0	0	0	9938040	415130	14968	54.74882495276759
SRX11229889	25626153	17633491	600258	2138998	0	0	0	0	45156	0	0	0	0	4513091	637876	57283	68.81052727656781
SRX11313113	27683415	13604269	731651	4992744	0	0	0	0	56431	0	0	0	0	7841487	426751	30082	49.14230776802645
SRX11402692	24161289	5808753	1603207	2248801	0	0	0	0	108404	0	0	0	0	14088680	297073	6371	24.04156913979217
SRX11402693	34585571	9359599	2813466	3048445	0	0	0	0	124549	0	0	0	0	18739704	487833	11975	27.062149703990716
SRX15590299	6402403	4660541	26418	122164	0	0	0	0	0	0	0	0	0	1295472	292921	4887	72.79362139496686
SRX15590300	7040958	5112274	23793	131967	0	0	0	0	0	0	0	0	0	1445305	325093	2526	72.60764799335546
SRX15590301	7521525	5757946	33721	122809	0	0	0	0	0	0	0	0	0	1246156	354654	6239	76.55290649170215
SRX15590302	7042880	230991	125	137536	0	0	0	0	0	0	0	0	0	6627115	47014	99	3.2797804307328824
SRX15590303	7070903	193026	214	148394	0	0	0	0	0	0	0	0	0	6687929	41268	72	2.729863498339604
SRX15590304	6869606	3944642	36911	1442515	0	0	0	0	0	0	0	0	0	1182370	261152	2016	57.42166290177341
SRX15590305	6758127	4795565	26374	135612	0	0	0	0	0	0	0	0	0	1487148	309003	4425	70.95997160159908
SRX15590306	6699604	4803643	30630	144382	0	0	0	0	0	0	0	0	0	1408501	307954	4494	71.7004019939089
SRX15590307	5916773	4364684	24317	121607	0	0	0	0	0	0	0	0	0	1124702	277119	4344	73.76798129656149
SRX15590308	7000688	4823784	35881	139625	0	0	0	0	0	0	0	0	0	1674795	322225	4378	68.90442767910811
SRX15590309	6701834	4672498	45019	159099	0	0	0	0	0	0	0	0	0	1519912	301135	4171	69.71969165455306
SRX15590310	6882776	4501510	29658	543344	0	0	0	0	0	0	0	0	0	1479406	327069	1789	65.4025352561234
SRX15590311	7580689	4527930	26279	158335	0	0	0	0	0	0	0	0	0	2567919	294453	5773	59.729795009398224
SRX15590312	8609673	4811606	56025	218474	0	0	0	0	0	0	0	0	0	3215175	302497	5896	55.8860481693091
SRX15590313	7738940	5021690	25671	143826	0	0	0	0	0	0	0	0	0	2221082	320272	6399	64.88860231504573
SRX15590314	7392133	3901846	22200	164224	0	0	0	0	0	0	0	0	0	3044091	255226	4546	52.78376349559728
SRX15590315	7767436	5026656	138931	162928	0	0	0	0	0	0	0	0	0	2151143	282640	5138	64.71448235942981
SRX15590316	6527666	4401988	14469	126000	0	0	0	0	0	0	0	0	0	1691516	288440	5253	67.4358645188035
SRX15590317	7116554	3169496	58024	149683	0	0	0	0	0	0	0	0	0	3532563	202738	4050	44.53694864115413
SRX15590318	6948799	2565358	53388	152723	0	0	0	0	0	0	0	0	0	3999507	174403	3420	36.91800554311616
SRX15590319	6930838	2862428	30460	137787	0	0	0	0	0	0	0	0	0	3704060	192117	3986	41.29988321758494
SRX15630037	3852396	1168497	242389	234464	0	0	0	0	122	0	0	0	0	2162012	43988	924	30.331694872489745
SRX15630038	3987136	1300720	27325	287523	0	0	0	0	142	0	0	0	0	2322662	47281	1483	32.62291529559062
SRX15630039	3815161	1707028	40156	204809	0	0	0	0	317	0	0	0	0	1797431	64542	878	44.743275578671515
SRX15630040	4347008	1709547	288840	302307	0	0	0	0	248	0	0	0	0	1974240	70955	871	39.326980764700686
SRX15630041	3861229	1289114	131013	252914	0	0	0	0	160	0	0	0	0	2134259	52442	1327	33.38610582278337
