Sample	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX063252	0.9738	0.0062	0.02		
SRX063253	0.9386	0.0088	0.0526		
SRX063254	0.95	0.01	0.04		
SRX10864008	0.4593	0.4176	0.1231		
SRX10864009	0.45	0.412	0.138		
SRX10864010	0.4469	0.413	0.1401		
SRX10864011	0.4635	0.4122	0.1243		
SRX10864012	0.4568	0.4071	0.1361		
SRX10864013	0.4447	0.4179	0.1374		
SRX10864014	0.4481	0.4079	0.144		
SRX10864015	0.4426	0.3992	0.1582		
SRX10864016	0.4611	0.3952	0.1437		
SRX11229889			0.5843	0.0359	0.3798
SRX11313113			0.415	0.0841	0.5009
SRX11402692			0.3781	0.0794	0.5425
SRX11402693			0.3623	0.0463	0.5914
SRX15590299	0.0	0.0	1.0		
SRX15590300	0.0	0.25	0.75		
SRX15590302	1.0	0.0	0.0		
SRX15590303	0.5	0.0	0.5		
SRX15590304	0.0	0.2	0.8		
SRX15590305	0.0	0.0	1.0		
SRX15590307	0.0	0.0	1.0		
SRX15590310	0.0	0.5	0.5		
SRX15590311	0.0	0.0	1.0		
SRX15590312	0.0	0.0	1.0		
SRX15590313	0.0	0.0	1.0		
SRX15590316	0.0	0.0	1.0		
SRX15590317	0.0	0.0	1.0		
SRX15590318	0.0	0.0	1.0		
SRX15590319	0.0	0.0	1.0		
SRX15630037			0.3783	0.0543	0.5674
SRX15630038			0.3342	0.0439	0.6219
SRX15630039			0.0964	0.0761	0.8274
SRX15630040			0.1139	0.0971	0.789
SRX15630041			0.3697	0.077	0.5533
SRX15630042			0.1323	0.1529	0.7148
SRX15630043			0.1885	0.0764	0.7351
SRX15630044			0.1238	0.0609	0.8153
SRX15630045			0.1053	0.0442	0.8505
SRX15630046			0.1136	0.0857	0.8007
SRX15630047			0.096	0.0898	0.8142
SRX15630048			0.1553	0.0529	0.7918
SRX15947806			0.5639	0.1357	0.3004
SRX15947807			0.6367	0.1683	0.195
SRX15947808			0.535	0.1233	0.3416
SRX15947809			0.526	0.1446	0.3293
SRX15947810			0.4113	0.0955	0.4932
SRX15947812			0.472	0.0922	0.4358
SRX15947813			0.4255	0.0589	0.5156
SRX15947814			0.4746	0.0976	0.4278
SRX15947815			0.6363	0.1816	0.182
SRX15947816			0.655	0.1628	0.1822
SRX17839586			0.3405	0.0136	0.6459
SRX17839587			0.3321	0.0131	0.6547
SRX17839588			0.3201	0.0158	0.664
SRX17839589			0.1052	0.0136	0.8812
SRX17839590			0.1137	0.016	0.8702
SRX17839591			0.1134	0.0103	0.8763
SRX18913104			0.157	0.1537	0.6893
SRX18913105			0.3548	0.1223	0.5229
SRX18913106			0.2386	0.1233	0.6381
SRX18913107			0.496	0.0741	0.4299
SRX18913108			0.4417	0.0819	0.4764
SRX18913109			0.4226	0.0727	0.5048
SRX18913110			0.2601	0.0483	0.6917
SRX18913111			0.3394	0.1131	0.5475
SRX18913112			0.2934	0.0925	0.6142
SRX18913114			0.3368	0.1032	0.56
SRX18913115			0.3349	0.0972	0.5679
SRX2356912	0.0732	0.6341	0.2927		
SRX2356913	0.0521	0.7292	0.2188		
SRX2356914	0.023	0.8391	0.1379		
SRX2356915	0.036	0.8559	0.1081		
SRX2356916	0.0673	0.7788	0.1538		
SRX2356917	0.0412	0.8041	0.1546		
SRX2356918	0.0116	0.8023	0.186		
SRX2356919	0.0236	0.7244	0.252		
SRX2356920	0.0758	0.6667	0.2576		
SRX2356921	0.0833	0.4271	0.4896		
SRX2356922	0.0801	0.286	0.6339		
SRX2356923	0.0975	0.4661	0.4364		
SRX2356924	0.0759	0.4759	0.4483		
SRX2356925	0.1064	0.5532	0.3404		
SRX2356926	0.0625	0.5729	0.3646		
SRX2356927	0.0794	0.5556	0.3651		
SRX2356928	0.1304	0.6087	0.2609		
SRX2356929	0.0676	0.7838	0.1486		
