Module	Section	Sample Name	Source
featureCounts	all_sections	SRX3211338	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211338_all.txt.summary
featureCounts	all_sections	SRX4105562	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105562_all.txt.summary
featureCounts	all_sections	SRX4105548	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105548_all.txt.summary
featureCounts	all_sections	SRX4105528	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105528_all.txt.summary
featureCounts	all_sections	SRX4105505	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105505_all.txt.summary
featureCounts	all_sections	SRX4105541	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105541_all.txt.summary
featureCounts	all_sections	SRX3312460	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3312460_all.txt.summary
featureCounts	all_sections	SRX3211331	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211331_all.txt.summary
featureCounts	all_sections	SRX4105550	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105550_all.txt.summary
featureCounts	all_sections	SRX3211359	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3211359_all.txt.summary
featureCounts	all_sections	SRX3176811	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3176811_all.txt.summary
featureCounts	all_sections	SRX2356915	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX2356915_all.txt.summary
featureCounts	all_sections	SRX5055970	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX5055970_all.txt.summary
featureCounts	all_sections	SRX4105533	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105533_all.txt.summary
featureCounts	all_sections	SRX2356927	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX2356927_all.txt.summary
featureCounts	all_sections	SRX359368	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX359368_all.txt.summary
featureCounts	all_sections	SRX15947815	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15947815_all.txt.summary
featureCounts	all_sections	SRX359370	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX359370_all.txt.summary
featureCounts	all_sections	SRX3312490	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX3312490_all.txt.summary
featureCounts	all_sections	SRX4105556	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105556_all.txt.summary
featureCounts	all_sections	SRX4105507	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105507_all.txt.summary
featureCounts	all_sections	SRX15590308	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590308_all.txt.summary
featureCounts	all_sections	SRX15590310	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15590310_all.txt.summary
featureCounts	all_sections	km_LL_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/km_LL_2_all.txt.summary
featureCounts	all_sections	light_0616_KO_2	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/light_0616_KO_2_all.txt.summary
featureCounts	all_sections	SRX4105498	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX4105498_all.txt.summary
featureCounts	all_sections	SRX15630043	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/SRX15630043_all.txt.summary
featureCounts	all_sections	post_uv_2hrs_3	/home/annie/Documents/modulome-nextflow/aws_results/featureCounts/post_uv_2hrs_3_all.txt.summary
