Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
DRX275049	1011293.0	80404.0	300.0	919259.0	0.0	0.0	0.0	0.0	640.0	0.0	0.0	0.0	0.0	2603.0	6084.0	2003.0	7.950613719268302	1011293.0	92034.0	9.1	919259.0	90.9	DRX275049_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1011293.0	0.0	20-77	51.0	81.76746534714948	73.39769384342618	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass		2.6	1585969	681492	1585969	118715238	3547089	76372104	35.66781713397231					
DRX275050	1004252.0	829768.0	3178.0	56916.0	0.0	0.0	0.0	0.0	8331.0	0.0	0.0	0.0	0.0	24521.0	59412.0	22126.0	82.62547647403241	1004252.0	947336.0	94.33	56916.0	5.67	DRX275050_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1004252.0	0.0	20-77	55.0	92.6438015549724	75.23947176605076	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass		2.6	1069483	156100	1069483	81487524	165908	76591984	6.007717205887861					
SRX063252	15165120.0	554253.0	4470360.0	5327717.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4792888.0	19524.0	378.0	3.654788092675824	15165120.0	9837403.0	64.87	5327717.0	35.13	SRX063252_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15165120.0	0.0	20-32	49.0	12.5974664086696	30.981743962461227	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail	2.6	15369396	14035849	15369396	491820672	5943905	471492793	4.1331892206434135	0.9738	0.0062	0.02		
SRX063253	20226226.0	38492.0	416146.0	19485962.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284039.0	1567.0	20.0	0.1903073761758619	20226226.0	740264.0	3.66	19485962.0	96.34	SRX063253_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20226226.0	0.0	20-42	38.0	14.144605938537469	40.764229767827175	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail	2.6	20441541	20032337	20441541	858544722	11817199	826671169	3.7125093408937175	0.9386	0.0088	0.0526		
SRX063254	20172997.0	36823.0	401991.0	19457854.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	274780.0	1528.0	21.0	0.1825360902001819	20172997.0	715143.0	3.55	19457854.0	96.45	SRX063254_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20172997.0	0.0	20-42	38.0	13.866865083237176	40.77559462285153	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	2.6	20384186	20000597	20384186	856135812	11398963	824716283	3.669923458358964	0.95	0.01	0.04		
SRX10864008	20662571.0	13232940.0	267.0	260797.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6713385.0	437115.0	18067.0	64.04304672443715	20662571.0	20401774.0	98.74	260797.0	1.26	SRX10864008_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20662571.0	0.0	20-50	55.0	36.087241403581366	49.56275116973585	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		2.6	20663676	5806735	20663676	1033183800	1160895	1024110547	0.8781838236333167	0.4593	0.4176	0.1231		
SRX10864009	24071483.0	15643315.0	92.0	270013.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7607726.0	528203.0	22134.0	64.98691833818465	24071483.0	23801470.0	98.88	270013.0	1.12	SRX10864009_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24071483.0	0.0	20-50	55.0	27.50128405504273	49.56118657084817	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass		2.6	24072858	6817767	24072858	1203642900	1318904	1193031860	0.8815770856954335	0.45	0.412	0.138		
SRX10864010	22937379.0	14767249.0	314.0	307916.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7351585.0	490447.0	19868.0	64.3807167331542	22937379.0	22629463.0	98.66	307916.0	1.34	SRX10864010_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22937379.0	0.0	20-50	55.0	25.96880233111745	49.56280632586661	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass		2.6	22938584	6449437	22938584	1146929200	1278420	1136859002	0.8780139175112117	0.4469	0.413	0.1401		
SRX10864011	24104412.0	14726746.0	441.0	539253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8350577.0	469116.0	18279.0	61.09564506282087	24104412.0	23565159.0	97.76	539253.0	2.24	SRX10864011_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24104412.0	0.0	20-50	54.0	32.8551885689907	49.56652246899862	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		2.6	24106384	6776682	24106384	1205319200	1256266	1194797580	0.8729322489843354	0.4635	0.4122	0.1243		
SRX10864012	24088702.0	14490224.0	1281.0	577801.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8526163.0	475307.0	17926.0	60.15361060135162	24088702.0	23510901.0	97.6	577801.0	2.4	SRX10864012_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24088702.0	0.0	20-50	54.0	22.198511771244352	49.5586841084256	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		2.6	24090970	6743275	24090970	1204548500	1484651	1193834917	0.889427283334793	0.4568	0.4071	0.1361		
