From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ABB56033.1	P52023	reviewed	DPO3B_SYNE7	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN Synpcc7942_0001	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	375
ABB58644.1	Q8KUV0	unreviewed	Q8KUV0_SYNE7	ANL30	Synpcc7942_B2615 anL30	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	109
ABB58655.1	Q8KUU9	unreviewed	Q8KUU9_SYNE7	ANL31	parB Synpcc7942_B2626 anL31	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	274
ABB56034.1	Q31SD5	unreviewed	Q31SD5_SYNE7	PRC-barrel domain-containing protein	Synpcc7942_0002	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	290
ABB58666.1	Q8KUU8	unreviewed	Q8KUU8_SYNE7	ANL32 (ParA-like protein)	parA Synpcc7942_B2637 anL32	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	203
ABB58677.1	Q8KUU7	unreviewed	Q8KUU7_SYNE7	ANL33	sepA2 Synpcc7942_B2648 anL33	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	88
ABB56035.1	Q55041	reviewed	PURL_SYNE7	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL Synpcc7942_0003	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	777
ABB58688.1	Q71MI7	unreviewed	Q71MI7_SYNE7	Ribonuclease VapC (RNase VapC) (EC 3.1.-.-) (Toxin VapC)	sepT2 vapC Synpcc7942_B2659 anL34	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	127
ABB58683.1	Q8KUU6	unreviewed	Q8KUU6_SYNE7	ANL35	Synpcc7942_B2654 anL35	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	116
ABB58690.1	Q8KUU5	reviewed	CYD_SYNE7	Cysteine desulfurase (CyD) (EC 2.8.1.7)	cyd Synpcc7942_B2661 anL36	Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2)	626
