,gene_weight,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,gene_type
Synpcc7942_0004,-0.0474252363153578,purF,CP000100.1,,4596,6077,+,amidophosphoribosyltransferase,Nucleotide transport and metabolism,Q55038,Op6,sphR,dawn
Synpcc7942_0005,0.046374629862673,Synpcc7942_0005,CP000100.1,,6111,7706,-,conserved hypothetical protein,Inorganic ion transport and metabolism,Q31SD2,Op13,,dusk
Synpcc7942_0039,0.0454949858464053,gnd,CP000100.1,,37130,38545,+,6-phosphogluconate dehydrogenase (decarboxylating),Coenzyme transport and metabolism,P21577,Op63,,dusk
Synpcc7942_0095,0.0408277166313999,rpaA,CP000100.1,,92590,93339,-,two component transcriptional regulator%2C winged helix family,Transcription,Q31S42,Op108,,
Synpcc7942_0157,0.0634208528492564,Synpcc7942_0157,CP000100.1,,159042,159560,-,conserved hypothetical protein,No COG annotation,Q31RY0,Op155,,dusk
Synpcc7942_0198,0.0383295894251782,ndbC,CP000100.1,,198993,200429,-,type 2 NADH dehydrogenase,Energy production and conversion,Q31RT9,Op183,,dusk
Synpcc7942_0199,0.0356581134989467,Synpcc7942_0199,CP000100.1,,200426,201352,-,conserved hypothetical protein,Function unknown,Q31RT8,Op183,,dusk
Synpcc7942_0200,0.0487752230642547,Synpcc7942_0200,CP000100.1,,201352,201888,-,conserved hypothetical protein,Function unknown,Q31RT7,Op183,,dusk
Synpcc7942_0201,0.0605542843303049,ccoO,CP000100.1,,201889,202641,-,conserved hypothetical protein,No COG annotation,Q31RT6,Op183,,dusk
Synpcc7942_0202,0.0594811090728624,ccoN,CP000100.1,,202638,204089,-,Cbb3-type cytochrome oxidase subunit 1-like,No COG annotation,Q31RT5,Op183,,dusk
Synpcc7942_0244,0.0784822767275247,glgP,CP000100.1,,238622,241156,-,Glycogen/starch/alpha-glucan phosphorylase,Carbohydrate transport and metabolism,Q31RP3,Op215,,dusk
Synpcc7942_0245,0.1158349442444593,gap1,CP000100.1,,241168,242229,-,glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,Q31RP2,Op215,,dusk
Synpcc7942_0278,0.073396511445304,hoxE,CP000100.1,,273657,274154,+,NADH:ubiquinone oxidoreductase 24 kD subunit-like,Energy production and conversion,Q31RK9,Op235,,dusk
Synpcc7942_0302,0.0552354525655275,cls,CP000100.1,,300008,301447,-,Phospholipase D/Transphosphatidylase,Lipid transport and metabolism,Q31RI5,Op252,,dusk
Synpcc7942_0304,0.1767676707146102,Synpcc7942_0304,CP000100.1,,302833,303480,+,conserved hypothetical protein,Coenzyme transport and metabolism,Q31RI3,Op254,,dusk
Synpcc7942_0305,0.037298246411969,Synpcc7942_0305,CP000100.1,,303815,304045,+,hypothetical protein,No COG annotation,Q31RI2,Op255,,dusk
Synpcc7942_0316,0.0399741657387603,Synpcc7942_0316,CP000100.1,,314432,314623,-,conserved hypothetical protein,No COG annotation,Q31RH1,Op262,,dusk
Synpcc7942_0369,0.1174707278638309,Synpcc7942_0369,CP000100.1,,362147,363601,+,putative flavin-containing monoamine oxidase,Amino acid transport and metabolism,Q31RB8,Op301,,dusk
Synpcc7942_0371,0.0314845117828094,metA,CP000100.1,,365116,366015,+,homoserine O-succinyltransferase,Amino acid transport and metabolism,Q31RB6,Op302,,dusk
Synpcc7942_0375,-0.0551054149643031,Synpcc7942_0375,CP000100.1,,368929,370344,-,processing protease,Function unknown,Q31RB2,Op306,,dawn
Synpcc7942_0376,-0.0523827102533936,Synpcc7942_0376,CP000100.1,,370341,371867,-,putative zinc protease protein,Function unknown,Q31RB1,Op306,,dawn
Synpcc7942_0377,-0.0434748609272224,Synpcc7942_0377,CP000100.1,,371868,372206,-,conserved hypothetical protein,No COG annotation,Q31RB0,Op306,,dawn
Synpcc7942_0383,0.0406559726684712,Synpcc7942_0383,CP000100.1,,375762,376448,-,hypothetical protein,Function unknown,Q31RA4,Op310,,dusk
Synpcc7942_0465,-0.0501754028886527,Synpcc7942_0465,CP000100.1,,451023,451748,-,conserved hypothetical protein,Function unknown,Q31R22,Op373,,dawn
Synpcc7942_0466,-0.0451760089858528,bcsA1,CP000100.1,,451838,454087,+,Cellulose synthase (UDP-forming),Cell wall/membrane/envelope biogenesis,Q31R21,Op374,,dawn
Synpcc7942_0469,-0.033257994447646,pgmM,CP000100.1,,455066,456664,-,phosphoglycerate mutase,Carbohydrate transport and metabolism,Q31R18,Op375,,dawn
Synpcc7942_0493,0.0465697035742769,Synpcc7942_0493,CP000100.1,,480967,482451,+,conserved hypothetical protein,Function unknown,Q31QZ4,Op395,,dusk
Synpcc7942_0527,0.0623993226538172,Synpcc7942_0527,CP000100.1,,511398,512234,-,conserved hypothetical protein,No COG annotation,Q31QW0,Op415,,dusk
Synpcc7942_0556,0.1236232587305308,srrB,CP000100.1,,538506,539219,-,two component transcriptional regulator%2C winged helix family,Transcription,Q31QT1,Op435,,dusk
Synpcc7942_0557,0.0431284543862359,Synpcc7942_0557,CP000100.1,,539414,539605,+,hypothetical protein,No COG annotation,Q31QT0,Op436,,
Synpcc7942_0581,0.0689991657176629,Synpcc7942_0581,CP000100.1,,562634,562981,-,conserved hypothetical protein,No COG annotation,Q31QQ6,Op454,,dusk
Synpcc7942_0599,0.088293131924997,Synpcc7942_0599,CP000100.1,,587802,588404,-,putative transcriptional regulator%2C TetR family,Transcription,Q31QN8,Op467,,dusk
Synpcc7942_0644,0.037387724354445,cikA,CP000100.1,,637075,639339,+,GAF sensor hybrid histidine kinase,Signal transduction mechanisms,Q9KHI5,Op503,,dusk
