locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
Synpcc7942_0001,dnaN,CP000100.1,,65,1237,+,DNA polymerase III%2C beta subunit,"Replication, recombination and repair",P52023,Op0
Synpcc7942_B2615,anL30,CP000101.1,,65,394,-,conserved hypothetical protein,No COG annotation,Q8KUV0,Op1
Synpcc7942_B2626,parB,CP000101.1,,497,1321,-,hypothetical protein,No COG annotation,Q8KUU9,Op2
HTX97_RS00010,HTX97_RS00010,NC_004990.1,pUH24_03%2CST32046_p3,574,1161,-,hypothetical protein,No COG annotation,,Op3
Synpcc7942_0002,Synpcc7942_0002,CP000100.1,,1262,2134,+,hypothetical protein,Function unknown,Q31SD5,Op0
Synpcc7942_B2637,parA,CP000101.1,,1318,1929,-,ParA-like protein,No COG annotation,Q8KUU8,Op2
HTX97_RS00015,HTX97_RS00015,NC_004990.1,pUH24_04%2CST32046_p4,1485,1928,+,hemolysin XhlA family protein,No COG annotation,,Op4
Synpcc7942_B2648,sepA2,CP000101.1,,2063,2329,+,hypothetical protein,No COG annotation,Q8KUU7,Op5
Synpcc7942_0003,purL,CP000100.1,,2178,4511,+,phosphoribosylformylglycinamidine synthase subunit II,Nucleotide transport and metabolism,Q55041,Op6
Synpcc7942_B2659,sepT2,CP000101.1,,2340,2723,+,nucleic acid-binding protein%2Ccontains PIN domain,No COG annotation,Q71MI7,Op5
HTX97_RS00020,HTX97_RS00020,NC_004990.1,pUH24_06%2CST32046_p6,2644,3159,-,hypothetical protein,No COG annotation,,Op7
Synpcc7942_B2654,anL35,CP000101.1,,2720,3070,-,conserved hypothetical protein,No COG annotation,Q8KUU6,Op8
Synpcc7942_B2661,anL36,CP000101.1,,3160,5040,-,cysteine desulfurase,No COG annotation,Q8KUU5,Op9
HTX97_RS00025,HTX97_RS00025,NC_004990.1,pUH24_07%2CST32046_p7,3567,3992,-,hypothetical protein,No COG annotation,,Op10
HTX97_RS00030,HTX97_RS00030,NC_004990.1,pUH24_08%2CST32046_p8,3995,6625,-,bifunctional DNA primase/polymerase,No COG annotation,,Op11
Synpcc7942_0004,purF,CP000100.1,,4596,6077,+,amidophosphoribosyltransferase,Nucleotide transport and metabolism,Q55038,Op6
Synpcc7942_B2662,srpI,CP000101.1,,5275,6195,-,major membrane protein I,No COG annotation,Q55032,Op12
Synpcc7942_0005,Synpcc7942_0005,CP000100.1,,6111,7706,-,conserved hypothetical protein,Inorganic ion transport and metabolism,Q31SD2,Op13
Synpcc7942_B2663,srpH,CP000101.1,,6290,7249,-,putative serine acetyltransferase,No COG annotation,Q59967,Op14
HTX97_RS00035,HTX97_RS00035,NC_004990.1,,6605,6793,+,hypothetical protein,No COG annotation,,Op15
HTX97_RS00040,HTX97_RS00040,NC_004990.1,,6800,7402,-,hypothetical protein,No COG annotation,,Op16
Synpcc7942_B2664,srpG,CP000101.1,,7246,8235,-,cysteine synthase,No COG annotation,Q59966,Op14
HTX97_RS00005,HTX97_RS00005,NC_004990.1,pUH24_01%2CST32046_p1,7504,8145,-,hypothetical protein,No COG annotation,,Op17
Synpcc7942_0006,Synpcc7942_0006,CP000100.1,,7779,8192,-,hypothetical protein,No COG annotation,Q31SD1,Op18
Synpcc7942_0007,Synpcc7942_0007,CP000100.1,,8189,8539,-,hypothetical protein,Function unknown,Q31SD0,Op18
Synpcc7942_0008,Synpcc7942_0008,CP000100.1,,8536,8859,-,conserved hypothetical protein,No COG annotation,Q31SC9,Op18
Synpcc7942_B2616,anL42,CP000101.1,,8691,9050,+,conserved hypothetical protein,No COG annotation,Q8KUU4,Op19
Synpcc7942_0009,argG,CP000100.1,,8964,10166,+,argininosuccinate synthase,Nucleotide transport and metabolism,Q31SC8,Op20
Synpcc7942_B2617,anL43,CP000101.1,,9300,9845,-,conserved hypothetical protein,No COG annotation,Q8KUU3,Op21
Synpcc7942_B2618,anL44,CP000101.1,,9947,10381,+,conserved hypothetical protein,No COG annotation,Q8KUU2,Op22
Synpcc7942_0010,Synpcc7942_0010,CP000100.1,,10252,10878,-,conserved hypothetical protein,Function unknown,Q31SC7,Op23
Synpcc7942_B2619,anL45,CP000101.1,,10600,11178,+,carbonic anhydrase%2C putative,No COG annotation,Q8KUU1,Op24
Synpcc7942_0011,Synpcc7942_0011,CP000100.1,,10998,11474,-,conserved hypothetical protein,No COG annotation,Q31SC6,Op25
Synpcc7942_B2620,srpA,CP000101.1,,11202,12299,+,putative catalase,No COG annotation,Q55025,Op24
Synpcc7942_0012,rpsF,CP000100.1,,11641,11964,-,SSU ribosomal protein S6P,"Translation, ribosomal structure and biogenesis",Q31SC5,Op26
Synpcc7942_0013,Synpcc7942_0013,CP000100.1,,12321,13028,+,conserved hypothetical protein,No COG annotation,Q31SC4,Op27
Synpcc7942_B2621,srpB,CP000101.1,,12400,12948,+,Uncharacterized membrane protein-like,No COG annotation,Q55026,Op28
Synpcc7942_0014,Synpcc7942_0014,CP000100.1,,13067,13411,-,conserved hypothetical protein,Signal transduction mechanisms,Q31SC3,Op29
Synpcc7942_B2622,srpC,CP000101.1,,13100,14281,+,probable chromate transport transmembrane protein,No COG annotation,Q55027,Op30
Synpcc7942_0015,phyA1,CP000100.1,,13577,14248,-,Prolyl 4-hydroxylase%2C alpha subunit,Energy production and conversion,Q31SC2,Op31
Synpcc7942_B2623,srpD,CP000101.1,,14412,15401,+,cysteine synthase A,No COG annotation,Q9R6V6,Op32
Synpcc7942_0016,Synpcc7942_0016,CP000100.1,,15020,15604,+,conserved hypothetical protein,No COG annotation,Q31SC1,Op33
Synpcc7942_B2624,srpE,CP000101.1,,15398,16924,+,gamma-glutamyltranspeptidase,No COG annotation,Q9R6V5,Op32
Synpcc7942_0017,eda,CP000100.1,,15630,16193,-,2-keto-3-deoxy-phosphogluconate aldolase,Carbohydrate transport and metabolism,Q31SC0,Op34
Synpcc7942_0018,glyS,CP000100.1,,16206,18392,-,glycyl-tRNA synthetase%2C beta subunit,"Translation, ribosomal structure and biogenesis",Q31SB9,Op34
