,"gene","subject","PID","alnLength","mismatchCount","gapOpenCount","queryStart","queryEnd","subjectStart","subjectEnd","eVal","bitScore","gene_length","COV","BBH"
0,"Synpcc7942_0001","SYNPCC7942_0001",100,390,0,0,1,390,1,390,0,786,390,1,"<=>"
1,"Synpcc7942_0002","SYNPCC7942_0002",100,290,0,0,1,290,1,290,0,579,290,1,"<=>"
3,"Synpcc7942_0003","SYNPCC7942_0003",100,777,0,0,1,777,1,777,0,1579,777,1,"<=>"
5,"Synpcc7942_0004","SYNPCC7942_0004",100,493,0,0,1,493,1,493,0,1011,493,1,"<=>"
7,"Synpcc7942_0005","SYNPCC7942_0005",100,531,0,0,1,531,1,531,0,1047,531,1,"<=>"
8,"Synpcc7942_0006","SYNPCC7942_0006",100,137,0,0,1,137,1,137,2.75E-96,270,137,1,"<=>"
9,"Synpcc7942_0007","SYNPCC7942_0007",100,116,0,0,1,116,1,116,4.77E-80,227,116,1,"<=>"
10,"Synpcc7942_0008","SYNPCC7942_0008",100,107,0,0,1,107,1,107,1.08E-70,202,107,1,"<=>"
11,"Synpcc7942_0009","SYNPCC7942_0009",100,400,0,0,1,400,1,400,0,816,400,1,"<=>"
12,"Synpcc7942_0010","SYNPCC7942_0010",100,208,0,0,1,208,1,208,1.53E-149,410,208,1,"<=>"
14,"Synpcc7942_0011","SYNPCC7942_0011",100,158,0,0,1,158,1,158,1.07E-106,298,158,1,"<=>"
15,"Synpcc7942_0012","SYNPCC7942_0012",100,107,0,0,1,107,1,107,4.34E-76,216,107,1,"<=>"
16,"Synpcc7942_0013","SYNPCC7942_0013",100,235,0,0,1,235,1,235,6.66E-171,466,235,1,"<=>"
20,"Synpcc7942_0014","SYNPCC7942_0014",100,114,0,0,1,114,1,114,7.85E-76,216,114,1,"<=>"
21,"Synpcc7942_0015","SYNPCC7942_0015",100,223,0,0,1,223,1,223,4.11E-168,458,223,1,"<=>"
22,"Synpcc7942_0016","SYNPCC7942_0016",100,194,0,0,1,194,1,194,2.64E-143,393,194,1,"<=>"
23,"Synpcc7942_0017","SYNPCC7942_0017",100,187,0,0,1,187,1,187,2.83E-136,375,187,1,"<=>"
24,"Synpcc7942_0018","SYNPCC7942_0018",100,728,0,0,1,728,1,728,0,1461,728,1,"<=>"
25,"Synpcc7942_0019","SYNPCC7942_0019",100,624,0,0,1,624,1,624,0,1281,624,1,"<=>"
27,"Synpcc7942_0020","SYNPCC7942_0020",100,200,0,0,1,200,1,200,4.98E-144,395,200,1,"<=>"
32,"Synpcc7942_0021","SYNPCC7942_0021",100,246,0,0,1,246,1,246,3.7E-179,488,246,1,"<=>"
33,"Synpcc7942_0022","SYNPCC7942_0022",100,389,0,0,1,389,1,389,0,776,389,1,"<=>"
40,"Synpcc7942_0023","SYNPCC7942_0023",100,354,0,0,1,354,1,354,0,679,354,1,"<=>"
41,"Synpcc7942_0024","SYNPCC7942_0024",100,396,0,0,1,396,1,396,0,794,396,1,"<=>"
42,"Synpcc7942_0025","SYNPCC7942_0025",100,568,0,0,1,568,1,568,0,1136,568,1,"<=>"
