gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
Synpcc7942_0001,Synpcc7942_0001,100,390,0,0,1,390,1,390,0,786,390,1,<=>
Synpcc7942_0002,Synpcc7942_0002,100,290,0,0,1,290,1,290,0,579,290,1,<=>
Synpcc7942_0003,Synpcc7942_0003,100,777,0,0,1,777,1,777,0,1579,777,1,<=>
Synpcc7942_0004,Synpcc7942_0004,100,493,0,0,1,493,1,493,0,1011,493,1,<=>
Synpcc7942_0005,Synpcc7942_0005,100,531,0,0,1,531,1,531,0,1047,531,1,<=>
Synpcc7942_0006,Synpcc7942_0006,100,137,0,0,1,137,1,137,2.7E-96,270,137,1,<=>
Synpcc7942_0007,Synpcc7942_0007,100,116,0,0,1,116,1,116,4.68E-80,227,116,1,<=>
Synpcc7942_0008,Synpcc7942_0008,100,107,0,0,1,107,1,107,1.06E-70,202,107,1,<=>
Synpcc7942_0009,Synpcc7942_0009,100,400,0,0,1,400,1,400,0,816,400,1,<=>
Synpcc7942_0010,Synpcc7942_0010,100,208,0,0,1,208,1,208,1.5E-149,410,208,1,<=>
Synpcc7942_0011,Synpcc7942_0011,100,158,0,0,1,158,1,158,1.05E-106,298,158,1,<=>
Synpcc7942_0012,Synpcc7942_0012,100,107,0,0,1,107,1,107,4.26E-76,216,107,1,<=>
Synpcc7942_0013,Synpcc7942_0013,100,235,0,0,1,235,1,235,6.54E-171,466,235,1,<=>
Synpcc7942_0014,Synpcc7942_0014,100,114,0,0,1,114,1,114,7.71E-76,216,114,1,<=>
Synpcc7942_0015,Synpcc7942_0015,100,223,0,0,1,223,1,223,4.04E-168,458,223,1,<=>
Synpcc7942_0016,Synpcc7942_0016,100,194,0,0,1,194,1,194,2.6E-143,393,194,1,<=>
Synpcc7942_0017,Synpcc7942_0017,100,187,0,0,1,187,1,187,2.78E-136,375,187,1,<=>
Synpcc7942_0018,Synpcc7942_0018,100,728,0,0,1,728,1,728,0,1461,728,1,<=>
Synpcc7942_0019,Synpcc7942_0019,100,624,0,0,1,624,1,624,0,1281,624,1,<=>
Synpcc7942_0020,Synpcc7942_0020,100,200,0,0,1,200,1,200,4.89E-144,395,200,1,<=>
Synpcc7942_0021,Synpcc7942_0021,100,246,0,0,1,246,1,246,3.63E-179,488,246,1,<=>
Synpcc7942_0022,Synpcc7942_0022,100,389,0,0,1,389,1,389,0,776,389,1,<=>
