## Tue Jul 25 22:27:11 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_fyacrk6v/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1129 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Synpcc7942_0001	1140.Synpcc7942_0001	1.33e-273	749.0	COG0592@1|root,COG0592@2|Bacteria,1FZV5@1117|Cyanobacteria,1GZMD@1129|Synechococcus	1129|Synechococcus	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	-	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
Synpcc7942_0002	1140.Synpcc7942_0002	3.54e-198	550.0	COG3881@1|root,COG3881@2|Bacteria,1G6D8@1117|Cyanobacteria,1GZGX@1129|Synechococcus	1129|Synechococcus	S	PFAM PRC-barrel domain	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0003	1140.Synpcc7942_0003	0.0	1548.0	COG0046@1|root,COG0046@2|Bacteria,1G228@1117|Cyanobacteria,1GZP5@1129|Synechococcus	1129|Synechococcus	F	Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL	purL	-	6.3.5.3	ko:K01952	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04463	RC00010,RC01160	ko00000,ko00001,ko00002,ko01000	-	-	-	AIRS,AIRS_C
Synpcc7942_0004	1140.Synpcc7942_0004	0.0	977.0	COG0034@1|root,COG0034@2|Bacteria,1G1C9@1117|Cyanobacteria,1GZD0@1129|Synechococcus	1129|Synechococcus	F	Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine	purF	-	2.4.2.14	ko:K00764	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130	M00048	R01072	RC00010,RC02724,RC02752	ko00000,ko00001,ko00002,ko01000,ko01002	-	-	-	GATase_6,GATase_7,Pribosyltran
Synpcc7942_0005	1140.Synpcc7942_0005	0.0	1049.0	COG0659@1|root,COG0659@2|Bacteria,1G1CM@1117|Cyanobacteria,1H420@1129|Synechococcus	1129|Synechococcus	P	secondary active sulfate transmembrane transporter activity	-	-	-	ko:K06901	-	-	-	-	ko00000,ko02000	2.A.1.40	-	-	-
Synpcc7942_0006	1140.Synpcc7942_0006	3.06e-85	252.0	2AF1N@1|root,31501@2|Bacteria,1G75I@1117|Cyanobacteria,1H19Z@1129|Synechococcus	1129|Synechococcus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0007	1140.Synpcc7942_0007	5.08e-74	222.0	COG4980@1|root,COG4980@2|Bacteria,1G7T1@1117|Cyanobacteria,1H111@1129|Synechococcus	1129|Synechococcus	S	YtxH-like protein	-	-	-	-	-	-	-	-	-	-	-	-	YtxH
Synpcc7942_0009	1140.Synpcc7942_0009	4.96e-290	791.0	COG0137@1|root,COG0137@2|Bacteria,1FZWZ@1117|Cyanobacteria,1GZK4@1129|Synechococcus	1129|Synechococcus	F	Belongs to the argininosuccinate synthase family. Type 1 subfamily	argG	-	6.3.4.5	ko:K01940	ko00220,ko00250,ko01100,ko01110,ko01130,ko01230,ko05418,map00220,map00250,map01100,map01110,map01130,map01230,map05418	M00029,M00844,M00845	R01954	RC00380,RC00629	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Arginosuc_synth
Synpcc7942_0010	1140.Synpcc7942_0010	1.3e-150	423.0	COG0586@1|root,COG0586@2|Bacteria,1G184@1117|Cyanobacteria,1H0MQ@1129|Synechococcus	1129|Synechococcus	S	SNARE associated Golgi protein	-	-	-	-	-	-	-	-	-	-	-	-	SNARE_assoc
Synpcc7942_0012	1140.Synpcc7942_0012	1.15e-68	207.0	COG0360@1|root,COG0360@2|Bacteria,1G864@1117|Cyanobacteria,1H0IC@1129|Synechococcus	1129|Synechococcus	J	Binds together with S18 to 16S ribosomal RNA	rps6	-	-	ko:K02990	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011,ko03029	-	-	-	Ribosomal_S6
Synpcc7942_0014	1140.Synpcc7942_0014	1.65e-69	210.0	COG1716@1|root,COG1716@2|Bacteria,1G7QF@1117|Cyanobacteria,1H1KK@1129|Synechococcus	1129|Synechococcus	T	ATPase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
Synpcc7942_0015	1140.Synpcc7942_0015	1.98e-157	441.0	COG3128@1|root,COG3128@2|Bacteria,1G0QX@1117|Cyanobacteria,1H0CN@1129|Synechococcus	1129|Synechococcus	C	PKHD-type hydroxylase	piuC	-	-	ko:K07336	-	-	-	-	ko00000,ko01000	-	-	-	2OG-FeII_Oxy_3
Synpcc7942_0017	1140.Synpcc7942_0017	7.08e-131	371.0	COG0800@1|root,COG0800@2|Bacteria,1G3B0@1117|Cyanobacteria,1H0JD@1129|Synechococcus	1129|Synechococcus	G	Aldolase	eda	-	4.1.2.14,4.1.3.42	ko:K01625	ko00030,ko00630,ko01100,ko01120,ko01200,map00030,map00630,map01100,map01120,map01200	M00008,M00061,M00308,M00631	R00470,R05605	RC00307,RC00308,RC00435	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldolase
Synpcc7942_0018	1140.Synpcc7942_0018	0.0	1409.0	COG0751@1|root,COG0751@2|Bacteria,1G0QU@1117|Cyanobacteria,1GZ57@1129|Synechococcus	1129|Synechococcus	J	Glycyl-tRNA synthetase beta subunit	glyS	-	6.1.1.14	ko:K01879	ko00970,map00970	M00360	R03654	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	DALR_1,tRNA_synt_2f
Synpcc7942_0019	1140.Synpcc7942_0019	0.0	1262.0	COG0155@1|root,COG0155@2|Bacteria,1G21X@1117|Cyanobacteria,1GZHG@1129|Synechococcus	1129|Synechococcus	C	Belongs to the nitrite and sulfite reductase 4Fe-4S domain family	sir	-	1.8.7.1	ko:K00392	ko00920,ko01100,ko01120,map00920,map01100,map01120	M00176	R00859,R03600	RC00065	ko00000,ko00001,ko00002,ko01000	-	-	-	NIR_SIR,NIR_SIR_ferr
Synpcc7942_0021	1140.Synpcc7942_0021	8.01e-173	482.0	COG2099@1|root,COG2099@2|Bacteria,1G165@1117|Cyanobacteria,1H0G8@1129|Synechococcus	1129|Synechococcus	H	Precorrin-6x reductase CbiJ/CobK	-	-	1.3.1.106,1.3.1.54	ko:K05895	ko00860,ko01100,map00860,map01100	-	R05150,R05812	RC01280	ko00000,ko00001,ko01000	-	-	-	CbiJ
Synpcc7942_0022	1140.Synpcc7942_0022	1.71e-248	686.0	COG1357@1|root,COG1357@2|Bacteria,1G14F@1117|Cyanobacteria,1GZB6@1129|Synechococcus	1129|Synechococcus	S	Pentapeptide repeats (8 copies)	-	-	-	-	-	-	-	-	-	-	-	-	Pentapeptide
Synpcc7942_0023	1140.Synpcc7942_0023	5.63e-234	646.0	COG0387@1|root,COG0387@2|Bacteria,1G2SU@1117|Cyanobacteria,1GYUD@1129|Synechococcus	1129|Synechococcus	P	calcium proton exchanger	cax	-	-	ko:K07300	-	-	-	-	ko00000,ko02000	2.A.19	-	-	Na_Ca_ex
Synpcc7942_0024	1140.Synpcc7942_0024	2.9e-296	807.0	2DB7Y@1|root,2Z7P6@2|Bacteria,1G00I@1117|Cyanobacteria,1GZHS@1129|Synechococcus	1129|Synechococcus	S	Domain of unknown function (DUF4336)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4336
Synpcc7942_0025	1140.Synpcc7942_0025	0.0	1127.0	COG4188@1|root,COG4188@2|Bacteria,1FZWS@1117|Cyanobacteria,1GYBX@1129|Synechococcus	1129|Synechococcus	S	dienelactone hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1,Abhydrolase_6,DUF1400,Hydrolase_4,PAF-AH_p_II
Synpcc7942_0026	1140.Synpcc7942_0026	4e-233	641.0	COG0667@1|root,COG0667@2|Bacteria,1G1PP@1117|Cyanobacteria,1H3XY@1129|Synechococcus	1129|Synechococcus	C	Aldo/keto reductase family	-	-	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
Synpcc7942_0027	1140.Synpcc7942_0027	4.5e-280	765.0	COG0156@1|root,COG0156@2|Bacteria,1FZY9@1117|Cyanobacteria,1GZBX@1129|Synechococcus	1129|Synechococcus	E	Catalyzes the decarboxylative condensation of pimeloyl- acyl-carrier protein and L-alanine to produce 8-amino-7- oxononanoate (AON), acyl-carrier protein , and carbon dioxide	bioF	-	2.3.1.47	ko:K00652	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R03210,R10124	RC00004,RC00039,RC02725	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	AMP-binding,Aminotran_1_2,PP-binding
Synpcc7942_0028	1140.Synpcc7942_0028	5.96e-172	478.0	COG2267@1|root,COG2267@2|Bacteria,1G8T9@1117|Cyanobacteria,1H4BB@1129|Synechococcus	1129|Synechococcus	I	carboxylic ester hydrolase activity	-	-	3.1.1.85	ko:K19560	ko00780,ko01100,map00780,map01100	M00572	R09725	RC00460,RC00461	ko00000,ko00001,ko00002,ko01000	-	-	-	-
Synpcc7942_0029	1140.Synpcc7942_0029	8.13e-200	553.0	COG4106@1|root,COG4106@2|Bacteria,1G70V@1117|Cyanobacteria,1H0BT@1129|Synechococcus	1129|Synechococcus	S	Methyltransferase domain	-	-	2.1.1.197	ko:K02169	ko00780,ko01100,map00780,map01100	M00572	R09543	RC00003,RC00460	ko00000,ko00001,ko00002,ko01000	-	-	-	Methyltransf_11,Methyltransf_23,Methyltransf_25
Synpcc7942_0030	1140.Synpcc7942_0030	4.88e-147	414.0	COG0132@1|root,COG0132@2|Bacteria,1G03P@1117|Cyanobacteria,1GZGF@1129|Synechococcus	1129|Synechococcus	H	Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring	bioD	-	6.3.3.3	ko:K01935	ko00780,ko01100,map00780,map01100	M00123,M00573,M00577	R03182	RC00868	ko00000,ko00001,ko00002,ko01000	-	-	-	AAA_26
